StructurePieceId,FootprintDataTableId,FootprintId,PreviewMeshPath,PrefabPath
Straight_LeftRight,WallFootprint,Footprint_Straight_LeftRight,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall.cgf,WallWood_Straight
Straight_FrontBack,WallFootprint,Footprint_Straight_FrontBack,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall.cgf,WallWood_Straight
Cross,WallFootprint,Footprint_Cross,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_x.cgf,WallWood_Cross
Corner_BackRight,WallFootprint,Footprint_Corner_BackRight,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_crnrin.cgf,WallWood_Corner
Corner_RightFront,WallFootprint,Footprint_Corner_RightFront,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_crnrin.cgf,WallWood_Corner
Corner_FrontLeft,WallFootprint,Footprint_Corner_FrontLeft,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_crnrin.cgf,WallWood_Corner
Corner_LeftBack,WallFootprint,Footprint_Corner_LeftBack,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_crnrin.cgf,WallWood_Corner
TShape_LeftBackRight,WallFootprint,Footprint_TShape_LeftBackRight,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_t.cgf,WallWood_TShape
TShape_BackRightFront,WallFootprint,Footprint_TShape_BackRightFront,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_t.cgf,WallWood_TShape
TShape_RightFrontLeft,WallFootprint,Footprint_TShape_RightFrontLeft,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_t.cgf,WallWood_TShape
TShape_FrontLeftBack,WallFootprint,Footprint_TShape_FrontLeftBack,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_t.cgf,WallWood_TShape
Diagonal_BackRight,WallFootprint,Footprint_Diagonal_BackRight,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_diag.cgf,WallWood_Diagonal
Diagonal_RightFront,WallFootprint,Footprint_Diagonal_RightFront,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_diag.cgf,WallWood_Diagonal
Diagonal_FrontLeft,WallFootprint,Footprint_Diagonal_FrontLeft,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_diag.cgf,WallWood_Diagonal
Diagonal_LeftBack,WallFootprint,Footprint_Diagonal_LeftBack,objects/crafting/architecture/defensive_structures/walls/wood_wall/jav_struc_def_wood_t0_wall_diag.cgf,WallWood_Diagonal
