ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker
1hLongsword_SaplingBrandT2_V2,@1hLongsword_SaplingBrandT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_SaplingBrandT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,Weapons,1Handed,Swords,,1,275,275,275,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandRanger,,PerkID_Weapon_CritChance,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordAngryEarthT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
1hLongsword_OverseersInsightT2_V2,@1hLongsword_OverseersInsightT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_OverseersInsightT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,,,,1,,275,275,275,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandRanger,,PerkID_Weapon_DmgBasic,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordLostT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,54,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
1hLongsword_TheDeckhandT2_V2,@1hLongsword_TheDeckhandT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_TheDeckhandT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,,,,1,,275,275,275,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandRanger,,perkid_ability_sword_reversestab,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordLostT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
1hLongsword_OverseersEdgeT2_V2,@1hLongsword_OverseersEdgeT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_OverseersEdgeT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,,,,1,,325,325,325,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandSoldier,,PerkID_Weapon_BleedonCrit,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordLostT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,54,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
1hLongsword_DarkPathT2_V2,@1hLongsword_DarkPathT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_DarkPathT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,,,,1,,325,325,325,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandSentry,PerkID_Gem_VoidDMG1,,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordCorruptedT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
1hLongsword_BriarmawT2_V2,@1hLongsword_BriarmawT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_BriarmawT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,Weapons,1Handed,Swords,,1,275,275,275,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandSentry,PerkID_Gem_ThreatAdd1,,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordAngryEarthT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
1hLongsword_DarkTidingsT2_V2,@1hLongsword_DarkTidingsT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_DarkTidingsT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,Weapons,1Handed,Swords,,1,275,275,275,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandSoldier,,PerkID_Weapon_Attunement_Void,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordCorruptedT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
1hLongsword_EffervescenceT2_V2,@1hLongsword_EffervescenceT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_EffervescenceT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,Weapons,1Handed,Swords,,1,275,275,275,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandSoldier,,PerkID_Ability_Sword_LeapingStrike,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordAncientT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
1hLongsword_EyeOfDarknessT2_V2,@1hLongsword_EyeOfDarknessT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_EyeOfDarknessT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,Weapons,1Handed,Swords,,1,275,275,275,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandSoldier,,PerkID_Weapon_HealOnDmg,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordCorruptedT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
1hLongsword_FirstContactT2_V2,@1hLongsword_FirstContactT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_FirstContactT2_Description,Weapon+EquippableMainHand+Sword+Melee+Named,Weapons,1Handed,Swords,,1,275,275,275,2,SwordT2,,1,,1,1,PerkID_Stat_OneHandRanger,PerkID_Gem_BrashGem2,,,,,,,,,,5,1,1,1,UI_Weapon,,,1hLongSwordAncientT2,,0,0,Items/Weapons/weapon,,,,1,0,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,2000,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,
