ItemID,Name,ItemType,ItemTypeDisplayName,Description,HeartgemRuneTooltipTitle,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,NoBindOnPickupChance,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,MaxCraftGS,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanRollPerkOnUpgrade,CanHavePerks,CanReplaceGem,PerkSlot1,PerkSlot2,PerkSlot3,PerkSlot4,PerkSlot5,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,PerPerkScalingMultiplier,OnEquipObjectiveId,ForceRarity,RequiredLevel,RequiredTradeskillRank,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,HeartgemTooltipBackgroundImage,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,IsRequiredItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageLootTags,SalvageGuaranteedPerkCount,SalvageAchievement,SalvageEntitlementId,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup,EventId,AttributionId,ObtainableReleaseVersion,RetiredInReleaseVersion,MountItemAppearance,ExclusivelyForWarCampTier,RequiredExpansionId,NotDroppable,NotDroppableNotificationOverride,ScheduleId,FFAConvertedItemId,RequiredWorldTags
ConquerorsXItem_Earring_Soldier_PVP,@Playtest_Earring_MasterName,Armor,@ui_itemtypedescription_earringjewelry,@Playtest_Earring_Description,,SeasonalConqueror+EquippableToken+Jewelry,,,,1,,0,725,725,725,725,5,EarringCONT5,,1,,,1,0,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Earring_HealthRegen,PerkID_Earring_PotionCDR,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Earring_HealthRegen,PerkID_Earring_PotionCDR,PerkID_Gem_WildernessWard4,,,,,,,,,,,1,1,1,UI_Armor,,,,,,0,0,,,lyshineui/images/icons/items/Armor/CorruptedEarring19.png,lyshineui/images/icons/items_hires/CorruptedEarring19.png,,1,0,,,,,,,,,1,,0,4,SalvageSmall_MetalT5,SalvageSmall_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsXItem_Ring_Soldier_PVP_1,@Playtest_Ring_MasterName,Armor,@ui_itemtypedescription_ringjewelry,@Playtest_Ring_Description,,SeasonalConqueror+EquippableRing+Jewelry,,,,1,,0,725,725,725,725,5,RingCONT5,,1,,,1,0,PerkID_Stat_ArmorSoldier,PerkID_Ring_MaxStamina,PerkID_Gem_WildernessWard4,PerkID_Ring_DurSlow,PerkID_Ring_DmgSlash,PerkID_Stat_ArmorSoldier,PerkID_Ring_MaxStamina,PerkID_Ring_DurSlow,PerkID_Ring_DmgSlash,PerkID_Gem_WildernessWard4,,,,,,,,,,,1,1,1,UI_Armor,,,,,,0,0,,,lyshineui/images/icons/items/Armor/CorruptedRing19.png,lyshineui/images/icons/items_hires/CorruptedRing19.png,,1,0,,,,,,,,,1,,0,4,SalvageSmall_MetalT5,SalvageSmall_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsXItem_HeavyHead_Soldier_PVP,@Playtest_HeavyHead_MasterName,Armor,@ui_itemtypedescription_heavy_head_slot,@Playtest_HeavyHead_Description,,SeasonalConqueror+EquippableHead+Armor+Heavy,,,,1,,0,725,725,725,725,5,HeavyHead_Balanced,,1,,,1,1,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,,,,,,,,,,,1,1,1,UI_Armor,Metal_Hat_T5,F_Metal_Hat_T5,,,,0,0,,,,,,1,0,,,,,,,,,1,,0,4,SalvageSmall_MetalT5,SalvageSmall_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,80,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsXItem_HeavyChest_Soldier_PVP,@Playtest_HeavyChest_MasterName,Armor,@ui_itemtypedescription_heavy_chest_slot,@Playtest_HeavyChest_Description,,SeasonalConqueror+EquippableChest+Armor+Heavy,,,,1,,0,725,725,725,725,5,HeavyChest_Balanced,,1,,,1,1,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,,,,,,,,,,,1,1,1,UI_Armor,Metal_Shirt_T5,F_Metal_Shirt_T5,,,,0,0,,,,,,1,0,,,,,,,,,1,,0,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,120,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsXItem_HeavyLegs_Soldier_PVP,@Playtest_HeavyLegs_MasterName,Armor,@ui_itemtypedescription_heavy_legs_slot,@Playtest_HeavyLegs_Description,,SeasonalConqueror+EquippableLegs+Armor+Heavy,,,,1,,0,725,725,725,725,5,HeavyLegs_Balanced,,1,,,1,1,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,,,,,,,,,,,1,1,1,UI_Armor,Metal_Pants_T5,F_Metal_Pants_T5,,,,0,0,,,,,,1,0,,,,,,,,,1,,0,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,80,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsXItem_HeavyFeet_Soldier_PVP,@Playtest_HeavyFeet_MasterName,Armor,@ui_itemtypedescription_heavy_feet_slot,@Playtest_HeavyFeet_Description,,SeasonalConqueror+EquippableFeet+Armor+Heavy,,,,1,,0,725,725,725,725,5,HeavyFeet_Balanced,,1,,,1,1,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,,,,,,,,,,,1,1,1,UI_Armor,Metal_Boots_T5,F_Metal_Boots_T5,,,,0,0,,,,,,1,0,,,,,,,,,1,,0,4,SalvageSmall_MetalT5,SalvageSmall_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,60,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsXItem_MediumHead_Soldier_PVP,@Playtest_MediumHead_MasterName,Armor,@ui_itemtypedescription_normal_head_slot,@Playtest_MediumHead_Description,,SeasonalConqueror+EquippableHead+Armor+Medium,,,,1,,0,725,725,725,725,5,MediumHead_Balanced,,1,,,1,1,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,,,,,,,,,,,1,1,1,UI_Armor,Leather_SetA_Hat_T5,F_Leather_SetA_Hat_T5,,,,0,0,,,,,,1,0,,,,,,,,,1,,0,4,SalvageSmall_LeatherT5,SalvageSmall_LeatherT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,40,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsXItem_MediumChest_Soldier_PVP,@Playtest_MediumChest_MasterName,Armor,@ui_itemtypedescription_normal_chest_slot,@Playtest_MediumChest_Description,,SeasonalConqueror+EquippableChest+Armor+Medium,,,,1,,0,725,725,725,725,5,MediumChest_Balanced,,1,,,1,1,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,,,,,,,,,,,1,1,1,UI_Armor,Leather_SetA_Shirt_T5,F_Leather_SetA_Shirt_T5,,,,0,0,,,,,,1,0,,,,,,,,,1,,0,4,SalvageLarge_LeatherT5,SalvageLarge_LeatherT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,60,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsXItem_MediumHands_Soldier_PVP,@Playtest_MediumHands_MasterName,Armor,@ui_itemtypedescription_normal_glove_slot,@Playtest_MediumHands_Description,,SeasonalConqueror+EquippableHands+Armor+Medium,,,,1,,0,725,725,725,725,5,MediumHands_Balanced,,1,,,1,1,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,,,,,,,,,,,1,1,1,UI_Armor,Leather_SetA_Gloves_T5,F_Leather_SetA_Gloves_T5,,,,0,0,,,,,,1,0,,,,,,,,,1,,0,4,SalvageSmall_LeatherT5,SalvageSmall_LeatherT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,30,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsXItem_MediumLegs_Soldier_PVP,@Playtest_MediumLegs_MasterName,Armor,@ui_itemtypedescription_normal_legs_slot,@Playtest_MediumLegs_Description,,SeasonalConqueror+EquippableLegs+Armor+Medium,,,,1,,0,725,725,725,725,5,MediumLegs_Balanced,,1,,,1,1,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,PerkID_Stat_ArmorSoldier,PerkID_Common_CDR,PerkID_Gem_WildernessWard4,PerkID_Armor_Health,PerkID_Armor_DurCC,,,,,,,,,,,1,1,1,UI_Armor,Leather_SetA_Pants_T5,F_Leather_SetA_Pants_T5,,,,0,0,,,,,,1,0,,,,,,,,,1,,0,4,SalvageLarge_LeatherT5,SalvageLarge_LeatherT5,,SalvageCoinGrantT5,,,,,,,,,,,,750,0.34,1,40,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,,,Seasonal_Item,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
