ItemID,Name,ItemType,ItemTypeDisplayName,Description,HeartgemRuneTooltipTitle,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanRollPerkOnUpgrade,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,HeartgemTooltipBackgroundImage,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup,EventId,AttributionId
RawhideT0,@RawhideT0_MasterName,Resource,@ui_itemtypedescription_resource,@RawhideT0_Description,,Resource+Rawhide,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/RawhideT0.png,lyshineui/images/icons/items_hires/RawhideT0.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Cloth,Play_UI_Drop_Cloth,Play_UI_Use_Cloth,Play_UI_Created_Cloth,,,,,,,,,,
RawhideT1,@RawhideT1_MasterName,Resource,@ui_itemtypedescription_resource,@RawhideT1_Description,,Resource+Rawhide,Resources,RawResources,Rawhide,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/RawhideT1.png,lyshineui/images/icons/items_hires/RawhideT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Cloth,Play_UI_Drop_Cloth,Play_UI_Use_Cloth,Play_UI_Created_Cloth,,,,,,,,,,
RawhideT4,@RawhideT4_MasterName,Resource,@ui_itemtypedescription_resource,@RawhideT4_Description,,Resource+Rawhide,Resources,RawResources,Rawhide,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/RawhideT4.png,lyshineui/images/icons/items_hires/RawhideT4.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Cloth,Play_UI_Drop_Cloth,Play_UI_Use_Cloth,Play_UI_Created_Cloth,,,,,,,,,,
RawhideT5,@RawhideT5_MasterName,Resource,@ui_itemtypedescription_resource,@RawhideT5_Description,,Resource+Rawhide,Resources,RawResources,Rawhide,,,,,,5,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/RawhideT5.png,lyshineui/images/icons/items_hires/RawhideT5.png,,10000,0,,,,,,,,0,,0,,,,,,,,HideT5,,,,,,,,0,2,,Play_UI_Pickup_Cloth,Play_UI_Drop_Cloth,Play_UI_Use_Cloth,Play_UI_Created_Cloth,,,,,,,,,,
FurT3,@FurT3_MasterName,Resource,@ui_itemtypedescription_resource,@FurT3_Description,,Resource+Rawhide,Resources,RawResources,Rawhide,,,,,,3,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/RawhideT1.png,lyshineui/images/icons/items_hires/RawhideT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,"FurT3,Fur",,,,,,,,0,2,,Play_UI_Pickup_Cloth,Play_UI_Drop_Cloth,Play_UI_Use_Cloth,Play_UI_Created_Cloth,,,,,,,,,,
FurT4,@FurT4_MasterName,Resource,@ui_itemtypedescription_resource,@FurT4_Description,,Resource+Rawhide,Resources,RawResources,Rawhide,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/RawhideT1.png,lyshineui/images/icons/items_hires/RawhideT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,"FurT4,Fur",,,,,,,,0,2,,Play_UI_Pickup_Cloth,Play_UI_Drop_Cloth,Play_UI_Use_Cloth,Play_UI_Created_Cloth,,,,,,,,,,
FurT5,@FurT5_MasterName,Resource,@ui_itemtypedescription_resource,@FurT5_Description,,Resource+Rawhide,Resources,RawResources,Rawhide,,,,,,5,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/RawhideT1.png,lyshineui/images/icons/items_hires/RawhideT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,"FurT5,Fur",,,,,,,,0,2,,Play_UI_Pickup_Cloth,Play_UI_Drop_Cloth,Play_UI_Use_Cloth,Play_UI_Created_Cloth,,,,Liquid,Liquid,,,,,
LeatherT2,@LeatherT2_MasterName,Resource,@ui_itemtypedescription_resource,@LeatherT2_Description,,Resource+Leather,Resources,RefinedResources,Leather,,,,,,2,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/LeatherT2.png,lyshineui/images/icons/items_hires/LeatherT2.png,,10000,0,,,,,,,,0,,0,,,,,,,,"LeatherT2,Leather",,,,,,,,0,2,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,,,,Grass,Grass,,,,,
LeatherT3,@LeatherT3_MasterName,Resource,@ui_itemtypedescription_resource,@LeatherT3_Description,,Resource+Leather,Resources,RefinedResources,Leather,,,,,,3,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/LeatherT3.png,lyshineui/images/icons/items_hires/LeatherT3.png,,10000,0,,,,,,,,0,,0,,[LTID]LeatherT2,[LTID]LeatherT2,,,,,"LeatherT3,Leather",,,,,,,,0,2,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,,,,Metal,Metal,,,,,
LeatherT4,@LeatherT4_MasterName,Resource,@ui_itemtypedescription_resource,@LeatherT4_Description,,Resource+Leather,Resources,RefinedResources,Leather,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/LeatherT4.png,lyshineui/images/icons/items_hires/LeatherT4.png,,10000,0,,,,,,,,0,,0,,[LTID]LeatherT3,[LTID]LeatherT3,,,,,"LeatherT4,Leather",,,,,,,,0,2,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,,,,Stone,Stone,,,,,
