ItemID,Name,ItemType,ItemTypeDisplayName,Description,HeartgemRuneTooltipTitle,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanRollPerkOnUpgrade,CanHavePerks,CanReplaceGem,PerkSlot1,PerkSlot2,PerkSlot3,PerkSlot4,PerkSlot5,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,RequiredTradeskillRank,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,HeartgemTooltipBackgroundImage,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,IsRequiredItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageLootTags,SalvageGuaranteedPerkCount,SalvageAchievement,SalvageEntitlementId,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup,EventId,AttributionId,ObtainableReleaseVersion,MountItemAppearance,ExclusivelyForWarCampTier,RequiredExpansionId
CritterCallT1,@CritterCallT1_MasterName,Consumable,@ui_itemtypedescription_consumable,@CritterCallT1_Description,,Consumable,,,,,,,100,100,1,,,,,,0,,,,,,,,,,,,,,,,,,10,,0,0,0,UI_Consumable,,,,,,0,1,,,lyshineui/images/icons/items/Consumable/PotionHealthT1.png,lyshineui/images/icons/items_hires/PotionHealthT1.png,,10,0,,,,,,,,,0,,0,,,PotionHealthT1,,,,,,,,,,,,,,,,1,5,,Play_UI_Pickup_Liquid,Play_UI_Drop_Liquid,play_turkey_vox_alertcall,Play_UI_Created_Liquid,,,,,,,,,,,,,,
Toy_FrenzyPotion,@Toy_FrenzyPotion_MasterName,Consumable,@ui_itemtypedescription_consumable,@Toy_FrenzyPotion_Description,,Consumable+Potion,,,,,,,200,200,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Consumable,,,,,,0,1,,,lyshineui/images/icons/items/Consumable/PotionRegenT1.png,lyshineui/images/icons/items_hires/PotionRegenT1.png,,10,0,,,,,,,,,0,,0,,,PotionRegenT1,,,,,,,,,,,,,,,,1,5,,Play_UI_Pickup_Liquid,Play_UI_Drop_Liquid,Play_UI_Use_Liquid,Play_UI_Created_Liquid,,,,,,,,,,,,,,
Toy_Grenade,@Toy_Grenade_MasterName,Consumable,@ui_itemtypedescription_consumable,@Toy_Grenade_Description,,Consumable,,,,,,,200,200,2,1hClubT2FTUE,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Weapon,,,,,,0,1,,,lyshineui/images/icons/items/Consumable/1hClubT2.png,lyshineui/images/icons/items_hires/1hClubT2.png,,10,0,,,,,,,,,0,,0,,,1hClubT2,,,,,,,,,,,,,,,,1,1,,Play_UI_Pickup_Wood,Play_UI_Drop_Wood,Play_UI_Use_Wood,Play_UI_Created_Wood,Play_UI_item_broken,,,,,,,,,,,,,
Toy_PotionOfHuntersVision,@Toy_PotionOfHuntersVision_MasterName,Consumable,@ui_itemtypedescription_consumable,@Toy_PotionOfHuntersVision_Description,,Consumable+Potion,,,,,,,200,200,1,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Consumable,,,,,,0,1,,,lyshineui/images/icons/items/Consumable/PotionRegenT1.png,lyshineui/images/icons/items_hires/PotionRegenT1.png,,10,0,,,,,,,,,0,,0,,,PotionRegenT1,,,,,,,,,,,,,,,,1,5,,Play_UI_Pickup_Liquid,Play_UI_Drop_Liquid,Play_UI_Use_Liquid,Play_UI_Created_Liquid,,,,,,,,,,,,,,
GiftGoldBox1,@GiftGoldBox1_MasterName,Resource,@ui_itemtypedescription_resource,@GiftGoldBox1_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,,10000,0,,,,,,,,,1,1,0,,[LTID]GiftGoldBox1,,,GiftGold1,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
GiftGoldBox2,@GiftGoldBox2_MasterName,Resource,@ui_itemtypedescription_resource,@GiftGoldBox2_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,,10000,0,,,,,,,,,1,1,0,,[LTID]GiftGoldBox2,,,GiftGold2,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
GiftGoldBox3,@GiftGoldBox3_MasterName,Resource,@ui_itemtypedescription_resource,@GiftGoldBox3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,,10000,0,,,,,,,,,1,1,0,,[LTID]GiftGoldBox3,,,GiftGold3,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
GiftGypsumOrbBox1,@GiftGypsumOrbBox1,Resource,@ui_itemtypedescription_resource,@GiftGypsumOrbBox1_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,,10000,0,,,,,,,,,1,1,0,,[LTID]GypsumOrbBox1,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
GiftUmbralBox1,@GiftUmbralBox1_MasterName,Resource,@ui_itemtypedescription_resource,@GiftUmbralBox1_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,,10000,0,,,,,,,,,1,1,0,,[LTID]UmbralBox1,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
GiftUmbralBox2,@GiftUmbralBox2_MasterName,Resource,@ui_itemtypedescription_resource,@GiftUmbralBox2_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,,10000,0,,,,,,,,,1,1,0,,[LTID]UmbralBox2,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
