ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Jun2023_Container,@Jun2023_Container_MasterName,Resource,@ui_itemtypedescription_resource,@Jun2023_Container_Description,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Jun2023Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Skin_Chest_Jun2023_FrontWasteShawl,@Skin_Chest_Jun2023_FrontWasteShawl_MasterName,Armor,,@Skin_Chest_Jun2023_FrontWasteShawl_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FrontWasteShawl_chest,f_FrontWasteShawl_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Jun2023_FrontWasteShawl,@Skin_Head_Jun2023_FrontWasteShawl_MasterName,Armor,,@Skin_Head_Jun2023_FrontWasteShawl_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FrontWasteShawl_head,f_FrontWasteShawl_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_Jun2023_FrontWasteShawl,@Skin_Legs_Jun2023_FrontWasteShawl_MasterName,Armor,,@Skin_Legs_Jun2023_FrontWasteShawl_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FrontWasteShawl_legs,f_FrontWasteShawl_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Feet_Jun2023_FrontWasteShawl,@Skin_Feet_Jun2023_FrontWasteShawl_MasterName,Armor,,@Skin_Feet_Jun2023_FrontWasteShawl_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FrontWasteShawl_feet,f_FrontWasteShawl_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_Jun2023_FrontWasteShawl,@Skin_Hands_Jun2023_FrontWasteShawl_MasterName,Armor,,@Skin_Hands_Jun2023_FrontWasteShawl_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FrontWasteShawl_gloves,f_FrontWasteShawl_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_Jun2023_FrontWasteGambeson,@Skin_Chest_Jun2023_FrontWasteGambeson_MasterName,Armor,,@Skin_Chest_Jun2023_FrontWasteGambeson_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FrontWasteGambeson_chest,f_FrontWasteGambeson_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Jun2023_FrontWasteGambeson,@Skin_Head_Jun2023_FrontWasteGambeson_MasterName,Armor,,@Skin_Head_Jun2023_FrontWasteGambeson_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FrontWasteGambeson_head,f_FrontWasteGambeson_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_Jun2023_FrontWasteGambeson,@Skin_Legs_Jun2023_FrontWasteGambeson_MasterName,Armor,,@Skin_Legs_Jun2023_FrontWasteGambeson_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FrontWasteGambeson_legs,f_FrontWasteGambeson_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Feet_Jun2023_FrontWasteGambeson,@Skin_Feet_Jun2023_FrontWasteGambeson_MasterName,Armor,,@Skin_Feet_Jun2023_FrontWasteGambeson_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FrontWasteGambeson_feet,f_FrontWasteGambeson_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
