ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,IconCaptureGroup,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup
Omega_Box_Weapons_Damage,@Omega_Box_Weapons_Damage_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Weapons_Damage_Description,Resource+LootContainer,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,0,0,0,,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,10000,0,,,,1,,,,1,1,0,,[LTID]OmegaWeaponsDamage,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Gems,@Omega_Box_Gems_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Gems_Description,Resource+LootContainer,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,0,0,0,,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,10000,0,,,,1,,,,1,1,0,,[LTID]OmegaGems,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Consumables,@Omega_Box_Consumables_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Consumables_Description,Resource+LootContainer,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,0,0,0,,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/PicnicBasketT1.png,lyshineui/images/icons/items_hires/PicnicBasketT1.png,10000,0,,,,1,,,,1,1,0,,[LTID]OmegaConsumables,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Tools,@Omega_Box_Tools_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Tools_Description,Resource+LootContainer,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,0,0,0,,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/MI_Toolbox.png,lyshineui/images/icons/items_hires/MI_Toolbox.png,10000,0,,,,1,,,,1,1,0,,[LTID]OmegaTools,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_TuningOrbs,@Omega_Box_TuningOrbs_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_TuningOrbs_Description,Resource+LootContainer,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,0,0,0,,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/MI_SmallBoxGlowingRunes.png,lyshineui/images/icons/items_hires/MI_SmallBoxGlowingRunes.png,10000,0,,,,1,,,,1,1,0,,[LTID]OmegaTuningOrbs,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Bag_T5,@Omega_Bag_T5_MasterName,Armor,@ui_itemtypedescription_bag,@Omega_Bag_T5_Description,Bag,,,,1,,600,600,600,5,BagBT5,,,,1,,PerkID_Bags_WeightAdd,PerkID_Bags_ArmorWeight,,,,,,,,,,,1,1,1,,UI_Armor,,,,,0,0,,,lyshineui/images/icons/items/Armor/BagBT5.png,lyshineui/images/icons/items_hires/BagBT5.png,1,0,,,,,,,,1,1,1,4,SalvageLarge_LeatherT5,SalvageLarge_LeatherT5,,,,,,,,,,,0,0,0,1,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,,,,,,,,
Omega_Azoth_Vial,@Omega_Azoth_Vial_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Azoth_Vial_Description,Resource+LootContainer,,,,1,,,,,0,,,,,,,,,,,,,,,,,4,,0,0,0,,UI_Material,,,,,,0,,,lyshineui/images/icons/items/Resource/AzureT1.png,lyshineui/images/icons/items_hires/AzureT1.png,10000,0,,,,,,,,1,,0,,[LTID]OmegaAzoth,,,OmegaAzothGrant,,,,,,,,,,,0,1,,Play_UI_Pickup_Liquid,Play_UI_Drop_Liquid,Play_UI_Use_Liquid,Play_UI_Created_Liquid,,,,,,,,1
Omega_Box_Heartgem_Runes,@Omega_Box_Heartgem_Runes_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Heartgem_Runes_Description,Resource+LootContainer,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,0,0,0,,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/FishingTreasureChestT3.png,lyshineui/images/icons/items_hires/FishingTreasureChestT3.png,10000,0,,,,1,,,,1,1,0,,[LTID]OmegaHeartgemRunes,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Armor_Soldier,@Omega_Box_Armor_Soldier_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Armor_Soldier_Description,Resource+LootContainer,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,0,0,0,,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/SprigganRewardContainer1.png,lyshineui/images/icons/items_hires/SprigganRewardContainer1.png,10000,0,,,,1,,,,1,1,0,,[LTID]OmegaArmorSoldier,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Armor_Soldier_Heavy,@Omega_Box_Armor_Soldier_Heavy_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Armor_Soldier_Heavy_Description,Resource+LootContainer,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,0,0,0,,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/Omega_ChestHeavy.png,lyshineui/images/icons/items_hires/Omega_ChestHeavy.png,10000,0,,,,1,,,,1,1,0,,[LTID]OmegaArmorSoldierHeavy,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
