ItemID,Name,ItemType,ItemTypeDisplayName,Description,HeartgemRuneTooltipTitle,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanRollPerkOnUpgrade,CanHavePerks,CanReplaceGem,PerkSlot1,PerkSlot2,PerkSlot3,PerkSlot4,PerkSlot5,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,HeartgemTooltipBackgroundImage,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,IsRequiredItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageLootTags,SalvageGuaranteedPerkCount,SalvageAchievement,SalvageEntitlementId,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup,EventId,AttributionId,ObtainableReleaseVersion,MountItemAppearance,ExclusivelyForWarCampTier
1hLongsword_SaplingBrandT2,@1hLongsword_SaplingBrandT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_SaplingBrandT2_Description,,Weapon+EquippableMainHand+Sword+Melee,Weapons,1Handed,Swords,,1,260,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandRanger,,PerkID_Weapon_DmgAngryEarth,,,PerkID_Stat_OneHandRanger,,PerkID_Weapon_DmgAngryEarth,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordAngryEarthT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
1hLongsword_OverseersInsightT2,@1hLongsword_OverseersInsightT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_OverseersInsightT2_Description,,Weapon+EquippableMainHand+Sword+Melee,,,,1,,265,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandSpellsword,PerkID_Gem_ArcaneDMG3,,,,PerkID_Stat_OneHandSpellsword,PerkID_Gem_ArcaneDMG3,,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordLostT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,54,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
1hLongsword_TheDeckhandT2,@1hLongsword_TheDeckhandT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_TheDeckhandT2_Description,,Weapon+EquippableMainHand+Sword+Melee,,,,1,,265,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandCavalier,,PerkID_Weapon_DmgLost,,,PerkID_Stat_OneHandCavalier,,PerkID_Weapon_DmgLost,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordLostT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
1hLongsword_OverseersEdgeT2,@1hLongsword_OverseersEdgeT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_OverseersEdgeT2_Description,,Weapon+EquippableMainHand+Sword+Melee,,,,1,,305,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandFighter,,PerkID_Weapon_DmgBasic,,,PerkID_Stat_OneHandFighter,,PerkID_Weapon_DmgBasic,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordLostT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,54,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
1hLongsword_DarkPathT2,@1hLongsword_DarkPathT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_DarkPathT2_Description,,Weapon+EquippableMainHand+Sword+Melee,,,,1,,315,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandSoldier,,PerkID_Weapon_DmgCorrupted,,,PerkID_Stat_OneHandSoldier,,PerkID_Weapon_DmgCorrupted,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordCorruptedT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
1hLongsword_BriarmawT2,@1hLongsword_BriarmawT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_BriarmawT2_Description,,Weapon+EquippableMainHand+Sword+Melee,Weapons,1Handed,Swords,,1,,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandBarbarian,PerkID_Gem_ThreatAdd1,,,,PerkID_Stat_OneHandBarbarian,PerkID_Gem_ThreatAdd1,,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordAngryEarthT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
1hLongsword_DarkTidingsT2,@1hLongsword_DarkTidingsT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_DarkTidingsT2_Description,,Weapon+EquippableMainHand+Sword+Melee,Weapons,1Handed,Swords,,1,,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandSentry,PerkID_Gem_LightningDMG1,,,,PerkID_Stat_OneHandSentry,PerkID_Gem_LightningDMG1,,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordCorruptedT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
1hLongsword_EffervescenceT2,@1hLongsword_EffervescenceT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_EffervescenceT2_Description,,Weapon+EquippableMainHand+Sword+Melee,Weapons,1Handed,Swords,,1,,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandSoldier,,PerkID_Weapon_DmgBasic,,,PerkID_Stat_OneHandSoldier,,PerkID_Weapon_DmgBasic,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordAncientT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
1hLongsword_EyeOfDarknessT2,@1hLongsword_EyeOfDarknessT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_EyeOfDarknessT2_Description,,Weapon+EquippableMainHand+Sword+Melee,Weapons,1Handed,Swords,,1,,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandBarbarian,PerkID_Gem_VoidDMG1,,,,PerkID_Stat_OneHandBarbarian,PerkID_Gem_VoidDMG1,,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordCorruptedT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
1hLongsword_FirstContactT2,@1hLongsword_FirstContactT2_MasterName,Weapon,@ui_itemtypedescription_sword,@1hLongsword_FirstContactT2_Description,,Weapon+EquippableMainHand+Sword+Melee,Weapons,1Handed,Swords,,1,,200,300,2,SwordT2,,1,,,1,1,PerkID_Stat_OneHandSentry,,PerkID_Weapon_DmgAncient,,,PerkID_Stat_OneHandSentry,,PerkID_Weapon_DmgAncient,,,,,,,,,,1,1,1,UI_Weapon,,,1hLongSwordAncientT2,,,0,0,Items/Weapons/weapon,,,,,1,0,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageWeaponSmall,SalvageSmall_MetalT2,,SalvageCoinGrantT2,,,,,,,,,,,,1500,0.12,0,36,,Play_UI_Pickup_Sword,Play_UI_Drop_Sword,Play_UI_Use_Sword,Play_UI_Created_Sword,Play_UI_item_broken,,1H_Sword,,,,,,,,,,
