ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Dec2024_Container,@Dec2024_Container_Name,Resource,@ui_itemtypedescription_resource,@Dec2024_Container_Desc,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Dec2024Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
MTX_Nutcracker_Apparel1_chest,@MTX_Nutcracker_Apparel1_chest_Name,Armor,,@MTX_Nutcracker_Apparel1_Desc,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Nutcracker_chest,f_Nutcracker_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Nutcracker_Apparel1_head,@MTX_Nutcracker_Apparel1_head_Name,Armor,,@MTX_Nutcracker_Apparel1_Desc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Nutcracker_head,f_Nutcracker_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Nutcracker_Apparel1_legs,@MTX_Nutcracker_Apparel1_legs_Name,Armor,,@MTX_Nutcracker_Apparel1_Desc,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Nutcracker_legs,f_Nutcracker_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Nutcracker_Apparel1_feet,@MTX_Nutcracker_Apparel1_feet_Name,Armor,,@MTX_Nutcracker_Apparel1_Desc,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Nutcracker_feet,f_Nutcracker_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Nutcracker_Apparel1_hands,@MTX_Nutcracker_Apparel1_hands_Name,Armor,,@MTX_Nutcracker_Apparel1_Desc,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Nutcracker_gloves,f_Nutcracker_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_FishingPole_CandyCane,@MTX_FishingPole_CandyCane_Name,Weapon,,@MTX_FishingPole_CandyCane_Desc,EquippableTool+FishingPole,,,,,,,,,,Skin_FishingPole,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,app_CandyCane_FishingPole,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_AzothStaff_CandyCane,@MTX_AzothStaff_CandyCane_Name,Weapon,,@MTX_AzothStaff_CandyCane_Desc,Weapon+EquippableTool+Axe+AzothStaff,,,,,,,,,,Skin_AzothStaff,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,app_CandyCane_AzothScepter,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_LoggingAxe_CandyCane,@MTX_LoggingAxe_CandyCane_Name,Weapon,,@MTX_LoggingAxe_CandyCane_Desc,EquippableTool+Axe+LoggingAxe,,,,,,,,,,Skin_LoggingAxe,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,app_CandyCane_LoggingAxe,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Pickaxe_CandyCane,@MTX_Pickaxe_CandyCane_Name,Weapon,,@MTX_Pickaxe_CandyCane_Desc,EquippableTool+Axe+Pickaxe,,,,,,,,,,Skin_Pick,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,app_CandyCane_Pickaxe,,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
