ItemID,Name,ItemType,ItemTypeDisplayName,Description,HeartgemRuneTooltipTitle,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,NoBindOnPickupChance,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,MaxCraftGS,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanRollPerkOnUpgrade,CanHavePerks,CanReplaceGem,PerkSlot1,PerkSlot2,PerkSlot3,PerkSlot4,PerkSlot5,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,OnEquipObjectiveId,ForceRarity,RequiredLevel,RequiredTradeskillRank,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,HeartgemTooltipBackgroundImage,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,IsRequiredItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageLootTags,SalvageGuaranteedPerkCount,SalvageAchievement,SalvageEntitlementId,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup,EventId,AttributionId,ObtainableReleaseVersion,RetiredInReleaseVersion,MountItemAppearance,ExclusivelyForWarCampTier,RequiredExpansionId,NotDroppable,NotDroppableNotificationOverride,ScheduleId,FFAConvertedItemId,RequiredWorldTags
EtherealDustT2,@EtherealDustT2_MasterName,Resource,@ui_itemtypedescription_resource,@EtherealDustT2_Description,,Resource+Rawhide,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Material,,,,,,,0,,,lyshineui/images/icons/items/Resource/SparklingDustT5.png,lyshineui/images/icons/items_hires/SparklingDustT5.png,,10000,1,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,Play_UI_Pickup_Cloth,Play_UI_Drop_Cloth,Play_UI_Use_Cloth,Play_UI_Created_Cloth,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
ConquerorsTrophyT2,@ConquerorsTrophyT2_MasterName,Resource,@ui_itemtypedescription_resource,@ConquerorsTrophyT2_Description,,Resource+Rawhide,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Material,,,,,,,0,,,lyshineui/images/icons/items/Resource/AnimusCorruptedT1.png,lyshineui/images/icons/items_hires/AnimusCorruptedT1.png,,10000,1,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0,0,,Play_UI_Pickup_Cloth,Play_UI_Drop_Cloth,Play_UI_Use_Cloth,Play_UI_Created_Cloth,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
EtherealDustBox,@EtherealDustBox_Mastername,Resource,@ui_itemtypedescription_resource,@EtherealDustBox_Description,,Resource+LootContainer,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/AnimusT5.png,lyshineui/images/icons/Items_HiRes/AnimusT5.png,,10000,0,,,,,1,,,,1,1,0,,[LTID]PvPDustBox,,,EtherealDustPlayerXP,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
HeavyHead_EtherealT2,@HeavyHead_EtherealT2_MasterName,Armor,@ui_itemtypedescription_heavy_head_slot,@HeavyHead_EtherealT2_Description,,SeasonalEthereal+EquippableHead+Armor+Heavy,Apparel,ArmorHeavy,SlotHead,,,1,,350,350,350,2,HeavyHead_Balanced,,,,,1,1,CraftingAttributeBucketT2,PerkID_EtherealArmor,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,,PerkID_EtherealArmor,,,,CraftingAttributeBucketT2,,,,,,,15,,1,1,1,UI_Armor,Conquistador_Helm_T1,F_Conquistador_Helm_T1,,,,0,0,,,,,,1,1,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageCraftedMetalSmall_Dust,SalvageSmall_MetalT2,,,,,,,,,,,,,,375,0.12,1,80,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
HeavyHead_EtherealT3,@HeavyHead_EtherealT3_MasterName,Armor,@ui_itemtypedescription_heavy_head_slot,@HeavyHead_EtherealT3_Description,,SeasonalEthereal+EquippableHead+Armor+Heavy,Apparel,ArmorHeavy,SlotHead,,,1,,600,600,600,3,HeavyHead_Balanced,,,,,1,1,CraftingAttributeBucketT3,PerkID_EtherealArmor,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,,PerkID_EtherealArmor,,,,CraftingAttributeBucketT3,,PerkBucket_EtherealArmor1,,,,,15,,1,1,1,UI_Armor,Conquistador_Helm_T2,F_Conquistador_Helm_T2,,,,0,0,,,,,,1,1,,,,,,,,,1,1,1,1,[LTID]MasterSalvageCraftedMetalSmall_Dust,SalvageSmall_MetalT3,,,,,,,,,,,,,,500,0.12,1,80,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
HeavyHead_EtherealT4,@HeavyHead_EtherealT4_MasterName,Armor,@ui_itemtypedescription_heavy_head_slot,@HeavyHead_EtherealT4_Description,,SeasonalEthereal+EquippableHead+Armor+Heavy,Apparel,ArmorHeavy,SlotHead,,,1,,700,700,700,4,HeavyHead_Balanced,,,,,1,1,CraftingAttributeBucketT4,PerkID_EtherealArmor,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,,PerkID_EtherealArmor,,,,CraftingAttributeBucketT4,,PerkBucket_EtherealArmor1,PerkBucket_EtherealArmor2,,,,15,,1,1,1,UI_Armor,Conquistador_Helm_T3,F_Conquistador_Helm_T3,,,,0,0,,,,,,1,1,,,,,,,,,1,1,1,2,[LTID]MasterSalvageCraftedMetalSmall_Dust,SalvageSmall_MetalT4,,,,,,,,,,,,,,625,0.12,1,80,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
HeavyHead_EtherealT5,@HeavyHead_EtherealT5_MasterName,Armor,@ui_itemtypedescription_heavy_head_slot,@HeavyHead_EtherealT5_Description,,SeasonalEthereal+EquippableHead+Armor+Heavy,Apparel,ArmorHeavy,SlotHead,,,1,,725,725,725,5,HeavyHead_Balanced,,,,,1,1,CraftingAttributeBucketT5,PerkID_EtherealArmor,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,,PerkID_EtherealArmor,,,,CraftingAttributeBucketT5,,PerkBucket_EtherealArmor1,PerkBucket_EtherealArmor2,PerkBucket_EtherealArmor3,,,15,,1,1,1,UI_Armor,Metal_Hat_T5,F_Metal_Hat_T5,,,,0,0,,,,,,1,1,,,,,,,,,1,1,1,4,[LTID]MasterSalvageCraftedMetalSmall_Dust,SalvageSmall_MetalT5,,,,,,,,,,,,,,750,0.12,1,80,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
HeavyChest_EtherealT2,@HeavyChest_EtherealT2_MasterName,Armor,@ui_itemtypedescription_heavy_chest_slot,@HeavyChest_EtherealT2_Description,,SeasonalEthereal+EquippableChest+Armor+Heavy,Apparel,ArmorHeavy,SlotChest,,,1,,350,350,350,2,HeavyChest_Balanced,,,,,1,1,CraftingAttributeBucketT2,PerkID_EtherealArmor,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,,PerkID_EtherealArmor,,,,CraftingAttributeBucketT2,,,,,,,15,,1,1,1,UI_Armor,Conquistador_Chest_T1,F_Conquistador_Chest_T1,,,,0,0,,,,,,1,1,,,,,,,,,1,1,1,0.5,[LTID]MasterSalvageCraftedMetalLarge_Dust,SalvageLarge_MetalT2,,,,,,,,,,,,,,375,0.12,1,120,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
HeavyChest_EtherealT3,@HeavyChest_EtherealT3_MasterName,Armor,@ui_itemtypedescription_heavy_chest_slot,@HeavyChest_EtherealT3_Description,,SeasonalEthereal+EquippableChest+Armor+Heavy,Apparel,ArmorHeavy,SlotChest,,,1,,600,600,600,3,HeavyChest_Balanced,,,,,1,1,CraftingAttributeBucketT3,PerkID_EtherealArmor,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,,PerkID_EtherealArmor,,,,CraftingAttributeBucketT3,,PerkBucket_EtherealArmor1,,,,,15,,1,1,1,UI_Armor,Conquistador_Chest_T2,F_Conquistador_Chest_T2,,,,0,0,,,,,,1,1,,,,,,,,,1,1,1,1,[LTID]MasterSalvageCraftedMetalLarge_Dust,SalvageLarge_MetalT3,,,,,,,,,,,,,,500,0.12,1,120,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
HeavyChest_EtherealT4,@HeavyChest_EtherealT4_MasterName,Armor,@ui_itemtypedescription_heavy_chest_slot,@HeavyChest_EtherealT4_Description,,SeasonalEthereal+EquippableChest+Armor+Heavy,Apparel,ArmorHeavy,SlotChest,,,1,,700,700,700,4,HeavyChest_Balanced,,,,,1,1,CraftingAttributeBucketT4,PerkID_EtherealArmor,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,PerkBucket_GlobalPvPGuarantee,,PerkID_EtherealArmor,,,,CraftingAttributeBucketT4,,PerkBucket_EtherealArmor1,PerkBucket_EtherealArmor2,,,,15,,1,1,1,UI_Armor,Conquistador_Chest_T3,F_Conquistador_Chest_T3,,,,0,0,,,,,,1,1,,,,,,,,,1,1,1,2,[LTID]MasterSalvageCraftedMetalLarge_Dust,SalvageLarge_MetalT4,,,,,,,,,,,,,,625,0.12,1,120,,Play_UI_Pickup_Armour,Play_UI_Drop_Armour,Play_UI_Use_Armour,Play_UI_Created_Armour,,,,,,,,,,,,,,,,true,@ui_cantDropPvpServer,,,SeasonalServer
