ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Mar2025_Container,@Mar2025_Container_Name,Resource,@ui_itemtypedescription_resource,@Mar2025_Container_Desc,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Mar2025Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
MTX_ThickAsThieves_Noble_chest,@MTX_ThickAsThieves_Noble_chest_Name,Armor,,@MTX_ThickAsThieves_Noble_Desc,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_ThickAsThieves_Noble_chest,f_ThickAsThieves_Noble_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_ThickAsThieves_Noble_head,@MTX_ThickAsThieves_Noble_head_Name,Armor,,@MTX_ThickAsThieves_Noble_Desc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_ThickAsThieves_Noble_head,f_ThickAsThieves_Noble_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_ThickAsThieves_Noble_legs,@MTX_ThickAsThieves_Noble_legs_Name,Armor,,@MTX_ThickAsThieves_Noble_Desc,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_ThickAsThieves_Noble_legs,f_ThickAsThieves_Noble_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_ThickAsThieves_Noble_feet,@MTX_ThickAsThieves_Noble_feet_Name,Armor,,@MTX_ThickAsThieves_Noble_Desc,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_ThickAsThieves_Noble_feet,f_ThickAsThieves_Noble_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_ThickAsThieves_Noble_hands,@MTX_ThickAsThieves_Noble_hands_Name,Armor,,@MTX_ThickAsThieves_Noble_Desc,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_ThickAsThieves_Noble_gloves,f_ThickAsThieves_Noble_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_1hRapier_ThickAsThieves,@MTX_1hRapier_ThickAsThieves_Name,Weapon,,@MTX_1hRapier_ThickAsThieves_Desc,EquippableMainHand+Rapier+Melee,,,,,,,,,,Skin_Rapier,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,app_ThickAsThieves_Rapier,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_2hSpear_ThickAsThieves,@MTX_2hSpear_ThickAsThieves_Name,Weapon,,@MTX_2hSpear_ThickAsThieves_Desc,EquippableTwoHand+Spear+Melee,,,,,,,,,,Skin_Spear,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,app_ThickAsThieves_Spear,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_1hHatchet_ThickAsThieves,@MTX_1hHatchet_ThickAsThieves_Name,Weapon,,@MTX_1hHatchet_ThickAsThieves_Desc,EquippableMainHand+Hatchet+Melee,,,,,,,,,,Skin_Hatchet,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,app_ThickAsThieves_Hatchet,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_2hGreatsword_ThickAsThieves,@MTX_2hGreatsword_ThickAsThieves_Name,Weapon,,@MTX_2hGreatsword_ThickAsThieves_Desc,EquippableTwoHand+GreatSword+Melee,,,,,,,,,,Skin_Greatsword,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,app_ThickAsThieves_Greatsword,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
