ItemID,EquipmentSetId,Name,ItemType,ItemTypeDisplayName,Description,HeartgemRuneTooltipTitle,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,NoBindOnPickupChance,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,MaxCraftGS,MaxCraftUpgradeGS,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanRollPerkOnUpgrade,CanHavePerks,CanReplaceGem,PerkSlot1,PerkSlot2,PerkSlot3,PerkSlot4,PerkSlot5,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,PerPerkScalingMultiplier,OverrideAttributeScaling,OverrideScalingStrength,OverrideScalingDexterity,OverrideScalingIntelligence,OverrideScalingFocus,OnEquipObjectiveId,ForceRarity,RequiredLevel,RequiredTradeskillRank,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,HeartgemTooltipBackgroundImage,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,IsRequiredItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageLootTags,SalvageGuaranteedPerkCount,SalvageAchievement,SalvageEntitlementId,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup,EventId,AttributionId,ObtainableReleaseVersion,RetiredInReleaseVersion,MountItemAppearance,ExclusivelyForWarCampTier,RequiredExpansionId,NotDroppable,NotDroppableNotificationOverride,ScheduleId,FFAConvertedItemId,RequiredWorldTags,GrantMasteries
BattleRoyale_ShieldRound_Common,,@BattleRoyale_ShieldRound_MasterName,Weapon,@ui_itemtypedescription_roundshield,@BattleRoyale_ShieldRound_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+RoundShield,,,,,,,700,500,700,,,5,1hShieldAT5,,,1,,1,1,PerkID_Stat_RoundShield,,,,,PerkID_Stat_RoundShield,,,,,,,,,,,,,,,,,0,,,1,1,1,UI_Weapon,,,1hRoundShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,48,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
BattleRoyale_ShieldRound_Uncommon,,@BattleRoyale_ShieldRound_MasterName,Weapon,@ui_itemtypedescription_roundshield,@BattleRoyale_ShieldRound_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+RoundShield,,,,,,,700,500,700,,,5,1hShieldAT5,,,1,,1,1,PerkID_Stat_RoundShield,PerkID_Armor_DefBasic,,,,PerkID_Stat_RoundShield,PerkID_Armor_DefBasic,,,,,,,,,,i,,,,,,1,,,1,1,1,UI_Weapon,,,1hRoundShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,48,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
BattleRoyale_ShieldRound_Rare,,@BattleRoyale_ShieldRound_MasterName,Weapon,@ui_itemtypedescription_roundshield,@BattleRoyale_ShieldRound_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+RoundShield,,,,,,,700,500,700,,,5,1hShieldAT5,,,1,,1,1,PerkID_Stat_RoundShield,PerkID_Armor_DefBasic,PerkID_Weapon_CritChance,,,PerkID_Stat_RoundShield,PerkID_Armor_DefBasic,PerkID_Weapon_CritChance,,,,,,,,,,,,,,,2,,,1,1,1,UI_Weapon,,,1hRoundShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,48,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
BattleRoyale_ShieldRound_Epic,,@BattleRoyale_ShieldRound_MasterName,Weapon,@ui_itemtypedescription_roundshield,@BattleRoyale_ShieldRound_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+RoundShield,,,,,,,700,500,700,,,5,1hShieldAT5,,,1,,1,1,PerkID_Stat_RoundShield,PerkID_Armor_DefBasic,PerkID_Weapon_CritChance,PerkID_Weapon_BleedonCrit,,PerkID_Stat_RoundShield,PerkID_Armor_DefBasic,PerkID_Weapon_CritChance,PerkID_Weapon_BleedonCrit,,,,,,,,,,,,,,3,,,1,1,1,UI_Weapon,,,1hRoundShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,48,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
BattleRoyale_ShieldRound_Legendary,,@BattleRoyale_ShieldRound_MasterName,Weapon,@ui_itemtypedescription_roundshield,@BattleRoyale_ShieldRound_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+RoundShield,,,,,,,700,500,700,,,5,1hShieldAT5,,,1,,1,1,PerkID_Stat_RoundShield,PerkID_Armor_DefBasic,PerkID_Weapon_CritChance,PerkID_Weapon_BleedonCrit,PerkID_Common_CDR,PerkID_Stat_RoundShield,PerkID_Armor_DefBasic,PerkID_Weapon_CritChance,PerkID_Weapon_BleedonCrit,PerkID_Common_CDR,,,,,,,,,,,,,4,,,1,1,1,UI_Weapon,,,1hRoundShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,48,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
BattleRoyale_ShieldKite_Common,,@BattleRoyale_ShieldKite_MasterName,Weapon,@ui_itemtypedescription_kiteshield,@BattleRoyale_ShieldKite_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+KiteShield,,,,,,,700,500,700,,,5,1hShieldBT5,,,1,,1,1,PerkID_Stat_KiteShield,,,,,PerkID_Stat_KiteShield,,,,,,,,,,,,,,,,,0,,,1,1,1,UI_Weapon,,,1hKiteShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,54,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
BattleRoyale_ShieldKite_Uncommon,,@BattleRoyale_ShieldKite_MasterName,Weapon,@ui_itemtypedescription_kiteshield,@BattleRoyale_ShieldKite_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+KiteShield,,,,,,,700,500,700,,,5,1hShieldBT5,,,1,,1,1,PerkID_Stat_KiteShield,PerkID_Armor_DefBasic,,,,PerkID_Stat_KiteShield,PerkID_Armor_DefBasic,,,,,,,,,,,,,,,,1,,,1,1,1,UI_Weapon,,,1hKiteShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,54,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
BattleRoyale_ShieldKite_Epic,,@BattleRoyale_ShieldKite_MasterName,Weapon,@ui_itemtypedescription_kiteshield,@BattleRoyale_ShieldKite_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+KiteShield,,,,,,,700,500,700,,,5,1hShieldBT5,,,1,,1,1,PerkID_Stat_KiteShield,PerkID_Armor_DefBasic,PerkID_WeaponMelee_BlockingStam,,,PerkID_Stat_KiteShield,PerkID_Armor_DefBasic,PerkID_WeaponMelee_BlockingStam,,,,,,,,,,,,,,,2,,,1,1,1,UI_Weapon,,,1hKiteShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,54,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
BattleRoyale_ShieldKite_Rare,,@BattleRoyale_ShieldKite_MasterName,Weapon,@ui_itemtypedescription_kiteshield,@BattleRoyale_ShieldKite_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+KiteShield,,,,,,,700,500,700,,,5,1hShieldBT5,,,1,,1,1,PerkID_Stat_KiteShield,PerkID_Armor_DefBasic,PerkID_WeaponMelee_BlockingStam,PerkID_Weapon_HealOnDmg,,PerkID_Stat_KiteShield,PerkID_Armor_DefBasic,PerkID_WeaponMelee_BlockingStam,PerkID_Weapon_HealOnDmg,,,,,,,,,,,,,,3,,,1,1,1,UI_Weapon,,,1hKiteShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,54,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
BattleRoyale_ShieldKite_Legendary,,@BattleRoyale_ShieldKite_MasterName,Weapon,@ui_itemtypedescription_kiteshield,@BattleRoyale_ShieldKite_Description,,BattleRoyaleOnly+Weapon+EquippableOffHand+Shield+KiteShield,,,,,,,700,500,700,,,5,1hShieldBT5,,,1,,1,1,PerkID_Stat_KiteShield,PerkID_Armor_DefBasic,PerkID_WeaponMelee_BlockingStam,PerkID_Weapon_HealOnDmg,PerkID_Common_CDR,PerkID_Stat_KiteShield,PerkID_Armor_DefBasic,PerkID_WeaponMelee_BlockingStam,PerkID_Weapon_HealOnDmg,PerkID_Common_CDR,,,,,,,,,,,,,4,,,1,1,1,UI_Weapon,,,1hKiteShieldCrystallineT5,,,0,0,Items/Weapons/weapon,,,,,1,1,,,,,,,,,1,,1,4,SalvageLarge_MetalT5,SalvageLarge_MetalT5,,SalvageCoinGrantT5,,,,,,,,,,,,3000,0.12,0,54,,Play_UI_Pickup_Firearm,Play_UI_Drop_Firearm,Play_UI_Use_Firearm,Play_UI_Created_Firearm,Play_UI_item_broken,,,,,,,,,,,,,,,false,,,,,
