ItemID,ParentItemId_DVT,IgnoreParentColumns_DVT,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup
ClothingHead_HorticulturistT3_MakeGood,ClothingHead_HorticulturistT3,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingHead_HorticulturistT3_MasterName,Armor,@ui_itemtypedescription_normal_head_slot,@ClothingHead_HorticulturistT3_Description,EquippableHead+Armor+Medium,Apparel,ArmorLight,SlotHead,,1,400,300,400,3,LightHead_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,1,,1,1,1,UI_Armor,m_harvester_head,f_harvester_head,,,0,0,,,,,1,0,,,,,,,,1,1,1,1,[LTID]MasterSalvageArmorSmall,SalvageSmall_LeatherT3,,SalvageCoinGrantT3,,,,,,,,,500,0.12,0,40,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingHead_HorticulturistT4_MakeGood,ClothingHead_HorticulturistT4,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingHead_HorticulturistT4_MasterName,Armor,@ui_itemtypedescription_normal_head_slot,@ClothingHead_HorticulturistT4_Description,EquippableHead+Armor+Medium,Apparel,ArmorLight,SlotHead,,1,500,400,500,4,LightHead_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,2,,1,1,1,UI_Armor,m_harvestervar2_head,f_harvestervar2_head,,,0,0,,,,,1,0,,,,,,,,1,1,1,2,[LTID]MasterSalvageArmorSmall,SalvageSmall_LeatherT4,,SalvageCoinGrantT4,,,,,,,,,625,0.12,0,40,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingHead_HorticulturistT5_MakeGood,ClothingHead_HorticulturistT5,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingHead_HorticulturistT5_MasterName,Armor,@ui_itemtypedescription_normal_head_slot,@ClothingHead_HorticulturistT5_Description,EquippableHead+Armor+Medium,Apparel,ArmorLight,SlotHead,,1,600,500,600,5,LightHead_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,3,,1,1,1,UI_Armor,m_harvestervar1_head,f_harvestervar1_head,,,0,0,,,,,1,0,,,,,,,,1,1,1,4,[LTID]MasterSalvageArmorSmall,SalvageSmall_LeatherT5,,SalvageCoinGrantT5,,,,,,,,,750,0.12,0,40,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingChest_HorticulturistT3_MakeGood,ClothingChest_HorticulturistT3,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingChest_HorticulturistT3_MasterName,Armor,@ui_itemtypedescription_normal_chest_slot,@ClothingChest_HorticulturistT3_Description,EquippableChest+Armor+Medium,Apparel,ArmorLight,SlotChest,,1,400,300,400,3,LightChest_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,1,,1,1,1,UI_Armor,m_harvester_chest,f_harvester_chest,,,0,0,,,,,1,0,,,,,,,,1,1,1,1,[LTID]MasterSalvageArmorLarge,SalvageLarge_LeatherT3,,SalvageCoinGrantT3,,,,,,,,,500,0.12,0,60,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingChest_HorticulturistT4_MakeGood,ClothingChest_HorticulturistT4,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingChest_HorticulturistT4_MasterName,Armor,@ui_itemtypedescription_normal_chest_slot,@ClothingChest_HorticulturistT4_Description,EquippableChest+Armor+Medium,Apparel,ArmorLight,SlotChest,,1,500,400,500,4,LightChest_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,2,,1,1,1,UI_Armor,m_harvestervar2_chest,f_harvestervar2_chest,,,0,0,,,,,1,0,,,,,,,,1,1,1,2,[LTID]MasterSalvageArmorLarge,SalvageLarge_LeatherT4,,SalvageCoinGrantT4,,,,,,,,,625,0.12,0,60,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingChest_HorticulturistT5_MakeGood,ClothingChest_HorticulturistT5,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingChest_HorticulturistT5_MasterName,Armor,@ui_itemtypedescription_normal_chest_slot,@ClothingChest_HorticulturistT5_Description,EquippableChest+Armor+Medium,Apparel,ArmorLight,SlotChest,,1,600,500,600,5,LightChest_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,3,,1,1,1,UI_Armor,m_harvestervar1_chest,f_harvestervar1_chest,,,0,0,,,,,1,0,,,,,,,,1,1,1,4,[LTID]MasterSalvageArmorLarge,SalvageLarge_LeatherT5,,SalvageCoinGrantT5,,,,,,,,,750,0.12,0,60,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingHands_HorticulturistT3_MakeGood,ClothingHands_HorticulturistT3,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingHands_HorticulturistT3_MasterName,Armor,@ui_itemtypedescription_normal_glove_slot,@ClothingHands_HorticulturistT3_Description,EquippableHands+Armor+Medium,Apparel,ArmorLight,SlotHands,,1,400,300,400,3,LightHands_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,1,,1,1,1,UI_Armor,m_harvester_hands,f_harvester_hands,,,0,0,,,,,1,0,,,,,,,,1,1,1,1,[LTID]MasterSalvageArmorSmall,SalvageSmall_LeatherT3,,SalvageCoinGrantT3,,,,,,,,,500,0.12,0,30,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingHands_HorticulturistT4_MakeGood,ClothingHands_HorticulturistT4,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingHands_HorticulturistT4_MasterName,Armor,@ui_itemtypedescription_normal_glove_slot,@ClothingHands_HorticulturistT4_Description,EquippableHands+Armor+Medium,Apparel,ArmorLight,SlotHands,,1,500,400,500,4,LightHands_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,2,,1,1,1,UI_Armor,m_harvestervar2_hands,f_harvestervar2_hands,,,0,0,,,,,1,0,,,,,,,,1,1,1,2,[LTID]MasterSalvageArmorSmall,SalvageSmall_LeatherT4,,SalvageCoinGrantT4,,,,,,,,,625,0.12,0,30,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingHands_HorticulturistT5_MakeGood,ClothingHands_HorticulturistT5,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingHands_HorticulturistT5_MasterName,Armor,@ui_itemtypedescription_normal_glove_slot,@ClothingHands_HorticulturistT5_Description,EquippableHands+Armor+Medium,Apparel,ArmorLight,SlotHands,,1,600,500,600,5,LightHands_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,3,,1,1,1,UI_Armor,m_harvestervar1_hands,f_harvestervar1_hands,,,0,0,,,,,1,0,,,,,,,,1,1,1,4,[LTID]MasterSalvageArmorSmall,SalvageSmall_LeatherT5,,SalvageCoinGrantT5,,,,,,,,,750,0.12,0,30,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingLegs_HorticulturistT3_MakeGood,ClothingLegs_HorticulturistT3,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingLegs_HorticulturistT3_MasterName,Armor,@ui_itemtypedescription_normal_legs_slot,@ClothingLegs_HorticulturistT3_Description,EquippableLegs+Armor+Medium,Apparel,ArmorLight,SlotLegs,,1,400,300,400,3,LightLegs_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,1,,1,1,1,UI_Armor,m_harvester_legs,f_harvester_legs,,,0,0,,,,,1,0,,,,,,,,1,1,1,1,[LTID]MasterSalvageArmorMedium,SalvageLarge_LeatherT3,,SalvageCoinGrantT3,,,,,,,,,500,0.12,0,40,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
