ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Nov2023_Container,@Nov2023_Container_PrimaryName,Resource,@ui_itemtypedescription_resource,@Nov2023_Container_PrimaryDesc,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Nov2023Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Skin_Head_FirstLightElvenDeluxe2,@Skin_Head_FirstLightElvenDeluxe2_PrimaryName,Armor,,@Skin_Head_FirstLightElvenDeluxe2_PrimaryDesc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FirstLightElvenDeluxe2_head,f_FirstLightElvenDeluxe2_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_FirstLightElvenDeluxe2,@Skin_Chest_FirstLightElvenDeluxe2_PrimaryName,Armor,,@Skin_Chest_FirstLightElvenDeluxe2_PrimaryDesc,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FirstLightElvenDeluxe2_chest,f_FirstLightElvenDeluxe2_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_FirstLightElvenDeluxe2,@Skin_Hands_FirstLightElvenDeluxe2_PrimaryName,Armor,,@Skin_Hands_FirstLightElvenDeluxe2_PrimaryDesc,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FirstLightElvenDeluxe2_gloves,f_FirstLightElvenDeluxe2_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_FirstLightElvenDeluxe2,@Skin_Legs_FirstLightElvenDeluxe2_PrimaryName,Armor,,@Skin_Legs_FirstLightElvenDeluxe2_PrimaryDesc,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FirstLightElvenDeluxe2_legs,f_FirstLightElvenDeluxe2_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Feet_FirstLightElvenDeluxe2,@Skin_Feet_FirstLightElvenDeluxe2_PrimaryName,Armor,,@Skin_Feet_FirstLightElvenDeluxe2_PrimaryDesc,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FirstLightElvenDeluxe2_feet,f_FirstLightElvenDeluxe2_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_GothicKnightAssassin,@Skin_Head_GothicKnightAssassin_PrimaryName,Armor,,@Skin_Head_GothicKnightAssassin_PrimaryDesc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightAssassin_head,f_GothicKnightAssassin_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_GothicKnightAssassin,@Skin_Chest_GothicKnightAssassin_PrimaryName,Armor,,@Skin_Chest_GothicKnightAssassin_PrimaryDesc,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightAssassin_chest,f_GothicKnightAssassin_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_GothicKnightAssassin,@Skin_Hands_GothicKnightAssassin_PrimaryName,Armor,,@Skin_Hands_GothicKnightAssassin_PrimaryDesc,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightAssassin_gloves,f_GothicKnightAssassin_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_GothicKnightAssassin,@Skin_Legs_GothicKnightAssassin_PrimaryName,Armor,,@Skin_Legs_GothicKnightAssassin_PrimaryDesc,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightAssassin_legs,f_GothicKnightAssassin_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Feet_GothicKnightAssassin,@Skin_Feet_GothicKnightAssassin_PrimaryName,Armor,,@Skin_Feet_GothicKnightAssassin_PrimaryDesc,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightAssassin_feet,f_GothicKnightAssassin_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_GothicKnightBlackCitadel,@Skin_Head_GothicKnightBlackCitadel_PrimaryName,Armor,,@Skin_Head_GothicKnightBlackCitadel_PrimaryDesc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightBlackCitadel_head,f_GothicKnightBlackCitadel_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_GothicKnightBlackCitadel,@Skin_Chest_GothicKnightBlackCitadel_PrimaryName,Armor,,@Skin_Chest_GothicKnightBlackCitadel_PrimaryDesc,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightBlackCitadel_chest,f_GothicKnightBlackCitadel_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_GothicKnightBlackCitadel,@Skin_Hands_GothicKnightBlackCitadel_PrimaryName,Armor,,@Skin_Hands_GothicKnightBlackCitadel_PrimaryDesc,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightBlackCitadel_gloves,f_GothicKnightBlackCitadel_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_GothicKnightBlackCitadel,@Skin_Legs_GothicKnightBlackCitadel_PrimaryName,Armor,,@Skin_Legs_GothicKnightBlackCitadel_PrimaryDesc,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightBlackCitadel_legs,f_GothicKnightBlackCitadel_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Feet_GothicKnightBlackCitadel,@Skin_Feet_GothicKnightBlackCitadel_PrimaryName,Armor,,@Skin_Feet_GothicKnightBlackCitadel_PrimaryDesc,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightBlackCitadel_feet,f_GothicKnightBlackCitadel_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_GothicKnightDarkRadiant,@Skin_Head_GothicKnightDarkRadiant_PrimaryName,Armor,,@Skin_Head_GothicKnightDarkRadiant_PrimaryDesc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightDarkRadiant_head,f_GothicKnightDarkRadiant_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_GothicKnightDarkRadiant,@Skin_Chest_GothicKnightDarkRadiant_PrimaryName,Armor,,@Skin_Chest_GothicKnightDarkRadiant_PrimaryDesc,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightDarkRadiant_chest,f_GothicKnightDarkRadiant_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_GothicKnightDarkRadiant,@Skin_Hands_GothicKnightDarkRadiant_PrimaryName,Armor,,@Skin_Hands_GothicKnightDarkRadiant_PrimaryDesc,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightDarkRadiant_gloves,f_GothicKnightDarkRadiant_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_GothicKnightDarkRadiant,@Skin_Legs_GothicKnightDarkRadiant_PrimaryName,Armor,,@Skin_Legs_GothicKnightDarkRadiant_PrimaryDesc,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_GothicKnightDarkRadiant_legs,f_GothicKnightDarkRadiant_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
