ItemID,Name,ItemType,ItemTypeDisplayName,Description,HeartgemRuneTooltipTitle,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,NoBindOnPickupChance,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,MaxCraftGS,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanRollPerkOnUpgrade,CanHavePerks,CanReplaceGem,PerkSlot1,PerkSlot2,PerkSlot3,PerkSlot4,PerkSlot5,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,OnEquipObjectiveId,ForceRarity,RequiredLevel,RequiredTradeskillRank,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,HeartgemTooltipBackgroundImage,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,IsRequiredItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageLootTags,SalvageGuaranteedPerkCount,SalvageAchievement,SalvageEntitlementId,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup,EventId,AttributionId,ObtainableReleaseVersion,RetiredInReleaseVersion,MountItemAppearance,ExclusivelyForWarCampTier,RequiredExpansionId,NotDroppable,NotDroppableNotificationOverride,ScheduleId,FFAConvertedItemId
QuestRewardTrainingWeaponsMelee,@QuestRewardTrainingWeaponsMelee_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,1,,,,1,1,0,,[LTID]TrainingWeaponsMelee,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardTrainingWeaponsRanged,@QuestRewardTrainingWeaponsRanged_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,1,,,,1,1,0,,[LTID]TrainingWeaponsRanged,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL1,@QuestRewardWeaponsL1_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,1,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL2,@QuestRewardWeaponsL2_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,2,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL3,@QuestRewardWeaponsL3_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,3,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL4,@QuestRewardWeaponsL4_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,4,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL5,@QuestRewardWeaponsL5_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,5,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL6,@QuestRewardWeaponsL6_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,6,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL7,@QuestRewardWeaponsL7_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,7,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL8,@QuestRewardWeaponsL8_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,8,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL9,@QuestRewardWeaponsL9_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,9,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
QuestRewardWeaponsL10,@QuestRewardWeaponsL10_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,,Resource+LootContainer,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,,10000,0,,,,,10,,,,1,1,0,,[LTID]WeaponCase,,,,,,,,,,,,,,,,,0,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,,,,,,
