ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPriApry,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
PRO_Apr2024_Container,@Apr2024_Container_Name,Resource,@ui_itemtypedescription_resource,@Apr2024_Container_Desc,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Apr2024Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
MTX_Battlemage_Blindfold_chest,@MTX_Battlemage_Blindfold_chest_Name,Armor,,@MTX_Battlemage_Blindfold_chest_Desc,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Battlemage_Blindfold_chest,f_Battlemage_Blindfold_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Battlemage_Blindfold_head,@MTX_Battlemage_Blindfold_head_Name,Armor,,@MTX_Battlemage_Blindfold_head_Desc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Battlemage_Blindfold_head,f_Battlemage_Blindfold_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Battlemage_Blindfold_legs,@MTX_Battlemage_Blindfold_legs_Name,Armor,,@MTX_Battlemage_Blindfold_legs_Desc,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Battlemage_Blindfold_legs,f_Battlemage_Blindfold_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Battlemage_Blindfold_feet,@MTX_Battlemage_Blindfold_feet_Name,Armor,,@MTX_Battlemage_Blindfold_feet_Desc,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Battlemage_Blindfold_feet,f_Battlemage_Blindfold_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Battlemage_Blindfold_hands,@MTX_Battlemage_Blindfold_hands_Name,Armor,,@MTX_Battlemage_Blindfold_hands_Desc,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Battlemage_Blindfold_gloves,f_Battlemage_Blindfold_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Battlemage_FireStaff,@MTX_Battlemage_FireStaff_Name,Weapon,,@MTX_Battlemage_FireStaff_Desc,EquippableMainHand+FireStaff+Magic,,,,,,,,,,Skin_FireStaff,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hFireStaffBattlemageT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Battlemage_LifeStaff,@MTX_Battlemage_LifeStaff_Name,Weapon,,@MTX_Battlemage_LifeStaff_Desc,EquippableMainHand+LifeStaff+Magic,,,,,,,,,,Skin_LifeStaff,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hLifeStaffBattlemageT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Battlemage_IceGauntlet,@MTX_Battlemage_IceGauntlet_Name,Weapon,,@MTX_Battlemage_IceGauntlet_Desc,EquippableMainHand+IceMagic+Magic,,,,,,,,,,Skin_IceGauntlet,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hIceGauntletBattlemageT5,2hIceGauntletBattlemageT5,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTX_Battlemage_VoidGauntlet,@MTX_Battlemage_VoidGauntlet_Name,Weapon,,@MTX_Battlemage_VoidGauntlet_Desc,EquippableMainHand+VoidGauntlet+Magic,,,,,,,,,,Skin_VoidGauntlet,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hVoidGauntletBattlemageT5,2hVoidGauntletBattlemageT5,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
