ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPriAugy,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Sep2023_Container,@Sep2023_Container_PrimaryName,Resource,@ui_itemtypedescription_resource,@Sep2023_Container_PrimaryDesc,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Sep2023Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Skin_FirstLightElven_ShieldR,@Skin_FirstLightElven_ShieldR_PrimaryName,Weapon,,@Skin_FirstLightElven_ShieldR_PrimaryDesc,EquippableOffHand+Shield+RoundShield,,,,,,,,,,Skin_Shield,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,1hRoundShieldFirstLightT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_Longsword,@Skin_FirstLightElven_Longsword_PrimaryName,Weapon,,@Skin_FirstLightElven_Longsword_PrimaryDesc,EquippableMainHand+Sword+Melee,,,,,,,,,,Skin_Longsword,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,1hSwordFirstLightT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_LifeStaff,@Skin_FirstLightElven_LifeStaff_PrimaryName,Weapon,,@Skin_FirstLightElven_LifeStaff_PrimaryDesc,EquippableMainHand+LifeStaff+Magic,,,,,,,,,,Skin_LifeStaff,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hLifeStaffFirstLightT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_Bow,@Skin_FirstLightElven_Bow_PrimaryName,Weapon,,@Skin_FirstLightElven_Bow_PrimaryDesc,EquippableTwoHand+Bow+Ranged,,,,,,,,,,Skin_Bow,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hBowFirstLightT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_Spear,@Skin_FirstLightElven_Spear_PrimaryName,Weapon,,@Skin_FirstLightElven_Spear_PrimaryDesc,EquippableTwoHand+Spear+Melee,,,,,,,,,,Skin_Spear,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hSpearFirstLightT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_Flail,@Skin_FirstLightElven_Flail_PrimaryName,Weapon,,@Skin_FirstLightElven_Flail_PrimaryDesc,EquippableMainHand+Flail+Melee,,,,,,,,,,Skin_Flail,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,1hFlailFirstLightT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_FishingPole,@Skin_FirstLightElven_FishingPole_PrimaryName,Weapon,,@Skin_FirstLightElven_FishingPole_PrimaryDesc,EquippableTool+FishingPole,,,,,,,,,,Skin_FishingPole,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hFishingPoleFirstLightElvenT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_AzothStaff,@Skin_FirstLightElven_AzothStaff_PrimaryName,Weapon,,@Skin_FirstLightElven_AzothStaff_PrimaryDesc,Weapon+EquippableTool+Axe+AzothStaff,,,,,,,,,,Skin_AzothStaff,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hAzothScepterFirstLightElvenT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_LoggingAxe,@Skin_FirstLightElven_LoggingAxe_PrimaryName,Weapon,,@Skin_FirstLightElven_LoggingAxe_PrimaryDesc,EquippableTool+Axe+LoggingAxe,,,,,,,,,,Skin_LoggingAxe,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hLoggingAxeFirstLightElvenT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_Pickaxe,@Skin_FirstLightElven_Pickaxe_PrimaryName,Weapon,,@Skin_FirstLightElven_Pickaxe_PrimaryDesc,EquippableTool+Axe+Pickaxe,,,,,,,,,,Skin_Pick,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,1hPickaxeFirstLightElvenT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_Sickle,@Skin_FirstLightElven_Sickle_PrimaryName,Weapon,,@Skin_FirstLightElven_Sickle_PrimaryDesc,EquippableTool+Axe+Sickle,,,,,,,,,,Skin_Sickle,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,1hSickleFirstLightElvenT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_FirstLightElven_SkinningKnife,@Skin_FirstLightElven_SkinningKnife_PrimaryName,Weapon,,@Skin_FirstLightElven_SkinningKnife_PrimaryDesc,EquippableTool+Axe+SkinningKnife,,,,,,,,,,Skin_SkinningKnife,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,1hSkinningKnifeFirstLightElvenT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_FirstLightElvenFlowingSilver,@Skin_Head_FirstLightElvenFlowingSilver_PrimaryName,Armor,,@Skin_Head_FirstLightElvenFlowingSilver_PrimaryDesc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_FirstLightElvenFlowingSilver_head,f_FirstLightElvenFlowingSilver_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
