ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPriAugy,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Aug2023_Container,@Aug2023_Container_MasterName,Resource,@ui_itemtypedescription_resource,@Aug2023_Container_Description,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Aug2023Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Skin_Head_Aug2023_BalanceLight,@Skin_Head_Aug2023_BalanceLight_MasterName,Armor,,@Skin_Head_Aug2023_BalanceLight_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceLight_head,f_BalanceLight_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_Aug2023_BalanceLight,@Skin_Chest_Aug2023_BalanceLight_MasterName,Armor,,@Skin_Chest_Aug2023_BalanceLight_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceLight_chest,f_BalanceLight_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_Aug2023_BalanceLight,@Skin_Hands_Aug2023_BalanceLight_MasterName,Armor,,@Skin_Hands_Aug2023_BalanceLight_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceLight_gloves,f_BalanceLight_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_Aug2023_BalanceLight,@Skin_Legs_Aug2023_BalanceLight_MasterName,Armor,,@Skin_Legs_Aug2023_BalanceLight_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceLight_legs,f_BalanceLight_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Feet_Aug2023_BalanceLight,@Skin_Feet_Aug2023_BalanceLight_MasterName,Armor,,@Skin_Feet_Aug2023_BalanceLight_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceLight_feet,f_BalanceLight_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Aug2023_BalanceMedium,@Skin_Head_Aug2023_BalanceMedium_MasterName,Armor,,@Skin_Head_Aug2023_BalanceMedium_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceMedium_head,f_BalanceMedium_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_Aug2023_BalanceMedium,@Skin_Chest_Aug2023_BalanceMedium_MasterName,Armor,,@Skin_Chest_Aug2023_BalanceMedium_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceMedium_chest,f_BalanceMedium_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_Aug2023_BalanceMedium,@Skin_Hands_Aug2023_BalanceMedium_MasterName,Armor,,@Skin_Hands_Aug2023_BalanceMedium_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceMedium_gloves,f_BalanceMedium_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_Aug2023_BalanceMedium,@Skin_Legs_Aug2023_BalanceMedium_MasterName,Armor,,@Skin_Legs_Aug2023_BalanceMedium_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceMedium_legs,f_BalanceMedium_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
