ConversionID,ItemID,EntitlementId,AchievementId,Perk1,Perk2,Perk3,Perk4,Bought,Sold,ItemQty,DisplayOrder,CategoricalProgressionId,RankCheckCategoricalProgressionId,RequiredCategoricalProgressionRank,BuyCategoricalProgressionCost,BuyCurrencyCost,BuyProgression2Id,BuyProgression2Cost,BuyProgression3Id,BuyProgression3Cost,BuyCurrencyItemName,BuyCurrencyItemCost,BuyCooldownSeconds,SellCategoricalProgressionCost,SellCurrencyCost,SellAzothCost,InContracts
M_1hLongsword_MarauderRank1_v2,1hLongsword_MarauderRank1_v2,,,,,,,1,0,1,1,MarauderTokens,Marauder,0,400,2000,,,,,,,,0,0,,false
M_2hWarhammer_MarauderRank1_v2,2hWarhammer_MarauderRank1_v2,,,,,,,1,0,1,2,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_2hMusket_MarauderRank1_v2,2hMusket_MarauderRank1_v2,,,,,,,1,0,1,3,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_2hBow_MarauderRank1_v2,2hBow_MarauderRank1_v2,,,,,,,1,0,1,4,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_1hThrowingAxe_MarauderRank1_v2,1hThrowingAxe_MarauderRank1_v2,,,,,,,1,0,1,5,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_2hFireStaff_MarauderRank1_v2,2hFireStaff_MarauderRank1_v2,,,,,,,1,0,1,6,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_2hLifeStaff_MarauderRank1_v2,2hLifeStaff_MarauderRank1_v2,,,,,,,1,0,1,7,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_1hRShield_MarauderRank1_v2,1hRShield_MarauderRank1_v2,,,,,,,1,0,1,8,MarauderTokens,Marauder,0,200,1000,,,,,,,,0,0,,false
M_2hSpear_MarauderRank1_v2,2hSpear_MarauderRank1_v2,,,,,,,1,0,1,9,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_2hGreataxe_MarauderRank1_v2,2hGreataxe_MarauderRank1_v2,,,,,,,1,0,1,10,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_1hRapier_MarauderRank1_v2,1hRapier_MarauderRank1_v2,,,,,,,1,0,1,11,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_1hGauntletIce_MarauderRank1_v2,1hGauntletIce_MarauderRank1_v2,,,,,,,1,0,1,12,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_1hGauntletVoid_MarauderRank1_v2,1hGauntletVoid_MarauderRank1_v2,,,,,,,1,0,1,13,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
