Id,GravityMod,UphillAngleThreshold,UphillSpeedAccelScaler,DownhillAngleThreshold,DownhillSpeedAccelScaler,DashSpeedScaler,DashAccelScaler,StaminaMax,StaminaRegenRate,StaminaDrainRate,StaminaLightHitThreshold,StaminaLightHitCost,StaminaHeavyHitThreshold,StaminaHeavyHitCost,StaminaHitRegenDelay,OnRoadMaxSpeed,OffRoadMaxSpeed,InVeryShallowWaterMaxSpeed,InShallowWaterMaxSpeed,InDeepWaterMaxSpeed,OnRoadMinSpeed,OffRoadMinSpeed,OnRoadWalkSpeed,OnRoadSlowWalkSpeed,OffRoadWalkSpeed,OffRoadSlowWalkSpeed,OnRoadAccel,OffRoadAccel,OnRoadDecel,OffRoadDecel,OnRoadTurnRateMinSpeed,OnRoadTurnRateMinSpeedGamepad,OffRoadTurnRateMinSpeed,OffRoadTurnRateMinSpeedGamepad,OnRoadTurnRateMidSpeed,OnRoadTurnRateMidSpeedGamepad,OffRoadTurnRateMidSpeed,OffRoadTurnRateMidSpeedGamepad,OnRoadTurnRateMaxSpeed,OnRoadTurnRateMaxSpeedGamepad,OffRoadTurnRateMaxSpeed,OffRoadTurnRateMaxSpeedGamepad,OnRoadTurnRateAtMinSpeed,OnRoadTurnRateAtMinSpeedGamepad,OffRoadTurnRateAtMinSpeed,OffRoadTurnRateAtMinSpeedGamepad,OnRoadTurnRateAtMidSpeed,OnRoadTurnRateAtMidSpeedGamepad,OffRoadTurnRateAtMidSpeed,OffRoadTurnRateAtMidSpeedGamepad,OnRoadTurnRateAtMaxSpeed,OnRoadTurnRateAtMaxSpeedGamepad,OffRoadTurnRateAtMaxSpeed,OffRoadTurnRateAtMaxSpeedGamepad,OnRoadWalkAccel,OffRoadWalkAccel,OnRoadWalkDecel,OffRoadWalkDecel,OnRoadWalkTurnRate,OffRoadWalkTurnRate,InVeryShallowWaterMinSpeed,InVeryShallowWaterAccel,InVeryShallowWaterDecel,InVeryShallowWaterTurnRateMinSpeed,InVeryShallowWaterTurnRateMinSpeedGamepad,InVeryShallowWaterTurnRateMidSpeed,InVeryShallowWaterTurnRateMidSpeedGamepad,InVeryShallowWaterTurnRateMaxSpeed,InVeryShallowWaterTurnRateMaxSpeedGamepad,InVeryShallowWaterTurnRateAtMinSpeed,InVeryShallowWaterTurnRateAtMinSpeedGamepad,InVeryShallowWaterTurnRateAtMidSpeed,InVeryShallowWaterTurnRateAtMidSpeedGamepad,InVeryShallowWaterTurnRateAtMaxSpeed,InVeryShallowWaterTurnRateAtMaxSpeedGamepad,InVeryShallowWaterWalkSpeed,InVeryShallowWaterSlowWalkSpeed,InVeryShallowWaterWalkAccel,InVeryShallowWaterWalkDecel,InVeryShallowWaterWalkTurnRate,InShallowWaterMinSpeed,InShallowWaterAccel,InShallowWaterDecel,InShallowWaterTurnRateMinSpeed,InShallowWaterTurnRateMinSpeedGamepad,InShallowWaterTurnRateMidSpeed,InShallowWaterTurnRateMidSpeedGamepad,InShallowWaterTurnRateMaxSpeed,InShallowWaterTurnRateMaxSpeedGamepad,InShallowWaterTurnRateAtMinSpeed,InShallowWaterTurnRateAtMinSpeedGamepad,InShallowWaterTurnRateAtMidSpeed,InShallowWaterTurnRateAtMidSpeedGamepad,InShallowWaterTurnRateAtMaxSpeed,InShallowWaterTurnRateAtMaxSpeedGamepad,InShallowWaterWalkSpeed,InShallowWaterSlowWalkSpeed,InShallowWaterWalkAccel,InShallowWaterWalkDecel,InShallowWaterWalkTurnRate,InDeepWaterMinSpeed,InDeepWaterAccel,InDeepWaterDecel,InDeepWaterTurnRateMinSpeed,InDeepWaterTurnRateMinSpeedGamepad,InDeepWaterTurnRateMidSpeed,InDeepWaterTurnRateMidSpeedGamepad,InDeepWaterTurnRateMaxSpeed,InDeepWaterTurnRateMaxSpeedGamepad,InDeepWaterTurnRateAtMinSpeed,InDeepWaterTurnRateAtMinSpeedGamepad,InDeepWaterTurnRateAtMidSpeed,InDeepWaterTurnRateAtMidSpeedGamepad,InDeepWaterTurnRateAtMaxSpeed,InDeepWaterTurnRateAtMaxSpeedGamepad,InDeepWaterWalkSpeed,InDeepWaterSlowWalkSpeed,InDeepWaterWalkAccel,InDeepWaterWalkDecel,InDeepWaterWalkTurnRate
ConfigHorse,5,10,0.95,10,1.05,1.125,1.15,100,10,20,0.01,25,0.15,50,1,12.75,9,7.65,6.375,5.1,1.5,1.5,6.3,2,5.5,2,15,13.5,12,12,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,15,13.5,12,12,0.1,0.1,1.5,13.5,13.2,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.081,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.072,2.5,1.6,12,24,0.08
ConfigCat,5,10,0.95,10,1.05,1.125,1.15,100,10,20,0.01,25,0.15,50,1,14.625,13.875,9,6.375,5.1,1.5,1.5,6.3,2,5.5,2,17,16,17,17,0,0,0,0,5,5,5,5,15,15,15,15,0.2,0.2,0.2,0.2,0.175,0.175,0.175,0.175,0.1,0.1,0.1,0.1,17,16,17,17,0.175,0.175,1.5,16,17,0,0,5,5,15,15,0.2,0.2,0.175,0.175,0.1,0.1,5.5,1.6,16,17,0.175,1.5,12.75,18,0,0,5,5,15,15,0.2,0.2,0.18,0.1575,0.09,0.09,5,1.6,12.75,18,0.1575,1.5,12,24,0,0,5,5,15,15,0.2,0.2,0.16,0.14,0.08,0.08,2.5,1.6,12,24,0.14
ConfigWolf,5,10,0.95,10,1.05,1.125,1.15,100,10,20,0.01,25,0.15,50,1,14.25,14.25,9,6.375,5.1,1.5,1.5,6.3,2,5.5,2,15,15,17,17,0,0,0,0,5,5,5,5,15,15,15,15,0.15,0.15,0.15,0.15,0.1375,0.1375,0.1375,0.1375,0.075,0.075,0.075,0.075,15,15,17,17,0.1375,0.1375,1.5,15,17,0,0,5,5,15,15,0.15,0.15,0.1375,0.1375,0.075,0.075,5.5,1.6,15,17,0.1375,1.5,12.75,18,0,0,5,5,15,15,0.15,0.15,0.135,0.12375,0.0675,0.0675,5,1.6,12.75,18,0.12375,1.5,12,24,0,0,5,5,15,15,0.15,0.15,0.12,0.11,0.06,0.06,2.5,1.6,12,24,0.11
ConfigHorseT4,5,10,0.95,10,1.05,1.125,1.15,100,10,20,0.01,25,0.15,50,1,12,9,9,6.375,5.1,1.5,1.5,6.3,2,5.5,2,12,10.8,12,12,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,15,13.5,12,12,0.1,0.1,1.5,10.8,13.2,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.081,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.072,2.5,1.6,12,24,0.08
ConfigHorseT3,5,10,0.95,10,1.05,1.125,1.15,100,10,20,0.01,25,0.15,50,1,9,6.75,8.1,6.375,5.1,1.5,1.5,6.3,2,5.5,2,9,8.1,12,12,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,15,13.5,12,12,0.1,0.1,1.5,8.1,13.2,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.081,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.072,2.5,1.6,12,24,0.08
ConfigBear,5,10,0.95,10,1.05,1.125,1.15,100,10,20,0.01,25,0.15,50,1,13,13,9,6.375,5.1,1.5,1.5,6.3,2,5.5,2,8,8,5,5,0,0,0,0,5,5,5,5,10,10,10,10,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,8,8,5,5,0.07,0.07,1.5,8,5.5,0,0,5,5,10,10,0.08,0.08,0.07,0.07,0.06,0.06,5.5,1.6,8,5.5,0.07,1.5,12.75,18,0,0,5,5,10,10,0.08,0.08,0.072,0.063,0.054,0.054,5,1.6,12.75,18,0.063,1.5,12,24,0,0,5,5,10,10,0.08,0.08,0.064,0.056,0.048,0.048,2.5,1.6,12,24,0.056
ConfigHorseMovement4,5,10,0.95,10,1.05,1.125,1.15,100,10,20,0.01,25,0.15,50,1,15,13.5,9,6.375,5.1,1.5,1.5,6.3,2,5.5,2,15,13.5,12,12,0,0,0,0,5,5,5,5,15,15,15,15,270,270,270,270,180,180,180,180,90,90,90,90,15,13.5,12,12,0.1,0.1,1.5,13.5,13.2,0,0,5,5,15,15,270,270,180,180,90,90,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,270,270,180,180,90,90,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,270,270,180,180,90,90,2.5,1.6,12,24,0.08
ConfigMountRiding_0,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.25,7,6.65,5.55,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.09,0.11,0.09,0.1,0.08,0.1,0.08,0.09,0.065,0.09,0.065,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.09,0.1,0.08,0.09,0.065,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.09,0.081,0.08,0.081,0.055,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.09,0.072,0.08,0.072,0.052,2.5,1.6,12,24,0.08
ConfigMountRiding_1,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9,6.75,6.4125,5.4,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_2,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.015,6.762,6.4239,5.409,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
