BlueprintID,Name,DisplayClass,AttachmentCategories,UseReducedBuildModeUI,IsDeployable,IsSiegeWeapon,TradeskillLevel,WarPoints,HP,FuelCost,FuelResource,ResourceCost,DeteriorationTick,DeteriorationPercent,AlwaysDeteriorate,StructureHeightTag,StructureSize,CreationGameEventID,ContributionGameEventID,CompletionNotificationId,BuildingTime,StructureCost_Ingredient1,StructureCost_Ingredient2,StructureCost_Ingredient3,StructureCost_Ingredient4,StructureCost_Qty1,StructureCost_Qty2,StructureCost_Qty3,StructureCost_Qty4,DEFStandard,DEFSiege,DEFStrike,DEFSlash,DEFThrust,DEFMagic,DEFFire,DEFLightning,DEFCorruption,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSMagic,ABSFire,ABSLightning,ABSCorruption,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAMagic,BLAFire,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNMagic,WKNFire,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGMagic,DMGFire,DMGLightning,DMGCorruption,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,DisableMantle,DisableStepUp,DisableVaulting,PrivilegeID,PlacementGroundCastFilter
ClaimT1_15m,@ClaimT1_MasterName,,,0,0,0,0,10,125000,81250,AzureT1,1000,86400,0.21,false,Low,Small,,,Complete_Territory_Marker,10,ClaimCharterT1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_15m_T2,@ClaimT2_MasterName,,,0,0,0,0,10,275000,178750,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT2,BlockT2,,,200,200,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_15m_T3,@ClaimT3_MasterName,,,0,0,0,0,10,625000,406250,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT3,BlockT3,,,300,300,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_15m_T4,@ClaimT4_MasterName,,,0,0,0,0,10,1200000,780000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT4,BlockT4,,,400,400,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_15m_T5,@ClaimT5_MasterName,,,0,0,0,0,10,1800000,1170000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT5,BlockT5,,,500,500,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_20m,@ClaimT1_MasterName,,,0,0,0,0,10,125000,81250,AzureT1,1000,86400,0.21,false,Low,Small,,,Complete_Territory_Marker,10,ClaimCharterT1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_20m_T2,@ClaimT2_MasterName,,,0,0,0,0,10,275000,178750,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT2,BlockT2,,,200,200,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_20m_T3,@ClaimT3_MasterName,,,0,0,0,0,10,625000,406250,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT3,BlockT3,,,300,300,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_20m_T4,@ClaimT4_MasterName,,,0,0,0,0,10,1200000,780000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT4,BlockT4,,,400,400,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_20m_T5,@ClaimT5_MasterName,,,0,0,0,0,10,1800000,1170000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT5,BlockT5,,,500,500,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
