JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS8C1T1,Season8Chapter1,S8_Ch1_Task1,S8_Journey_Ch01_T01,1
JourneyS8C1T2,Season8Chapter1,S8_Ch1_Task2,S8_Journey_Ch01_T02,2
JourneyS8C1T3,Season8Chapter1,S8_Ch1_Task3,S8_Journey_Ch01_T03,3
JourneyS8C1T4,Season8Chapter1,S8_Ch1_Task4,S8_Journey_Ch01_T04,4
JourneyS8C1T5,Season8Chapter1,S8_Ch1_Task5,S8_Journey_Ch01_T05,5
JourneyS8C1T6,Season8Chapter1,S8_Ch1_Task6,S8_Journey_Ch01_T06,6
JourneyS8C1T7,Season8Chapter1,S8_Ch1_Task7,S8_Journey_Ch01_T07,7
JourneyS8C1T8,Season8Chapter1,S8_Ch1_Task8,S8_Journey_Ch01_T08,8
JourneyS8C1T9,Season8Chapter1,S8_Ch1_Task9,S8_Journey_Ch01_T09,9
JourneyS8C1T10,Season8Chapter1,S8_Ch1_Task10,S8_Journey_Ch01_T10,10
JourneyS8C2T1,Season8Chapter2,S8_Ch2_Task1,S8_Journey_Ch02_T01,1
JourneyS8C2T2,Season8Chapter2,S8_Ch2_Task2,S8_Journey_Ch02_T02,2
JourneyS8C2T3,Season8Chapter2,S8_Ch2_Task3,S8_Journey_Ch02_T03,3
JourneyS8C2T4,Season8Chapter2,S8_Ch2_Task4,S8_Journey_Ch02_T04,4
JourneyS8C2T5,Season8Chapter2,S8_Ch2_Task5,S8_Journey_Ch02_T05,5
JourneyS8C2T6,Season8Chapter2,S8_Ch2_Task6,S8_Journey_Ch02_T06,6
JourneyS8C2T7,Season8Chapter2,S8_Ch2_Task7,S8_Journey_Ch02_T07,7
JourneyS8C2T8,Season8Chapter2,S8_Ch2_Task8,S8_Journey_Ch02_T08,8
JourneyS8C2T9,Season8Chapter2,S8_Ch2_Task9,S8_Journey_Ch02_T09,9
JourneyS8C2T10,Season8Chapter2,S8_Ch2_Task10,S8_Journey_Ch02_T10,10
JourneyS8C2T11,Season8Chapter2,S8_Ch2_Task11,S8_Journey_Ch02_T11,11
JourneyS8C3T1,Season8Chapter3,S8_Ch3_Task1,S8_Journey_Ch03_T01,1
JourneyS8C3T2,Season8Chapter3,S8_Ch3_Task2,S8_Journey_Ch03_T02,2
JourneyS8C3T3,Season8Chapter3,S8_Ch3_Task3,S8_Journey_Ch03_T03,3
JourneyS8C3T4,Season8Chapter3,S8_Ch3_Task4,S8_Journey_Ch03_T04,4
JourneyS8C3T5,Season8Chapter3,S8_Ch3_Task5,S8_Journey_Ch03_T05,5
JourneyS8C3T6,Season8Chapter3,S8_Ch3_Task6,S8_Journey_Ch03_T06,6
JourneyS8C3T7,Season8Chapter3,S8_Ch3_Task7,S8_Journey_Ch03_T07,7
JourneyS8C3T8,Season8Chapter3,S8_Ch3_Task8,S8_Journey_Ch03_T08,8
JourneyS8C3T9,Season8Chapter3,S8_Ch3_Task9,S8_Journey_Ch03_T09,9
JourneyS8C3T10,Season8Chapter3,S8_Ch3_Task10,S8_Journey_Ch03_T10,10
JourneyS8C3T11,Season8Chapter3,S8_Ch3_Task11,S8_Journey_Ch03_T11,11
JourneyS8C3T12,Season8Chapter3,S8_Ch3_Task12,S8_Journey_Ch03_T12,12
JourneyS8C4T1,Season8Chapter4,S8_Ch4_Task1,S8_Journey_Ch04_T01,1
JourneyS8C4T2,Season8Chapter4,S8_Ch4_Task2,S8_Journey_Ch04_T02,2
JourneyS8C4T3,Season8Chapter4,S8_Ch4_Task3,S8_Journey_Ch04_T03,3
JourneyS8C4T4,Season8Chapter4,S8_Ch4_Task4,S8_Journey_Ch04_T04,4
JourneyS8C4T5,Season8Chapter4,S8_Ch4_Task5,S8_Journey_Ch04_T05,5
JourneyS8C4T6,Season8Chapter4,S8_Ch4_Task6,S8_Journey_Ch04_T06,6
JourneyS8C4T7,Season8Chapter4,S8_Ch4_Task7,S8_Journey_Ch04_T07,7
JourneyS8C4T8,Season8Chapter4,S8_Ch4_Task8,S8_Journey_Ch04_T08,8
JourneyS8C4T9,Season8Chapter4,S8_Ch4_Task9,S8_Journey_Ch04_T09,9
JourneyS8C4T10,Season8Chapter4,S8_Ch4_Task10,S8_Journey_Ch04_T10,10
JourneyS8C4T11,Season8Chapter4,S8_Ch4_Task11,S8_Journey_Ch04_T11,11
