JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS2C1T1,Season2Chapter1,S2_CollectGlyph_1,S2_Journey_Ch01_T01,1
JourneyS2C1T2,Season2Chapter1,S2_CraftGoldenScarab_1,S2_Journey_Ch01_T02,2
JourneyS2C1T3,Season2Chapter1,S2_CompleteEnnead,S2_Journey_Ch01_T03,3
JourneyS2C1T4,Season2Chapter1,S2_SongCallOfTheAncientsExpert,S2_Journey_Ch01_T04,4
JourneyS2C1T5,Season2Chapter1,S2_WinArenaMatches_1,S2_Journey_Ch01_T05,5
JourneyS2C1T6,Season2Chapter1,S2_CaptureFactionControlPoints_1,S2_Journey_Ch01_T06,6
JourneyS2C1T7,Season2Chapter1,S2_CompleteTownProjects_1,S2_Journey_Ch01_T07,7
JourneyS2C1T8,Season2Chapter1,S2_KillAnubianGuardians,S2_Journey_Ch01_T08,8
JourneyS2C1T9,Season2Chapter1,S2_CloseBreaches_1,S2_Journey_Ch01_T09,9
JourneyS2C1T10,Season2Chapter1,S2_CompleteQuest_WordOfAThief,S2_Journey_Ch01_T10,10
JourneyS2C2T1,Season2Chapter2,S2_CollectGlyph_2,S2_Journey_Ch02_T01,1
JourneyS2C2T2,Season2Chapter2,S2_SongsExpertWithFullBand,S2_Journey_Ch02_T02,2
JourneyS2C2T3,Season2Chapter2,S2_CompleteFactionMissions_1,S2_Journey_Ch02_T03,3
JourneyS2C2T4,Season2Chapter2,S2_CompleteActivityCards_1,S2_Journey_Ch02_T04,4
JourneyS2C2T5,Season2Chapter2,S2_CompleteM1Ennead,S2_Journey_Ch02_T05,5
JourneyS2C2T6,Season2Chapter2,S2_CatchBrimstoneLegendaryFish,S2_Journey_Ch02_T06,6
JourneyS2C2T7,Season2Chapter2,S2_WinArenaMatches_2,S2_Journey_Ch02_T07,7
JourneyS2C2T8,Season2Chapter2,S2_PlayOutpostRush_1,S2_Journey_Ch02_T08,8
JourneyS2C2T9,Season2Chapter2,S2_CloseBreaches_2,S2_Journey_Ch02_T09,9
JourneyS2C2T10,Season2Chapter2,S2_CompleteQuest_SecondThoughts,S2_Journey_Ch02_T10,10
JourneyS2C2T11,Season2Chapter2,S2_LocateBrimstoneLostEasel,S2_Journey_Ch02_T11,11
JourneyS2C3T1,Season2Chapter3,S2_CollectGlyph_3,S2_Journey_Ch03_T01,1
JourneyS2C3T2,Season2Chapter3,S2_DefeatSolariumKhepri,S2_Journey_Ch03_T02,2
JourneyS2C3T3,Season2Chapter3,S2_CompleteTownProjects_2,S2_Journey_Ch03_T03,3
JourneyS2C3T4,Season2Chapter3,S2_CompleteActivityCards_2,S2_Journey_Ch03_T04,4
