JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS4C1T1,Season4Chapter1,S4_Ch1_Task1,S4_Journey_Ch01_T01,1
JourneyS4C1T2,Season4Chapter1,S4_Ch1_Task2,S4_Journey_Ch01_T02,2
JourneyS4C1T3,Season4Chapter1,S4_Ch1_Task3,S4_Journey_Ch01_T03,3
JourneyS4C1T4,Season4Chapter1,S4_Ch1_Task4,S4_Journey_Ch01_T04,4
JourneyS4C1T5,Season4Chapter1,S4_Ch1_Task5,S4_Journey_Ch01_T05,5
JourneyS4C1T6,Season4Chapter1,S4_Ch1_Task6,S4_Journey_Ch01_T06,6
JourneyS4C1T7,Season4Chapter1,S4_Ch1_Task7,S4_Journey_Ch01_T07,7
JourneyS4C1T8,Season4Chapter1,S4_Ch1_Task8,S4_Journey_Ch01_T08,8
JourneyS4C1T9,Season4Chapter1,S4_Ch1_Task9,S4_Journey_Ch01_T09,9
JourneyS4C1T10,Season4Chapter1,S4_Ch1_Task10,S4_Journey_Ch01_T10,10
JourneyS4C2T1,Season4Chapter2,S4_Ch2_Task1,S4_Journey_Ch02_T01,1
JourneyS4C2T2,Season4Chapter2,S4_Ch2_Task2,S4_Journey_Ch02_T02,2
JourneyS4C2T3,Season4Chapter2,S4_Ch2_Task3,S4_Journey_Ch02_T03,3
JourneyS4C2T4,Season4Chapter2,S4_Ch2_Task4,S4_Journey_Ch02_T04,4
JourneyS4C2T5,Season4Chapter2,S4_Ch2_Task5,S4_Journey_Ch02_T05,5
JourneyS4C2T6,Season4Chapter2,S4_Ch2_Task6,S4_Journey_Ch02_T06,6
JourneyS4C2T7,Season4Chapter2,S4_Ch2_Task7,S4_Journey_Ch02_T07,7
JourneyS4C2T8,Season4Chapter2,S4_Ch2_Task8,S4_Journey_Ch02_T08,8
JourneyS4C2T9,Season4Chapter2,S4_Ch2_Task9,S4_Journey_Ch02_T09,9
JourneyS4C2T10,Season4Chapter2,S4_Ch2_Task10,S4_Journey_Ch02_T10,10
JourneyS4C2T11,Season4Chapter2,S4_Ch2_Task11,S4_Journey_Ch02_T11,11
JourneyS4C3T1,Season4Chapter3,S4_Ch3_Task1,S4_Journey_Ch03_T01,1
JourneyS4C3T2,Season4Chapter3,S4_Ch3_Task2,S4_Journey_Ch03_T02,2
JourneyS4C3T3,Season4Chapter3,S4_Ch3_Task3,S4_Journey_Ch03_T03,3
JourneyS4C3T4,Season4Chapter3,S4_Ch3_Task4,S4_Journey_Ch03_T04,4
JourneyS4C3T5,Season4Chapter3,S4_Ch3_Task5,S4_Journey_Ch03_T05,5
JourneyS4C3T6,Season4Chapter3,S4_Ch3_Task6,S4_Journey_Ch03_T06,6
JourneyS4C3T7,Season4Chapter3,S4_Ch3_Task7,S4_Journey_Ch03_T07,7
JourneyS4C3T8,Season4Chapter3,S4_Ch3_Task8,S4_Journey_Ch03_T08,8
JourneyS4C3T9,Season4Chapter3,S4_Ch3_Task9,S4_Journey_Ch03_T09,9
JourneyS4C3T10,Season4Chapter3,S4_Ch3_Task10,S4_Journey_Ch03_T10,10
JourneyS4C3T11,Season4Chapter3,S4_Ch3_Task11,S4_Journey_Ch03_T11,11
JourneyS4C3T12,Season4Chapter3,S4_Ch3_Task12,S4_Journey_Ch03_T12,12
JourneyS4C4T1,Season4Chapter4,S4_Ch4_Task1,S4_Journey_Ch04_T01,1
JourneyS4C4T2,Season4Chapter4,S4_Ch4_Task2,S4_Journey_Ch04_T02,2
JourneyS4C4T3,Season4Chapter4,S4_Ch4_Task3,S4_Journey_Ch04_T03,3
JourneyS4C4T4,Season4Chapter4,S4_Ch4_Task4,S4_Journey_Ch04_T04,4
JourneyS4C4T5,Season4Chapter4,S4_Ch4_Task5,S4_Journey_Ch04_T05,5
JourneyS4C4T6,Season4Chapter4,S4_Ch4_Task6,S4_Journey_Ch04_T06,6
JourneyS4C4T7,Season4Chapter4,S4_Ch4_Task7,S4_Journey_Ch04_T07,7
JourneyS4C4T8,Season4Chapter4,S4_Ch4_Task8,S4_Journey_Ch04_T08,8
JourneyS4C4T9,Season4Chapter4,S4_Ch4_Task9,S4_Journey_Ch04_T09,9
JourneyS4C4T10,Season4Chapter4,S4_Ch4_Task10,S4_Journey_Ch04_T10,10
JourneyS4C4T11,Season4Chapter4,S4_Ch4_Task11,S4_Journey_Ch04_T11,11
JourneyS4C4T12,Season4Chapter4,S4_Ch4_Task12,S4_Journey_Ch04_T12,12
JourneyS4C4T13,Season4Chapter4,S4_Ch4_Task13,S4_Journey_Ch04_T13,13
JourneyS4C5T1,Season4Chapter5,S4_Ch5_Task1,S4_Journey_Ch05_T01,1
JourneyS4C5T2,Season4Chapter5,S4_Ch5_Task2,S4_Journey_Ch05_T02,2
JourneyS4C5T3,Season4Chapter5,S4_Ch5_Task3,S4_Journey_Ch05_T03,3
JourneyS4C5T4,Season4Chapter5,S4_Ch5_Task4,S4_Journey_Ch05_T04,4
JourneyS4C5T5,Season4Chapter5,S4_Ch5_Task5,S4_Journey_Ch05_T05,5
JourneyS4C5T6,Season4Chapter5,S4_Ch5_Task6,S4_Journey_Ch05_T06,6
JourneyS4C5T7,Season4Chapter5,S4_Ch5_Task7,S4_Journey_Ch05_T07,7
JourneyS4C5T8,Season4Chapter5,S4_Ch5_Task8,S4_Journey_Ch05_T08,8
JourneyS4C5T9,Season4Chapter5,S4_Ch5_Task9,S4_Journey_Ch05_T09,9
JourneyS4C5T10,Season4Chapter5,S4_Ch5_Task10,S4_Journey_Ch05_T10,10
JourneyS4C5T11,Season4Chapter5,S4_Ch5_Task11,S4_Journey_Ch05_T11,11
JourneyS4C5T12,Season4Chapter5,S4_Ch5_Task12,S4_Journey_Ch05_T12,12
JourneyS4C5T13,Season4Chapter5,S4_Ch5_Task13,S4_Journey_Ch05_T13,13
JourneyS4C5T14,Season4Chapter5,S4_Ch5_Task14,S4_Journey_Ch05_T14,14
JourneyS4ChallengeT1,Season4Challenge,S4_Challenge1,S4_Journey_Challenge_T01,1
JourneyS4ChallengeT2,Season4Challenge,S4_Challenge2,S4_Journey_Challenge_T02,2
JourneyS4ChallengeT3,Season4Challenge,S4_Challenge3,S4_Journey_Challenge_T03,3
JourneyS4ChallengeT4,Season4Challenge,S4_Challenge4,S4_Journey_Challenge_T04,4
JourneyS4ChallengeT5,Season4Challenge,S4_Challenge5,S4_Journey_Challenge_T05,5
JourneyS4ChallengeT6,Season4Challenge,S4_Challenge6,S4_Journey_Challenge_T06,6
JourneyS4ChallengeT7,Season4Challenge,S4_Challenge7,S4_Journey_Challenge_T07,7
JourneyS4ChallengeT8,Season4Challenge,S4_Challenge8,S4_Journey_Challenge_T08,8
