JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS5C1T1,Season5Chapter1,S5_Ch1_Task1,S5_Journey_Ch01_T01,1
JourneyS5C1T2,Season5Chapter1,S5_Ch1_Task2,S5_Journey_Ch01_T02,2
JourneyS5C1T3,Season5Chapter1,S5_Ch1_Task3,S5_Journey_Ch01_T03,3
JourneyS5C1T4,Season5Chapter1,S5_Ch1_Task4,S5_Journey_Ch01_T04,4
JourneyS5C1T5,Season5Chapter1,S5_Ch1_Task5,S5_Journey_Ch01_T05,5
JourneyS5C1T6,Season5Chapter1,S5_Ch1_Task6,S5_Journey_Ch01_T06,6
JourneyS5C1T7,Season5Chapter1,S5_Ch1_Task7,S5_Journey_Ch01_T07,7
JourneyS5C1T8,Season5Chapter1,S5_Ch1_Task8,S5_Journey_Ch01_T08,8
JourneyS5C1T9,Season5Chapter1,S5_Ch1_Task9,S5_Journey_Ch01_T09,9
JourneyS5C1T10,Season5Chapter1,S5_Ch1_Task10,S5_Journey_Ch01_T10,10
JourneyS5C2T1,Season5Chapter2,S5_Ch2_Task1,S5_Journey_Ch02_T01,1
JourneyS5C2T2,Season5Chapter2,S5_Ch2_Task2,S5_Journey_Ch02_T02,2
JourneyS5C2T3,Season5Chapter2,S5_Ch2_Task3,S5_Journey_Ch02_T03,3
JourneyS5C2T4,Season5Chapter2,S5_Ch2_Task4,S5_Journey_Ch02_T04,4
JourneyS5C2T5,Season5Chapter2,S5_Ch2_Task5,S5_Journey_Ch02_T05,5
JourneyS5C2T6,Season5Chapter2,S5_Ch2_Task6,S5_Journey_Ch02_T06,6
JourneyS5C2T7,Season5Chapter2,S5_Ch2_Task7,S5_Journey_Ch02_T07,7
JourneyS5C2T8,Season5Chapter2,S5_Ch2_Task8,S5_Journey_Ch02_T08,8
JourneyS5C2T9,Season5Chapter2,S5_Ch2_Task9,S5_Journey_Ch02_T09,9
JourneyS5C2T10,Season5Chapter2,S5_Ch2_Task10,S5_Journey_Ch02_T10,10
JourneyS5C2T11,Season5Chapter2,S5_Ch2_Task11,S5_Journey_Ch02_T11,11
JourneyS5C3T1,Season5Chapter3,S5_Ch3_Task1,S5_Journey_Ch03_T01,1
JourneyS5C3T2,Season5Chapter3,S5_Ch3_Task2,S5_Journey_Ch03_T02,2
JourneyS5C3T3,Season5Chapter3,S5_Ch3_Task3,S5_Journey_Ch03_T03,3
JourneyS5C3T4,Season5Chapter3,S5_Ch3_Task4,S5_Journey_Ch03_T04,4
JourneyS5C3T5,Season5Chapter3,S5_Ch3_Task5,S5_Journey_Ch03_T05,5
JourneyS5C3T6,Season5Chapter3,S5_Ch3_Task6,S5_Journey_Ch03_T06,6
JourneyS5C3T7,Season5Chapter3,S5_Ch3_Task7,S5_Journey_Ch03_T07,7
JourneyS5C3T8,Season5Chapter3,S5_Ch3_Task8,S5_Journey_Ch03_T08,8
JourneyS5C3T9,Season5Chapter3,S5_Ch3_Task9,S5_Journey_Ch03_T09,9
JourneyS5C3T10,Season5Chapter3,S5_Ch3_Task10,S5_Journey_Ch03_T10,10
JourneyS5C3T11,Season5Chapter3,S5_Ch3_Task11,S5_Journey_Ch03_T11,11
JourneyS5C3T12,Season5Chapter3,S5_Ch3_Task12,S5_Journey_Ch03_T12,12
JourneyS5C4T1,Season5Chapter4,S5_Ch4_Task1,S5_Journey_Ch04_T01,1
JourneyS5C4T2,Season5Chapter4,S5_Ch4_Task2,S5_Journey_Ch04_T02,2
