JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS6C1T1,Season6Chapter1,S6_Ch1_Task1,S6_Journey_Ch01_T01,1
JourneyS6C1T2,Season6Chapter1,S6_Ch1_Task2,S6_Journey_Ch01_T02,2
JourneyS6C1T3,Season6Chapter1,S6_Ch1_Task3,S6_Journey_Ch01_T03,3
JourneyS6C1T4,Season6Chapter1,S6_Ch1_Task4,S6_Journey_Ch01_T04,4
JourneyS6C1T5,Season6Chapter1,S6_Ch1_Task5,S6_Journey_Ch01_T05,5
JourneyS6C1T6,Season6Chapter1,S6_Ch1_Task6,S6_Journey_Ch01_T06,6
JourneyS6C1T7,Season6Chapter1,S6_Ch1_Task7,S6_Journey_Ch01_T07,7
JourneyS6C1T8,Season6Chapter1,S6_Ch1_Task8,S6_Journey_Ch01_T08,8
JourneyS6C1T9,Season6Chapter1,S6_Ch1_Task9,S6_Journey_Ch01_T09,9
JourneyS6C1T10,Season6Chapter1,S6_Ch1_Task10,S6_Journey_Ch01_T10,10
JourneyS6C2T1,Season6Chapter2,S6_Ch2_Task1,S6_Journey_Ch02_T01,1
JourneyS6C2T2,Season6Chapter2,S6_Ch2_Task2,S6_Journey_Ch02_T02,2
JourneyS6C2T3,Season6Chapter2,S6_Ch2_Task3,S6_Journey_Ch02_T03,3
JourneyS6C2T4,Season6Chapter2,S6_Ch2_Task4,S6_Journey_Ch02_T04,4
JourneyS6C2T5,Season6Chapter2,S6_Ch2_Task5,S6_Journey_Ch02_T05,5
JourneyS6C2T6,Season6Chapter2,S6_Ch2_Task6,S6_Journey_Ch02_T06,6
JourneyS6C2T7,Season6Chapter2,S6_Ch2_Task7,S6_Journey_Ch02_T07,7
JourneyS6C2T8,Season6Chapter2,S6_Ch2_Task8,S6_Journey_Ch02_T08,8
JourneyS6C2T9,Season6Chapter2,S6_Ch2_Task9,S6_Journey_Ch02_T09,9
JourneyS6C2T10,Season6Chapter2,S6_Ch2_Task10,S6_Journey_Ch02_T10,10
JourneyS6C2T11,Season6Chapter2,S6_Ch2_Task11,S6_Journey_Ch02_T11,11
JourneyS6C3T1,Season6Chapter3,S6_Ch3_Task1,S6_Journey_Ch03_T01,1
JourneyS6C3T2,Season6Chapter3,S6_Ch3_Task2,S6_Journey_Ch03_T02,2
JourneyS6C3T3,Season6Chapter3,S6_Ch3_Task3,S6_Journey_Ch03_T03,3
