JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS3C1T1,Season2Chapter1,S3_Level65,S3_Journey_Ch01_T01,1
JourneyS3C1T2,Season3Chapter1,S3_AcquireFlail,S3_Journey_Ch01_T02,2
JourneyS3C1T3,Season3Chapter1,S3_DiscoverEdengroveSettlement,S3_Journey_Ch01_T03,3
JourneyS3C1T4,Season3Chapter1,S3_AcquireMount,S3_Journey_Ch01_T04,4
JourneyS3C1T5,Season3Chapter1,S3_CraftMushroomFlask,S3_Journey_Ch01_T05,5
JourneyS3C1T6,Season3Chapter1,S3_CompleteActivityCards_1,S3_Journey_Ch01_T06,6
JourneyS3C1T7,Season3Chapter1,S3_ParticpateInfluenceRace,S3_Journey_Ch01_T07,7
JourneyS3C1T8,Season3Chapter1,S3_GatherSporeplants,S3_Journey_Ch01_T08,8
JourneyS3C1T9,Season3Chapter1,S3_CompleteFactionMissions_1,S3_Journey_Ch01_T09,9
JourneyS3C1T10,Season3Chapter1,S3_FirstLightQuest_EnterZone,S3_Journey_Ch01_T10,10
JourneyS3C2T1,Season3Chapter2,S3_CompleteTownProjects_1,S3_Journey_Ch02_T01,1
JourneyS3C2T2,Season3Chapter2,S3_AcquireGS700,S3_Journey_Ch02_T02,2
JourneyS3C2T3,Season3Chapter2,S3_ExpeditionCrystalclaw,S3_Journey_Ch02_T03,3
JourneyS3C2T4,Season3Chapter2,S3_CaptureInfluenceTowers,S3_Journey_Ch02_T04,4
JourneyS3C2T5,Season3Chapter2,S3_CraftSporePotion,S3_Journey_Ch02_T05,5
JourneyS3C2T6,Season3Chapter2,S3_UseMountConsumables,S3_Journey_Ch02_T06,6
JourneyS3C2T7,Season3Chapter2,S3_CompleteActivityCards_2,S3_Journey_Ch02_T07,7
JourneyS3C2T8,Season3Chapter2,S3_CompleteMountQuest_FirstRace,S3_Journey_Ch02_T08,8
JourneyS3C2T9,Season3Chapter2,S3_CompleteNewFactionQuest,S3_Journey_Ch02_T09,9
JourneyS3C2T10,Season3Chapter2,S3_WinOPR,S3_Journey_Ch02_T10,10
JourneyS3C2T11,Season3Chapter2,S3_FirstLightQuest_EnterJungle,S3_Journey_Ch02_T11,11
JourneyS3C3T1,Season3Chapter3,S3_CompleteSeasonalChallenge_1,S3_Journey_Ch03_T01,1
JourneyS3C3T2,Season3Chapter3,S3_ExpeditionM1Crystalclaw,S3_Journey_Ch03_T02,2
