JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS1C1T1,Season1Chapter1,Obtainlevel60,S1_Journey_Ch01_T01,1
JourneyS1C1T2,Season1Chapter1,CompleteExpedition,S1_Journey_Ch01_T02,2
JourneyS1C1T3,Season1Chapter1,CompleteQuest_FirstCustomer,S1_Journey_Ch01_T03,3
JourneyS1C1T4,Season1Chapter1,Kill10Level60VarangianKnights,S1_Journey_Ch01_T04,4
JourneyS1C1T5,Season1Chapter1,Complete3FactionMissions,S1_Journey_Ch01_T05,5
JourneyS1C1T6,Season1Chapter1,Complete5SongsAnyDifficulty,S1_Journey_Ch01_T06,6
JourneyS1C1T7,Season1Chapter1,Capture1FactionControlPoint,S1_Journey_Ch01_T07,7
JourneyS1C1T8,Season1Chapter1,Complete1ActivityCard,S1_Journey_Ch01_T08,8
JourneyS1C1T9,Season1Chapter1,Win1Duel,S1_Journey_Ch01_T09,9
JourneyS1C1T10,Season1Chapter1,LocateLostEasel,S1_Journey_Ch01_T10,10
JourneyS1C2T1,Season1Chapter2,CompleteQuest_CurseOfTheBones,S1_Journey_Ch02_T01,1
JourneyS1C2T2,Season1Chapter2,CompleteLevel60Expedition,S1_Journey_Ch02_T02,2
JourneyS1C2T3,Season1Chapter2,Complete4TownProjects,S1_Journey_Ch02_T03,3
JourneyS1C2T4,Season1Chapter2,Complete1SeasonalChallenge,S1_Journey_Ch02_T04,4
JourneyS1C2T5,Season1Chapter2,CompleteQuest_TheEmpyreanForge,S1_Journey_Ch02_T05,5
JourneyS1C2T6,Season1Chapter2,UseFlameCoreForgex1,S1_Journey_Ch02_T06,6
JourneyS1C2T7,Season1Chapter2,Play3Arena,S1_Journey_Ch02_T07,7
JourneyS1C2T8,Season1Chapter2,Complete10FactionMissions,S1_Journey_Ch02_T08,8
JourneyS1C2T9,Season1Chapter2,Complete2SongsAnyDifficultyGrouped,S1_Journey_Ch02_T09,9
JourneyS1C2T10,Season1Chapter2,Complete2ActivityCards,S1_Journey_Ch02_T10,10
JourneyS1C3T1,Season1Chapter3,CompleteQuest_VineYards,S1_Journey_Ch03_T01,1
JourneyS1C3T2,Season1Chapter3,Complete1M1Expedition_TheEmpyreanForge,S1_Journey_Ch03_T02,2
JourneyS1C3T3,Season1Chapter3,Complete2SeasonalChallenge,S1_Journey_Ch03_T03,3
JourneyS1C3T4,Season1Chapter3,Craft25GypsumOrbs,S1_Journey_Ch03_T04,4
JourneyS1C3T5,Season1Chapter3,UseFlameCoreForgex3,S1_Journey_Ch03_T05,5
JourneyS1C3T6,Season1Chapter3,Complete6ActivityCards,S1_Journey_Ch03_T06,6
JourneyS1C3T7,Season1Chapter3,Close15Breaches,S1_Journey_Ch03_T07,7
JourneyS1C3T8,Season1Chapter3,DefeatSirOlga,S1_Journey_Ch03_T08,8
JourneyS1C3T9,Season1Chapter3,Craft1HeartgemRuneT3,S1_Journey_Ch03_T09,9
JourneyS1C3T10,Season1Chapter3,Complete3PvPRewardTracks,S1_Journey_Ch03_T10,10
JourneyS1C4T1,Season1Chapter4,CompleteQuest_DearlyBeloved,S1_Journey_Ch04_T01,1
JourneyS1C4T2,Season1Chapter4,Kill500Level60VarangianKnights,S1_Journey_Ch04_T02,2
JourneyS1C4T3,Season1Chapter4,Complete40TownProjects,S1_Journey_Ch04_T03,3
JourneyS1C4T4,Season1Chapter4,Complete1M5Expedition_TheEmpyreanForge,S1_Journey_Ch04_T04,4
JourneyS1C4T5,Season1Chapter4,UseFlameCoreForgex5,S1_Journey_Ch04_T05,5
JourneyS1C4T6,Season1Chapter4,Complete3SeasonalChallenge,S1_Journey_Ch04_T06,6
JourneyS1C4T7,Season1Chapter4,Play10OutpostRush,S1_Journey_Ch04_T07,7
JourneyS1C4T8,Season1Chapter4,Complete10SongsOnExpert,S1_Journey_Ch04_T08,8
JourneyS1C4T9,Season1Chapter4,Complete2Invasions,S1_Journey_Ch04_T09,9
JourneyS1C4T10,Season1Chapter4,Complete10ActivityCards,S1_Journey_Ch04_T10,10
JourneyS1C5T1,Season1Chapter5,CompleteQuest_Showdown,S1_Journey_Ch05_T01,1
JourneyS1C5T2,Season1Chapter5,Complete1M10Expedition_TheEmpyreanForge,S1_Journey_Ch05_T02,2
JourneyS1C5T3,Season1Chapter5,Complete4SeasonalChallenge,S1_Journey_Ch05_T03,3
JourneyS1C5T4,Season1Chapter5,Kill100FlamePoweredVarangians,S1_Journey_Ch05_T04,4
JourneyS1C5T5,Season1Chapter5,Kill50PlayerInOpenWorld,S1_Journey_Ch05_T05,5
JourneyS1C5T6,Season1Chapter5,Complete10SongsAtGreat,S1_Journey_Ch05_T06,6
JourneyS1C5T7,Season1Chapter5,Close25MajorBreaches,S1_Journey_Ch05_T07,7
JourneyS1C5T8,Season1Chapter5,Complete3Trials,S1_Journey_Ch05_T08,8
JourneyS1C5T9,Season1Chapter5,Gather100000Resources,S1_Journey_Ch05_T09,9
JourneyS1C5T10,Season1Chapter5,UseFlameCoreForgex10,S1_Journey_Ch05_T10,10
JourneyS1ChallengeT1,Season1Challenge,CompleteM10Expedition75000Score_TheEmpyreanForge,S1_Journey_Challenge_T01,1
JourneyS1ChallengeT2,Season1Challenge,Win100OutpostRush,S1_Journey_Challenge_T02,2
JourneyS1ChallengeT3,Season1Challenge,Kill500PlayersInOpenWorld,S1_Journey_Challenge_T03,3
JourneyS1ChallengeT4,Season1Challenge,Capture50FactionControlPoint,S1_Journey_Challenge_T04,4
JourneyS1ChallengeT5,Season1Challenge,Craft125LegendaryItems,S1_Journey_Challenge_T05,5
JourneyS1ChallengeT6,Season1Challenge,CompleteFellowshipAndFireStory,S1_Journey_Challenge_T06,6
JourneyS1ChallengeT7,Season1Challenge,Craft100GypsumOrbs,S1_Journey_Challenge_T07,7
JourneyS1ChallengeT8,Season1Challenge,UseFlameCoreForgex30,S1_Journey_Challenge_T08,8
JourneyS1ChallengeT9,Season1Challenge,Complete25M10ExpeditionWithGoldRank,S1_Journey_Challenge_T09,9
JourneyS1ChallengeT10,Season1Challenge,Complete10MutatedExpeditionsFlawlessly,S1_Journey_Challenge_T10,10
