JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS10C1T1,Season10Chapter1,S10_Ch1_Task1,S10_Journey_Ch01_T01,1
JourneyS10C1T2,Season10Chapter1,S10_Ch1_Task2,S10_Journey_Ch01_T02,2
JourneyS10C1T3,Season10Chapter1,S10_Ch1_Task3,S10_Journey_Ch01_T03,3
JourneyS10C1T4,Season10Chapter1,S10_Ch1_Task4,S10_Journey_Ch01_T04,4
JourneyS10C1T5,Season10Chapter1,S10_Ch1_Task5,S10_Journey_Ch01_T05,5
JourneyS10C1T6,Season10Chapter1,S10_Ch1_Task6,S10_Journey_Ch01_T06,6
JourneyS10C2T1,Season10Chapter2,S10_Ch2_Task1,S10_Journey_Ch02_T01,1
JourneyS10C2T2,Season10Chapter2,S10_Ch2_Task2,S10_Journey_Ch02_T02,2
JourneyS10C2T3,Season10Chapter2,S10_Ch2_Task3,S10_Journey_Ch02_T03,3
JourneyS10C2T4,Season10Chapter2,S10_Ch2_Task4,S10_Journey_Ch02_T04,4
JourneyS10C2T5,Season10Chapter2,S10_Ch2_Task5,S10_Journey_Ch02_T05,5
JourneyS10C2T6,Season10Chapter2,S10_Ch2_Task6,S10_Journey_Ch02_T06,6
JourneyS10C2T7,Season10Chapter2,S10_Ch2_Task7,S10_Journey_Ch02_T07,7
JourneyS10C3T1,Season10Chapter3,S10_Ch3_Task1,S10_Journey_Ch03_T01,1
JourneyS10C3T2,Season10Chapter3,S10_Ch3_Task2,S10_Journey_Ch03_T02,2
JourneyS10C3T3,Season10Chapter3,S10_Ch3_Task3,S10_Journey_Ch03_T03,3
JourneyS10C3T4,Season10Chapter3,S10_Ch3_Task4,S10_Journey_Ch03_T04,4
JourneyS10C3T5,Season10Chapter3,S10_Ch3_Task5,S10_Journey_Ch03_T05,5
JourneyS10C3T6,Season10Chapter3,S10_Ch3_Task6,S10_Journey_Ch03_T06,6
JourneyS10C3T7,Season10Chapter3,S10_Ch3_Task7,S10_Journey_Ch03_T07,7
JourneyS10C3T8,Season10Chapter3,S10_Ch3_Task8,S10_Journey_Ch03_T08,8
JourneyS10C4T1,Season10Chapter4,S10_Ch4_Task1,S10_Journey_Ch04_T01,1
JourneyS10C4T2,Season10Chapter4,S10_Ch4_Task2,S10_Journey_Ch04_T02,2
JourneyS10C4T3,Season10Chapter4,S10_Ch4_Task3,S10_Journey_Ch04_T03,3
JourneyS10C4T4,Season10Chapter4,S10_Ch4_Task4,S10_Journey_Ch04_T04,4
JourneyS10C4T5,Season10Chapter4,S10_Ch4_Task5,S10_Journey_Ch04_T05,5
JourneyS10C4T6,Season10Chapter4,S10_Ch4_Task6,S10_Journey_Ch04_T06,6
JourneyS10C4T7,Season10Chapter4,S10_Ch4_Task7,S10_Journey_Ch04_T07,7
JourneyS10C4T8,Season10Chapter4,S10_Ch4_Task8,S10_Journey_Ch04_T08,8
JourneyS10C4T9,Season10Chapter4,S10_Ch4_Task9,S10_Journey_Ch04_T09,9
JourneyS10C5T1,Season10Chapter5,S10_Ch5_Task1,S10_Journey_Ch05_T01,1
JourneyS10C5T2,Season10Chapter5,S10_Ch5_Task2,S10_Journey_Ch05_T02,2
JourneyS10C5T3,Season10Chapter5,S10_Ch5_Task3,S10_Journey_Ch05_T03,3
JourneyS10C5T4,Season10Chapter5,S10_Ch5_Task4,S10_Journey_Ch05_T04,4
JourneyS10C5T5,Season10Chapter5,S10_Ch5_Task5,S10_Journey_Ch05_T05,5
JourneyS10C5T6,Season10Chapter5,S10_Ch5_Task6,S10_Journey_Ch05_T06,6
JourneyS10C5T7,Season10Chapter5,S10_Ch5_Task7,S10_Journey_Ch05_T07,7
JourneyS10C5T8,Season10Chapter5,S10_Ch5_Task8,S10_Journey_Ch05_T08,8
JourneyS10C5T9,Season10Chapter5,S10_Ch5_Task9,S10_Journey_Ch05_T09,9
JourneyS10C5T10,Season10Chapter5,S10_Ch5_Task10,S10_Journey_Ch05_T10,10
JourneyS10ChallengeT1,Season10Challenge,S10_Challenge1,S10_Journey_Challenge_T01,1
JourneyS10ChallengeT2,Season10Challenge,S10_Challenge2,S10_Journey_Challenge_T02,2
JourneyS10ChallengeT3,Season10Challenge,S10_Challenge3,S10_Journey_Challenge_T03,3
JourneyS10ChallengeT4,Season10Challenge,S10_Challenge4,S10_Journey_Challenge_T04,4
JourneyS10ChallengeT5,Season10Challenge,S10_Challenge5,S10_Journey_Challenge_T05,5
