JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS7C1T1,Season7Chapter1,S7_Ch1_Task1,S7_Journey_Ch01_T01,1
JourneyS7C1T2,Season7Chapter1,S7_Ch1_Task2,S7_Journey_Ch01_T02,2
JourneyS7C1T3,Season7Chapter1,S7_Ch1_Task3,S7_Journey_Ch01_T03,3
JourneyS7C1T4,Season7Chapter1,S7_Ch1_Task4,S7_Journey_Ch01_T04,4
JourneyS7C1T5,Season7Chapter1,S7_Ch1_Task5,S7_Journey_Ch01_T05,5
JourneyS7C1T6,Season7Chapter1,S7_Ch1_Task6,S7_Journey_Ch01_T06,6
JourneyS7C1T7,Season7Chapter1,S7_Ch1_Task7,S7_Journey_Ch01_T07,7
JourneyS7C1T8,Season7Chapter1,S7_Ch1_Task8,S7_Journey_Ch01_T08,8
JourneyS7C1T9,Season7Chapter1,S7_Ch1_Task9,S7_Journey_Ch01_T09,9
JourneyS7C1T10,Season7Chapter1,S7_Ch1_Task10,S7_Journey_Ch01_T10,10
JourneyS7C2T1,Season7Chapter2,S7_Ch2_Task1,S7_Journey_Ch02_T01,1
JourneyS7C2T2,Season7Chapter2,S7_Ch2_Task2,S7_Journey_Ch02_T02,2
JourneyS7C2T3,Season7Chapter2,S7_Ch2_Task3,S7_Journey_Ch02_T03,3
JourneyS7C2T4,Season7Chapter2,S7_Ch2_Task4,S7_Journey_Ch02_T04,4
JourneyS7C2T5,Season7Chapter2,S7_Ch2_Task5,S7_Journey_Ch02_T05,5
JourneyS7C2T6,Season7Chapter2,S7_Ch2_Task6,S7_Journey_Ch02_T06,6
JourneyS7C2T7,Season7Chapter2,S7_Ch2_Task7,S7_Journey_Ch02_T07,7
JourneyS7C2T8,Season7Chapter2,S7_Ch2_Task8,S7_Journey_Ch02_T08,8
JourneyS7C2T9,Season7Chapter2,S7_Ch2_Task9,S7_Journey_Ch02_T09,9
JourneyS7C2T10,Season7Chapter2,S7_Ch2_Task10,S7_Journey_Ch02_T10,10
JourneyS7C2T11,Season7Chapter2,S7_Ch2_Task11,S7_Journey_Ch02_T11,11
JourneyS7C3T1,Season7Chapter3,S7_Ch3_Task1,S7_Journey_Ch03_T01,1
JourneyS7C3T2,Season7Chapter3,S7_Ch3_Task2,S7_Journey_Ch03_T02,2
JourneyS7C3T3,Season7Chapter3,S7_Ch3_Task3,S7_Journey_Ch03_T03,3
JourneyS7C3T4,Season7Chapter3,S7_Ch3_Task4,S7_Journey_Ch03_T04,4
JourneyS7C3T5,Season7Chapter3,S7_Ch3_Task5,S7_Journey_Ch03_T05,5
JourneyS7C3T6,Season7Chapter3,S7_Ch3_Task6,S7_Journey_Ch03_T06,6
JourneyS7C3T7,Season7Chapter3,S7_Ch3_Task7,S7_Journey_Ch03_T07,7
JourneyS7C3T8,Season7Chapter3,S7_Ch3_Task8,S7_Journey_Ch03_T08,8
JourneyS7C3T9,Season7Chapter3,S7_Ch3_Task9,S7_Journey_Ch03_T09,9
JourneyS7C3T10,Season7Chapter3,S7_Ch3_Task10,S7_Journey_Ch03_T10,10
JourneyS7C3T11,Season7Chapter3,S7_Ch3_Task11,S7_Journey_Ch03_T11,11
JourneyS7C3T12,Season7Chapter3,S7_Ch3_Task12,S7_Journey_Ch03_T12,12
JourneyS7C4T1,Season7Chapter4,S7_Ch4_Task1,S7_Journey_Ch04_T01,1
JourneyS7C4T2,Season7Chapter4,S7_Ch4_Task2,S7_Journey_Ch04_T02,2
JourneyS7C4T3,Season7Chapter4,S7_Ch4_Task3,S7_Journey_Ch04_T03,3
JourneyS7C4T4,Season7Chapter4,S7_Ch4_Task4,S7_Journey_Ch04_T04,4
JourneyS7C4T5,Season7Chapter4,S7_Ch4_Task5,S7_Journey_Ch04_T05,5
JourneyS7C4T6,Season7Chapter4,S7_Ch4_Task6,S7_Journey_Ch04_T06,6
JourneyS7C4T7,Season7Chapter4,S7_Ch4_Task7,S7_Journey_Ch04_T07,7
JourneyS7C4T8,Season7Chapter4,S7_Ch4_Task8,S7_Journey_Ch04_T08,8
JourneyS7C4T9,Season7Chapter4,S7_Ch4_Task9,S7_Journey_Ch04_T09,9
JourneyS7C4T10,Season7Chapter4,S7_Ch4_Task10,S7_Journey_Ch04_T10,10
JourneyS7C4T11,Season7Chapter4,S7_Ch4_Task11,S7_Journey_Ch04_T11,11
JourneyS7C4T12,Season7Chapter4,S7_Ch4_Task12,S7_Journey_Ch04_T12,12
JourneyS7C4T13,Season7Chapter4,S7_Ch4_Task13,S7_Journey_Ch04_T13,13
JourneyS7C5T1,Season7Chapter5,S7_Ch5_Task1,S7_Journey_Ch05_T01,1
JourneyS7C5T2,Season7Chapter5,S7_Ch5_Task2,S7_Journey_Ch05_T02,2
JourneyS7C5T3,Season7Chapter5,S7_Ch5_Task3,S7_Journey_Ch05_T03,3
JourneyS7C5T4,Season7Chapter5,S7_Ch5_Task4,S7_Journey_Ch05_T04,4
JourneyS7C5T5,Season7Chapter5,S7_Ch5_Task5,S7_Journey_Ch05_T05,5
JourneyS7C5T6,Season7Chapter5,S7_Ch5_Task6,S7_Journey_Ch05_T06,6
JourneyS7C5T7,Season7Chapter5,S7_Ch5_Task7,S7_Journey_Ch05_T07,7
JourneyS7C5T8,Season7Chapter5,S7_Ch5_Task8,S7_Journey_Ch05_T08,8
JourneyS7C5T9,Season7Chapter5,S7_Ch5_Task9,S7_Journey_Ch05_T09,9
JourneyS7C5T10,Season7Chapter5,S7_Ch5_Task10,S7_Journey_Ch05_T10,10
JourneyS7C5T11,Season7Chapter5,S7_Ch5_Task11,S7_Journey_Ch05_T11,11
JourneyS7C5T12,Season7Chapter5,S7_Ch5_Task12,S7_Journey_Ch05_T12,12
JourneyS7C5T13,Season7Chapter5,S7_Ch5_Task13,S7_Journey_Ch05_T13,13
JourneyS7C5T14,Season7Chapter5,S7_Ch5_Task14,S7_Journey_Ch05_T14,14
JourneyS7ChallengeT1,Season7Challenge,S7_Challenge1,S7_Journey_Challenge_T01,1
JourneyS7ChallengeT2,Season7Challenge,S7_Challenge2,S7_Journey_Challenge_T02,2
JourneyS7ChallengeT3,Season7Challenge,S7_Challenge3,S7_Journey_Challenge_T03,3
JourneyS7ChallengeT4,Season7Challenge,S7_Challenge4,S7_Journey_Challenge_T04,4
JourneyS7ChallengeT5,Season7Challenge,S7_Challenge5,S7_Journey_Challenge_T05,5
JourneyS7ChallengeT6,Season7Challenge,S7_Challenge6,S7_Journey_Challenge_T06,6
JourneyS7ChallengeT7,Season7Challenge,S7_Challenge7,S7_Journey_Challenge_T07,7
JourneyS7ChallengeT8,Season7Challenge,S7_Challenge8,S7_Journey_Challenge_T08,8
JourneyS7ChallengeT9,Season7Challenge,S7_Challenge9,S7_Journey_Challenge_T09,9
JourneyS7ChallengeT10,Season7Challenge,S7_Challenge10,S7_Journey_Challenge_T10,10
