QuickCourseId,PathReferenceQuickCourseId,IsTimed,AccumulateTime,StartingTimerSeconds,NodeTimeOverrideMultiplier,AudioGroup,NOTES
EF_Tour_0,,true,,30,,MNT_Race_Tour_Everfall,
EF_Rally_1,,true,,,1,MNT_Race_Rally_Everfall,Radiant Hills Rally
EF_Rally_2,,true,,25,1,MNT_Race_Rally_Everfall,Stolen Shores Rally
EF_Tour_1,,true,,200,,MNT_Race_Tour_Everfall,King's Road Tour
EF_Tour_2,,true,,280,,MNT_Race_Tour_Everfall,Dogma Tour
EF_Tour_3,,true,,180,,MNT_Race_Tour_Everfall,Ghosts and Groves Tour
WF_Rally_1,,true,,,,MNT_Race_Rally_Weavers_Fen,Vega Bridge Rally 
WF_Rally_2,,true,,,1,MNT_Race_Rally_Weavers_Fen,Diver's Bluff Rally 
WF_Tour_1,,true,,440,1,MNT_Race_Tour_Weavers_Fen,Iron Rose Tour 
WF_Tour_2,,true,,440,1,MNT_Race_Tour_Weavers_Fen,Smuggler's Way Tour 
WF_Tour_3,,true,,320,1,MNT_Race_Tour_Weavers_Fen,Flood and Folly Tour 
EF_Rally_3,EF_Rally_1,true,,,0.85,MNT_Race_Rally_Everfall,Radiant Hills Rally II
EF_Rally_4,EF_Rally_2,true,,25,0.85,MNT_Race_Rally_Everfall,Stolen Shores Rally II
EF_Tour_4,EF_Tour_1,true,,221,0.85,MNT_Race_Tour_Everfall,Kings Road Tour II
EF_Tour_5,EF_Tour_2,true,,263,0.85,MNT_Race_Tour_Everfall,Dogma Tour II
EF_Tour_6,EF_Tour_3,true,,272,0.85,MNT_Race_Tour_Everfall,Ghosts and Groves Tour II
GC_Rally_1,,true,,,,MNT_Race_Rally_Great_Cleave,Wolfsbane Tour
GC_Rally_2,,true,,,,MNT_Race_Rally_Great_Cleave,Temple of Tears Rally
GC_Tour_1,,true,,380,,MNT_Race_Tour_Great_Cleave,Ancient Alley Tour
GC_Tour_2,,true,,360,,MNT_Race_Tour_Great_Cleave,Downhill Rush Rally
GC_Tour_3,,true,,380,,MNT_Race_Tour_Great_Cleave,Snows and Swamps Tour
WF_Rally_3,WF_Rally_1,true,,,0.85,MNT_Race_Rally_Weavers_Fen,Vega Bridge Rally II
WF_Rally_4,WF_Rally_2,true,,,0.85,MNT_Race_Rally_Weavers_Fen,Diver's Bluff Rally II
WF_Tour_4,WF_Tour_1,true,,476,0.85,MNT_Race_Tour_Weavers_Fen,Iron Rose Tour II
WF_Tour_5,WF_Tour_2,true,,400,0.85,MNT_Race_Tour_Weavers_Fen,Smuggler's Way Tour II
WF_Tour_6,WF_Tour_3,true,,320,0.85,MNT_Race_Tour_Weavers_Fen,Flood and Folly Tour II
EF_Rally_5,EF_Rally_1,true,,,0.75,MNT_Race_Rally_Everfall,Radiant Hills Rally III
EF_Rally_6,EF_Rally_2,true,,25,0.75,MNT_Race_Rally_Everfall,Stolen Shores Rally III
EF_Tour_7,EF_Tour_1,true,,195,0.75,MNT_Race_Tour_Everfall,Kings Road Tour III
EF_Tour_8,EF_Tour_2,true,,232,0.75,MNT_Race_Tour_Everfall,Dogma Tour III
EF_Tour_9,EF_Tour_3,true,,255,0.75,MNT_Race_Tour_Everfall,Ghosts and Groves Tour III
BS_Rally_1,,true,,,,MNT_Race_Rally_BrimstoneSands,Rally of the Gods
BS_Rally_2,,true,,,,MNT_Race_Rally_BrimstoneSands,Skysong Rally
BS_Tour_1,,true,,700,,MNT_Race_Tour_BrimstoneSands,Pilgrim's Tour
BS_Tour_2,,true,,1040,,MNT_Race_Tour_BrimstoneSands,Four Seasons Tour
BS_Tour_3,,true,,1170,,MNT_Race_Tour_BrimstoneSands,Barrens and Bogs Tour
GC_Rally_3,GC_Rally_1,true,,,0.85,MNT_Race_Rally_Great_Cleave,Temple of Tears Rally II
GC_Rally_4,GC_Rally_2,true,,,0.85,MNT_Race_Rally_Great_Cleave,Downhill Luge Tour II
GC_Tour_4,GC_Tour_1,true,,350,0.85,MNT_Race_Tour_Great_Cleave,Wolfsbane Tour II
GC_Tour_5,GC_Tour_2,true,,306,0.85,MNT_Race_Tour_Great_Cleave,Leap of Faith Rally II
GC_Tour_6,GC_Tour_3,true,,350,0.85,MNT_Race_Tour_Great_Cleave,Snows and Swamps Tour II
