ItemSoundID,Sheathe,Unsheathe,SheatheFLY,UnsheatheFLY,Defense
default,Play_Sheathe_1H_Axe_T1,Play_Unsheathe_1H_Axe_T1,,,Play_1H_Melee_Block
1H_Axe,Play_Sheathe_1H_Axe_T1,Play_Unsheathe_1H_Axe_T1,,,Play_1H_Melee_Block
1H_Club,Play_Sheathe_1H_Club_T1,Play_Unsheathe_1H_Club_T1,,,Play_1H_Melee_Block
1H_Knife,Play_Sheathe_1H_Knife_T1,Play_Unsheathe_1H_Knife_T1,,,Play_1H_Melee_Block
1H_Melee_Default,Play_Sheathe_1H_Axe_T1,Play_Unsheathe_1H_Axe_T1,,,Play_1H_Melee_Block
1H_Pick,Play_Sheathe_1H_Pick_T1,Play_Unsheathe_1H_Pick_T1,,,Play_1H_Melee_Block
1H_Pistol,Play_Sheathe_1H_Pistol_T1,Play_Unsheathe_1H_Pistol_T1,,,Play_1H_Melee_Block
1H_Rapier,Play_Sheathe_1H_Rapier,Play_Unsheathe_1H_Rapier,,,Play_1H_Melee_Block
1H_ShieldA_metal,Play_1H_ShieldA_Metal_Sheathe,Play_1H_ShieldA_Metal_Unsheathe,Play_1H_ShieldA_Metal_FLY_Sheathed,Play_1H_ShieldA_Metal_FLY_Unsheathed,Play_1H_ShieldA_Metal_Defense
1H_ShieldA_wood,Play_1H_ShieldA_Wood_Sheathe,Play_1H_ShieldA_Wood_Unsheathe,Play_1H_ShieldA_Wood_FLY_Sheathed,Play_1H_ShieldA_Wood_FLY_Unsheathed,Play_1H_ShieldA_Wood_Defense
1H_Sickle,Play_Sheathe_1H_Sickle_T1,Play_Unsheathe_1H_Sickle_T1,,,Play_1H_Melee_Block
1H_Sword,Play_Sheathe_1H_Sword_T1,Play_Unsheathe_1H_Sword_T1,Play_1HSword_FLY_Sheathed,,Play_1H_Melee_Block
1H_Torch,Play_Sheathe_1H_Torch_T1,Play_Unsheathe_1H_Torch_T1,,,Play_1H_Melee_Block
2H_Axe,Play_Sheathe_2H_Axe_T1,Play_Unsheathe_2H_Axe_T1,,,Play_1H_Melee_Block
2H_Bow,Play_Sheathe_2H_Bow_T1,Play_Unsheathe_2H_Bow_T1,Play_BowQuiver_FLY,,
2H_Club,Play_Sheathe_2H_Club_T1,Play_Unsheathe_2H_Club_T1,,,Play_1H_Melee_Block
2H_GreatAxe,Play_Sheathe_2H_GreatAxe_T1,Play_Unsheathe_2H_GreatAxe_T1,,,Play_1H_Melee_Block
2H_Melee_Default,Play_Sheathe_2H_Axe_T1,Play_Unsheathe_2H_Axe_T1,,,Play_1H_Melee_Block
2H_Pick,Play_Sheathe_2H_Pick_T1,Play_Unsheathe_2H_Pick_T1,,,Play_1H_Melee_Block
2H_Rifle,Play_Sheathe_2H_Musket_T1,Play_Unsheathe_2H_Musket_T1,Play_2HRifle_FLY_Sheathed,Play_2HRifle_FLY_Unsheathed,
2H_Blunderbuss,Play_Sheathe_Blunderbuss,Play_Unsheathe_Blunderbuss,Play_Blunderbuss_FLY_Sheathed,Play_Blunderbuss_FLY_Unsheathed,
2H_Spear,Play_Sheathe_2H_Spear_T1,Play_Unsheathe_2H_Spear_T1,,,Play_1H_Melee_Block
2H_WarHammer,Play_Sheathe_2H_WarHammer_T1,Play_Unsheathe_2H_WarHammer_T1,,,Play_1H_Melee_Block
2H_Greatsword,Play_Sheathe_2H_GreatSword_T1,Play_Unsheathe_2H_GreatSword_T1,,,Play_1H_Melee_Block
MagicStaff,Play_Sheathe_2H_WarHammer_T1,Play_Unsheathe_2H_WarHammer_T2,,,Play_1H_Melee_Block
Staff_Life,Play_Sheathe_2H_StaffLife_T1,Play_Unsheathe_2H_StaffLife_T1,,,Play_1H_Melee_Block
Staff_Fire,Play_Sheathe_FireStaff,Play_Unsheathe_FireStaff,,,Play_1H_Melee_Block
MXMI_Flute,Play_SFX_MXMI_AZF_Unequip,Play_SFX_MXMI_AZF_Equip,,,
MXMI_Drums,Play_SFX_MXMI_DRM_Unequip,Play_SFX_MXMI_DRM_Equip,,,
MXMI_Guitar,Play_SFX_MXMI_AG_Unequip,Play_SFX_MXMI_AG_Equip,,,
MXMI_UprightBass,Play_SFX_MXMI_URB_Unequip,Play_SFX_MXMI_URB_Equip,,,
MXMI_Mandolin,Play_SFX_MXMI_MAN_Unequip,Play_SFX_MXMI_MAN_Equip,,,
