MetaAchievementId,ReadyForSteam,SteamApiName,Type,Predecessor MetaAchievementIds,ProgressId,ProgressIdParent,UIDisplayCategory,Title,Description,Hidden Text,Notification Verbosity,Tier,Icon,Entitlement Id,AchievePoints,Total,VitalsCategories,Categorical Progression,LorePagesTopicIds,TradeskillType,ItemClass,TrueFalse,QuestGroupTag,GameEventType,TerritoryId,IsPvp,InGroup,FactionType,MissionGoalType,GameModeId,GameModeResult,AttributeType,AchievementsID,AchievementCategory
PvE_FamilyKills_Corrupted1,,,CategoryKills,,PvE_FamilyKills_Corrupted,,Enemies_By_Type,@ui_metachievement_pve_familykills_corrupted_title1,@ui_metachievement_pve_familykills_corrupted_generic_desc,,OneHundred,@ui_meta_achievements_roman_numeral_i,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Corrupted1.png,,0,250,Corrupted,,,,,,,,,NO,ANY,,,,,,,
PvE_FamilyKills_Corrupted2,,,CategoryKills,,,PvE_FamilyKills_Corrupted,Enemies_By_Type,@ui_metachievement_pve_familykills_corrupted_title2,@ui_metachievement_pve_familykills_corrupted_generic_desc,,OneHundred,@ui_meta_achievements_roman_numeral_ii,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Corrupted1.png,,0,1000,Corrupted,,,,,,,,,,,,,,,,,
PvE_FamilyKills_Corrupted3,,,CategoryKills,,,PvE_FamilyKills_Corrupted,Enemies_By_Type,@ui_metachievement_pve_familykills_corrupted_title3,@ui_metachievement_pve_familykills_corrupted_generic_desc,,OneHundred,@ui_meta_achievements_roman_numeral_iii,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Corrupted1.png,,0,2000,Corrupted,,,,,,,,,,,,,,,,,
PvE_FamilyKills_Corrupted4,,,CategoryKills,,,PvE_FamilyKills_Corrupted,Enemies_By_Type,@ui_metachievement_pve_familykills_corrupted_title4,@ui_metachievement_pve_familykills_corrupted_generic_desc,,OneHundred,@ui_meta_achievements_roman_numeral_iv,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Corrupted1.png,,0,4000,Corrupted,,,,,,,,,,,,,,,,,
PvE_FamilyKills_Corrupted5,false,META_PVE_FAMILYKILL_CORRUPT5,CategoryKills,,,PvE_FamilyKills_Corrupted,Enemies_By_Type,@ui_metachievement_pve_familykills_corrupted_title5,@ui_metachievement_pve_familykills_corrupted_generic_desc,,SeventyFiveOneHundred,@ui_meta_achievements_roman_numeral_v,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Corrupted1.png,,0,8000,Corrupted,,,,,,,,,,,,,,,,,
PvE_FamilyKills_Lost1,,,CategoryKills,,PvE_FamilyKills_Lost,,Enemies_By_Type,@ui_metachievement_pve_familykills_lost_title1,@ui_metachievement_pve_familykills_lost_generic_desc,,OneHundred,@ui_meta_achievements_roman_numeral_i,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Lost1.png,,0,250,Lost,,,,,,,,,NO,ANY,,,,,,,
PvE_FamilyKills_Lost2,,,CategoryKills,,,PvE_FamilyKills_Lost,Enemies_By_Type,@ui_metachievement_pve_familykills_lost_title2,@ui_metachievement_pve_familykills_lost_generic_desc,,OneHundred,@ui_meta_achievements_roman_numeral_ii,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Lost1.png,,0,1000,Lost,,,,,,,,,,,,,,,,,
PvE_FamilyKills_Lost3,,,CategoryKills,,,PvE_FamilyKills_Lost,Enemies_By_Type,@ui_metachievement_pve_familykills_lost_title3,@ui_metachievement_pve_familykills_lost_generic_desc,,OneHundred,@ui_meta_achievements_roman_numeral_iii,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Lost1.png,,0,2000,Lost,,,,,,,,,,,,,,,,,
PvE_FamilyKills_Lost4,,,CategoryKills,,,PvE_FamilyKills_Lost,Enemies_By_Type,@ui_metachievement_pve_familykills_lost_title4,@ui_metachievement_pve_familykills_lost_generic_desc,,OneHundred,@ui_meta_achievements_roman_numeral_iv,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Lost1.png,,0,4000,Lost,,,,,,,,,,,,,,,,,
PvE_FamilyKills_Lost5,false,META_PVE_FAMILYKILL_LOST5,CategoryKills,,,PvE_FamilyKills_Lost,Enemies_By_Type,@ui_metachievement_pve_familykills_lost_title5,@ui_metachievement_pve_familykills_lost_generic_desc,,SeventyFiveOneHundred,@ui_meta_achievements_roman_numeral_v,lyshineui\images\Icons\Achievements\PvE_FamilyKills_Lost1.png,,0,8000,Lost,,,,,,,,,,,,,,,,,
