MetaAchievementCategoryId,Parent Category,Index,Title,Icon Color Background
Summary,,1,@ui_meta_achievements_summary,
Completed_Achievements,,2,@ui_meta_achievements_completed_achievements,
PvE,,3,@ui_meta_achievements_pve,
Enemies_By_Type,PvE,1,@ui_meta_achievements_enemies_by_type,LyShineUI\Images\Icons\Achievements\achievement_icon_background01.dds
Enemies_By_Name,PvE,2,@ui_meta_achievements_enemies_by_name,LyShineUI\Images\Icons\Achievements\achievement_icon_background01.dds
Invasions_And_Breaches,PvE,3,@ui_meta_achievements_invasions_and_breaches,LyShineUI\Images\Icons\Achievements\achievement_icon_background01.dds
PvE_Kill_Counts,PvE,4,@ui_meta_achievements_kill_counts,LyShineUI\Images\Icons\Achievements\achievement_icon_background01.dds
Gathering,PvE,5,@ui_meta_achievements_gathering,LyShineUI\Images\Icons\Achievements\achievement_icon_background01.dds
Dungeon_Bosses,PvE,6,@ui_meta_achievements_dungeon_bosses,LyShineUI\Images\Icons\Achievements\achievement_icon_background01.dds
Arenas,PvE,7,@ui_meta_achievements_arenas,LyShineUI\Images\Icons\Achievements\achievement_icon_background01.dds
Dungeon_Runs,PvE,8,@ui_meta_achievements_dungeon_runs,LyShineUI\Images\Icons\Achievements\achievement_icon_background01.dds
PvP,,4,@ui_meta_achievements_pvp,
Factions,PvP,1,@ui_meta_achievements_factions,LyShineUI\Images\Icons\Achievements\achievement_icon_background02.dds
Duels,PvP,2,@ui_meta_achievements_duels,LyShineUI\Images\Icons\Achievements\achievement_icon_background02.dds
Control_Points,PvP,3,@ui_meta_achievements_control_points,LyShineUI\Images\Icons\Achievements\achievement_icon_background02.dds
Wars,PvP,4,@ui_meta_achievements_wars,LyShineUI\Images\Icons\Achievements\achievement_icon_background02.dds
Outpost_Rush,PvP,5,@ui_meta_achievements_outpost_rush,LyShineUI\Images\Icons\Achievements\achievement_icon_background02.dds
PvP_Kill_Counts,PvP,6,@ui_meta_achievements_kill_counts,LyShineUI\Images\Icons\Achievements\achievement_icon_background02.dds
PvP_Arenas,PvP,7,@ui_meta_achievements_pvp_arenas,LyShineUI\Images\Icons\Achievements\achievement_icon_background02.dds
PvP_Rewards_Track,PvP,8,@ui_meta_achievements_pvp_rewards_track,LyShineUI\Images\Icons\Achievements\achievement_icon_background02.dds
Quests,,5,@ui_meta_achievements_quests,
Territory_Stories,Quests,1,@ui_meta_achievements_territory_stories,LyShineUI\Images\Icons\Achievements\achievement_icon_background03.dds
Total_Completed,Quests,2,@ui_meta_achievements_total_completed,LyShineUI\Images\Icons\Achievements\achievement_icon_background03.dds
Missions,,6,@ui_meta_achievements_missions,
PvE_Skill_Based,Missions,1,@ui_meta_achievements_pve_skill_based,LyShineUI\Images\Icons\Achievements\achievement_icon_background04.dds
PvE_Support,Missions,2,@ui_meta_achievements_pve_support,LyShineUI\Images\Icons\Achievements\achievement_icon_background04.dds
PvE_By_Territory,Missions,3,@ui_meta_achievements_pve_by_territory,LyShineUI\Images\Icons\Achievements\achievement_icon_background04.dds
PvP_Stir_The_Pot,Missions,4,@ui_meta_achievements_pvp_stir_the_pot,LyShineUI\Images\Icons\Achievements\achievement_icon_background04.dds
PvP_By_Territory,Missions,5,@ui_meta_achievements_pvp_by_territory,LyShineUI\Images\Icons\Achievements\achievement_icon_background04.dds
Missions_Total,Missions,6,@ui_meta_achievements_mission_total_count,LyShineUI\Images\Icons\Achievements\achievement_icon_background04.dds
Progression,,7,@ui_meta_achievements_progression,
Overall,Progression,1,@ui_meta_achievements_overall,LyShineUI\Images\Icons\Achievements\achievement_icon_background05.dds
Skill_Levels,Progression,2,@ui_meta_achievements_skill_levels,LyShineUI\Images\Icons\Achievements\achievement_icon_background05.dds
Gear_Bonuses,Progression,3,@ui_meta_achievements_gear_bonuses,LyShineUI\Images\Icons\Achievements\achievement_icon_background05.dds
Housing,Progression,4,@ui_meta_achievements_housing,LyShineUI\Images\Icons\Achievements\achievement_icon_background05.dds
Territory_Standing,Progression,5,@ui_meta_achievements_territory_standing,LyShineUI\Images\Icons\Achievements\achievement_icon_background05.dds
Faction_Ranking,Progression,6,@ui_meta_achievements_faction_ranking,LyShineUI\Images\Icons\Achievements\achievement_icon_background05.dds
Weapon_Mastery,Progression,7,@ui_meta_achievements_weapon_mastery,LyShineUI\Images\Icons\Achievements\achievement_icon_background05.dds
General,,8,@ui_meta_achievements_general,
Crafting_Count,General,1,@ui_meta_achievements_crafting_count,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Refining_Count,General,2,@ui_meta_achievements_refining_count,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Gather_Count,General,3,@ui_meta_achievements_gather_count,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Named_Item_Crafting,General,4,@ui_meta_achievements_named_item_crafting,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Repairs,General,5,@ui_meta_achievements_repairs,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Instanced_Teamplay,General,6,@ui_meta_achievements_instanced_teamplay,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Lore_Pages,General,7,@ui_meta_achievements_lore_pages,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Player_Actions,General,8,@ui_meta_achievements_player_actions,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Camping,General,9,@ui_meta_achievements_camping,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Fishing,General,10,@ui_meta_achievements_fishing,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Musical_Instruments,General,11,@ui_meta_achievements_musical_instruments,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Looting,General,12,@ui_meta_achievements_looting,LyShineUI\Images\Icons\Achievements\achievement_icon_background06.dds
Dyeing,General,13,@ui_meta_achievements_looting,
Achievements,,9,@ui_meta_achievements_achievements,LyShineUI\Images\Icons\Achievements\achievement_icon_background07.dds
Titles,,10,@ui_meta_achievements_titles,LyShineUI\Images\Icons\Achievements\achievement_icon_background08.dds
Destinations,,11,@ui_meta_achievements_destinations,
Places_Discovered,Destinations,1,@ui_meta_achievements_places_discovered,LyShineUI\Images\Icons\Achievements\achievement_icon_background09.dds
Per_Territory,Destinations,2,@ui_meta_achievements_per_territory,LyShineUI\Images\Icons\Achievements\achievement_icon_background09.dds
Hamlets,Destinations,3,@ui_meta_achievements_hamlets,LyShineUI\Images\Icons\Achievements\achievement_icon_background09.dds
