BuffBucketId,TableType,MaxRoll,Buff1,BuffType1,BuffPotency1,Buff2,BuffType2,BuffPotency2,Buff3,BuffType3,BuffPotency3,Buff4,BuffType4,BuffPotency4,Buff5,BuffType5,BuffPotency5,Buff6,BuffType6,BuffPotency6
PromSoloEltBuff,AND,,AI_Elite_Unbreakable_Grit_Buff,StatusEffect,1,AI_Elite_StaggerAndStaminaDMG_Buff,StatusEffect,1,AI_Dungeon,StatusEffect,1,,,,,,,,,
PromSoloEltBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampionEliteBaseBuffs,AND,,AI_Elite_Unbreakable_Grit,StatusEffect,1,AI_SlowRoot_Immunity,StatusEffect,1,,,,,,,,,,,,
ChampionEliteBaseBuffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampRndThreeBuff,AND,,RandomOffensiveBuff,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,
ChampRndThreeBuff_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
ChampRndOffBuff,AND,,RandomOffensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
ChampRndOffBuff_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChampRndOffDefBuff,AND,,RandomOffensiveBuff,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampRndOffDefBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampRndOffUtilBuff,AND,,RandomOffensiveBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampRndOffUtilBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampRndDefUtilBuff,AND,,RandomDefensiveBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampRndDefUtilBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
ChampRndOffDefUtilNoElemBuff,AND,,RandomOffNoElemBuff,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,
ChampRndOffDefUtilNoElemBuff_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
ChampRndOffDefNoElemBuff,AND,,RandomOffNoElemBuff,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
ChampRndOffDefNoElemBuff_Probs,,0,0,,,0,,,0,,,,,,,,,,,
RandomDamageType,OR,,AI_FireDamage_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,AI_IceDamage_Buff,StatusEffect,1,AI_ArcaneDamage_Buff,StatusEffect,1,AI_LightningDamage_Buff,StatusEffect,1,AI_NatureDamage_Buff,StatusEffect,1
RandomDamageType_Probs,,100,0,,,17,,,34,,,51,,,68,,,84,,
RandomResistType,OR,,AI_FireResist_Buff,StatusEffect,1,AI_VoidResist_Buff,StatusEffect,1,AI_IceResist_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,AI_LightningResist_Buff,StatusEffect,1,AI_NatureResist_Buff,StatusEffect,1
RandomResistType_Probs,,100,0,,,17,,,34,,,51,,,68,,,84,,
RandomOffensiveBuff,OR,,AI_Damage_Buff,StatusEffect,1,RandomDamageType,BuffBucket,1,AI_StaminaDamage_Buff,StatusEffect,1,,,,,,,,,
RandomOffensiveBuff_Probs,,100,0,,,20,,,80,,,,,,,,,,,
RandomOffNoElemBuff,OR,,AI_Damage_Buff,StatusEffect,1,AI_StaminaDamage_Buff,StatusEffect,1,,,,,,,,,,,,
RandomOffNoElemBuff_Probs,,100,0,,,50,,,,,,,,,,,,,,
RandomDefensiveBuff,OR,,AI_Health_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,RandomResistType,BuffBucket,1,,,,,,,,,
RandomDefensiveBuff_Probs,,100,0,,,20,,,40,,,,,,,,,,,
RandomDefensiveBuffNoResist,OR,,AI_Health_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,,,,,,,,,,,,
RandomDefensiveBuffNoResist_Probs,,100,0,,,20,,,,,,,,,,,,,,
RandomUtilityBuff,OR,,AI_ColdAura_Buff,StatusEffect,1,AI_SelfDestruct_Buff,StatusEffect,1,AI_RotatingBeam_Buff,StatusEffect,1,AI_Slime_Buff,StatusEffect,1,,,,,,
RandomUtilityBuff_Probs,,100,0,,,25,,,50,,,75,,,,,,,,
