CostumeChangeId,CostumeChangeMesh,MatchesPlayerSkeleton,MeshRenderZPosOffset,HEAD_SLOT_Left,HEAD_SLOT_Right,CHEST_SLOT_Left,CHEST_SLOT_Right,HANDS_SLOT_Left,HANDS_SLOT_Right,LEGS_SLOT_Left,LEGS_SLOT_Right,FEET_SLOT_Left,FEET_SLOT_Right
CostumeChange_Adiana,objects/characters/npc/natural/adiana/halloween_adiana_costume.cdf,true,,,,FLY_LeatherLight_Arm_L,FLY_LeatherLight_Arm_R,FLY_LeatherLight_Arm_L,FLY_LeatherLight_Arm_R,FLY_LeatherLight_Leg_R,FLY_LeatherLight_Leg_R,FLY_LeatherLight_Leg_L,FLY_LeatherLight_Leg_R
CostumeChange_Thorpe,objects/characters/npc/supernatural/captain_ftue_corrupted/halloween_thorpe_costume.cdf,true,,Enable_MetalLight_VoiceFX,Disable_MetalLight_VoiceFX,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,FLY_MetalLight_Leg_L,FLY_MetalLight_Leg_R,FLY_MetalMed_Leg_L,FLY_MetalMed_Leg_R
CostumeChange_Anubian_Horus,objects/characters/npc/supernatural/anubian_horus/halloween_anubian_horus_costume.cdf,true,,Enable_MetalLight_VoiceFX,Disable_MetalLight_VoiceFX,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,FLY_MetalLight_Leg_L,FLY_MetalLight_Leg_R,FLY_MetalMed_Leg_L,FLY_MetalMed_Leg_R
CostumeChange_Lost_Monarch,objects/characters/npc/supernatural/LostMonarchSm/lostmonarchsm.cdf,true,,,,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,FLY_MetalLight_Leg_L,FLY_MetalLight_Leg_R,FLY_MetalMed_Leg_L,FLY_MetalMed_Leg_R
CostumeChange_FoodAngryEarthCandyFishT5,objects/characters/npc/natural/fish/Fish_B_Sunfish.cdf,,0.2,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_AeternumSturgeon,objects/characters/npc/natural/fish/Aeternum_Sturgeon_Fish.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_AtlanticMackerel,objects/characters/npc/natural/fish/Fish_A_AtlanticMackerel.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_Pike,objects/characters/npc/natural/fish/Fish_A_Pike.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_RainbowTrout,objects/characters/npc/natural/fish/Fish_A_RainbowTrout.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_Snapper,objects/characters/npc/natural/fish/Fish_A_Snapper.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_SockeyeSalmon,objects/characters/npc/natural/fish/Fish_A_SockeyeSalmon.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_YellowPerch,objects/characters/npc/natural/fish/Fish_A_YellowPerch.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_Bluefish,objects/characters/npc/natural/fish/Fish_B_Bluefish.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_Catfish,objects/characters/npc/natural/fish/Fish_B_Catfish.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_Flounder,objects/characters/npc/natural/fish/Fish_B_Flounder.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_Halibut,objects/characters/npc/natural/fish/Fish_B_Halibut.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_RockBass,objects/characters/npc/natural/fish/Fish_B_RockBass.cdf,,,,,,,,,,,,
CostumeChange_FoodAngryEarthCandyFishT5_Sunfish,objects/characters/npc/natural/fish/Fish_B_Sunfish.cdf,,,,,,,,,,,,
