SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,SpawnBeamCasterJoint,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,EvenlyDistributeMeteorSpawns,SecondarySpellProjectileLaunchAngles,SecondaryProjectileLaunchMinZSpeeds,SecondaryProjectileLaunchMaxZSpeeds,SecondaryProjectileLaunchZOffset,IgnoreRotationForSecondaryProjectileLaunchZSpd,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
AI_FrostAura,FrozenGhost_FrostAura,,,,true,,,,,,true,,,,,true,true,,false,-1,,5,,5,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/Elite_frostaura,,,,
AI_Orbit,,,,,true,,,,,,true,,,,,true,true,,false,-1,,,,0.5,,,,0,1,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,,true,true,,,,,,,,,,,,,,,,,,,,EliteAffixDamageTable,Orbit,,,,,Characters/SpellSlices/Elite_orbit,,,,
AI_Turret,,,,,true,,,,,,true,,,,,true,true,,false,-1,,,,0.5,,,,0,1,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,,true,true,,,,,,,,,,,,5,,,,,,,,EliteAffixDamageTable,WispTurret,,,,,Characters/SpellSlices/Elite_wisp_turret,,,,
AI_ProjectileShield,,,,,true,,,,,,true,,,,,true,true,,false,-1,,,,0.5,,,,0,1,,,,0,,,,,,,,,,,,,,,true,true,Enemy,Elemental,AoE,,,Sphere,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/Elite_projectile_shield,,,,
AI_RotatingBeam,AI_RotatingBeam_Damage,,,,true,,,,,,true,,,,,true,true,,false,-1,,1.5,,0,,,,12,20,5,,,0,,,,,,,10000,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/SpellSlices/Elite_rotatingbeam,,,
AI_Geyser,,,,,,,,,,,true,,,,,true,true,,false,-1,,1.5,,0,,,,12,20,0,,,0,,,,,,,5000,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,EliteAffixDamageTable,Geyser,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/SpellSlices/Elite_Geyser,,,
AI_Slime,,,,,,,,,,,,,,,,true,true,,false,-1,,5,,1,,,,0,5,0,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,Burnout,,,Sphere,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership,,AI_Slime_Spawn,,
AI_Slime_Spawn,AI_Slime_Slow,,,,,,,,,,,,,,,true,true,,false,8500,,5,,2,,,,2,5,0,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/Elite_slime,,,,
AI_Haunted,,,,,,,,,,,,,,,,true,true,,false,-1,,,,0.5,,,,0,1,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Ghost_Minion,,,,
AI_Explosion,,,,,,,,,,,,,,,,true,true,,false,5000,,5,,5,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,EliteAffixDamageTable,Explosion,,,,,Characters/SpellSlices/Elite_Explosion,,,,
