SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,DoNotSyncToJointOnClient,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,OwningStatusEffectId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID,TrackableByOwner
Spell_ConquerorsItem_PoisonAOE,Status_Conqueror_Bow_PoisonAOE_DoT,,,,true,true,true,,,,,,,,,,,true,true,,false,10000,,,,5,,,,,,,,,,,,,,,,,,,,Enemy,Ability,AoE,false,,Sphere,Nature,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/ConquerorItem_Spell_PoisonCloud_AOE,,,,,
Spell_ConquerorsItem_HolyShield_Blocking,,,,,,,,,,,,,,,,,,true,true,,false,10000,,5,,3,,,,5,5,,,,,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,,true,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Items/Weapons/ConquerorItem_Spell_HolyShield,,,,,
Spell_ConquerorsItem_KnockbackAOE,Status_Conquerors_Hammer_Knockback_Damage,,,,true,true,true,,,,,,,,,,,true,true,,false,1000,,,,1.5,,,,,,,,,,,,,,,,,,,,Enemy,Ability,AoE,false,,Sphere,Fire,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/ConquerorItem_Spell_KnockbackAOE_Fireball,,,,,
Spell_ConquerorsItem_TankAura,Status_Conqueror_Shield_TankAura_AllyBuff,,,,true,true,true,true,,,,,true,,,,,true,true,,false,-1,,5,,5,,,,,,,,,,,,,,,,,,,,Friend,Celestial,AoE,false,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/ConquerorItem_Spell_TankAura,,,,,
Spell_ConquerorsItem_FrostAura,"Status_Conqueror_IceGauntlet_FrostAura_AllyBuff,Status_Conqueror_IceGauntlet_FrostAura_AllyBuff_Dmg",,,,true,true,true,true,,,,,true,,,,,true,true,,false,-1,,5,,8.5,,,,,,,,,,,,,,,,,,,,Friend,Celestial,AoE,false,,Sphere,Ice,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/ConquerorItem_Spell_FrostAura,,,,,
Spell_ConquerorsItem_BurnAura,Status_Conqueror_FireStaff_BurnAura_EnemyBurn,,,,true,true,true,true,,,,,true,,,,,true,true,,false,-1,,5,,8.5,,,,,,,,,,,,,,,,,,,,Enemy,Celestial,AoE,false,,Sphere,Fire,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/ConquerorItem_Spell_BurnAura,,,,,
Spell_ConquerorsItem_Combustion,Status_Conqueror_Hatchet_Combustion_Damage,,,,true,true,true,,,,,,,,,,,false,true,,false,1000,,,,8,,,,0,0,,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,Fire,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/ConquerorItem_Spell_Combustion,,,,,true
Spell_ConquerorsItem_CorruptionBall,Status_Conquerors_DodgeCorruptionBall_Damage,,,,true,true,true,true,,,,,true,,,,,false,true,,false,1000,,,,3,,,,0,0,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Corruption,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/ConquerorItem_Spell_CorruptedBall,,,,,
Spell_ConquerorsItem_CrescentWave,,,,,,,,,,,,,,,,,,false,true,Greatsword_CrescentWave,false,-1,,,,3,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Arcane,,true,false,true,,VoidGauntlet,DecayingOrb,,,,,,,,,,,,,,,,DamageTable,GreatSword_HeavyAttack_CrescentWave,,,,,,Items/Weapons/ConquerorItem_Spell_CrescentWave,,,,,true
Spell_ConquerorsItem_CrescentWave_Vertical,,,,,,,,,,,,,,,,,,false,true,Greatsword_CrescentWave,false,-1,,,,3,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Arcane,,true,false,true,,VoidGauntlet,DecayingOrb,,,,,,,,,,,,,,,,DamageTable,GreatSword_HeavyAttack_CrescentWave,,,,,,Items/Weapons/ConquerorItem_Spell_CrescentWave_Vertical,,,,,true
