SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,DoNotSyncToJointOnClient,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,AOECharRelPosOffsetX,AOECharRelPosOffsetY,AOECharRelPosOffsetZ,AOECharRelRotOffsetX,AOECharRelRotOffsetY,AOECharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID,TrackableByOwner
Spell_Catacombs_Powerup_Lifestaff_SplashofLight,Catacombs_Powerup_LifeBurst_Effect,,,,true,,,,,,,,,,,,,false,true,,false,500,,50,,30,,,,0,5,,,,0,,,,,,,,,,,Group,Celestial,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_splashoflight,,,,,
Spell_Catacombs_Powerup_ShieldSlam,,,,,true,,,,true,,,,,,,,,false,true,,false,8000,,5,,1.2,,,,12,20,,,,0,,,,3,,500,,,,,Enemy,Elemental,AoE,true,,Sphere,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_ShieldSlam_Lightning,,,,,
Spell_Catacombs_Powerup_HealBomb,,,,,false,,,,true,,,,,,,,,false,true,,false,4000,,5,,1.2,,,,12,20,,,,0,,,,3,,500,,,,,Enemy,Elemental,AoE,true,,Sphere,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Perk_Dodge_Bomb,,,,,
Spell_Catacombs_Powerup_DefenseTurret,,,,,true,true,true,true,,,,,,,,,,false,true,,true,-1,,5,,1.2,,,,12,20,,,,0,,,,,,,,,,,Friend,Ability,Direct,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_DefenseTurret,,,,,
Spell_Catacombs_Powerup_DefenseTurret_Projectile,,,,,,,,,,,,,,,,,,,true,,,-1,,,,,,,,20,,,,,,,,,,,,,,,,Enemy,Ability,Projectile,,,,Ice,,,,,,,IceMagic,Pylon,fireJoint,,,,,,,,,,,,,,,,,,,,,CatacombsPowerUpDamageTable,Spell_Turret_Projectile,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_DefenseTurret_Proj,,,,,
Spell_Catacombs_Powerup_HolyCharge,Catacombs_Powerup_HolyCharge_Effect,,,,true,true,true,true,,,,,,,,,,true,true,,true,5000,,,,6,,,,,,,,,,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_HolyCharge,,,,,
Spell_Catacombs_Powerup_FirstAid,,,,,true,,,,true,,,,,,,,,false,true,,false,12000,,5,,1.2,,,,12,20,,,,0,,,,3,,500,,,,,Enemy,Elemental,AoE,true,,Sphere,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_FirstAid_LifePack_Spawner,,,,,
Spell_Catacombs_Powerup_ManaWard,,,,,true,true,true,true,,,,,,,,,,true,true,,false,10000,,5,,1.5,,,,5,5,,,,,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Perk_Mana_Ward_New,,,,,
Spell_Catacombs_Powerup_DeathBattle,,,,,true,true,true,true,,,,,,,,,,true,true,,true,10000,,5,,1.5,,,,5,5,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_DeathBattle_New,,,,,
Spell_Catacombs_Powerup_ImmortalRally,,,,,true,true,true,true,,,,,,,,,,true,true,,false,10000,,5,,1.5,,,,5,5,,,,,,,,,,,,,,,Friend,Celestial,AoE,,,Cylinder,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_ImmortalRally,,,,,
Spell_Catacombs_Powerup_TurretSummon,,,,,false,false,,,,,,,,,,,,true,true,,false,10000,,5,,1.5,,,,5,5,,,,,,,,,,,,,,,Enemy,Celestial,AoE,,,Cylinder,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_Summoned_Sandworm,,,,,
Spell_Catacombs_Powerup_TurretSummon_Delay,,,,,false,false,,,,,,,,,,,,true,true,,false,10000,,5,,1.5,,,,5,5,,,,,,,,,,,,,,,Enemy,Celestial,AoE,,,Cylinder,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_Summoned_Sandworm_Delayed_Spawner,,,,,
Spell_Catacombs_Powerup_HollowedEyes,,,,,true,true,true,true,,,,,,,,,,,,,,10000,,30,30,30,,,,0,0,,,,,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Powerup_HollowedEyes_New,,,,,
Spell_Catacombs_Powerup_Netherbloom,,,,,,,,,,,,,,,,,,,,,,10000,,30,30,30,,,,0,0,,,,,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catacombs/Gameplay/Perk/Catacombs_Perk_Netherbloom,,,,,
