SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,DoNotSyncToJointOnClient,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID,StatusEffectsOnTargetBlockingThisSpell
Spell_Flail_Slam_AOE,Status_Flail_HexDoT,6,,,,,,,,,,,,,,,,false,false,,false,-1,,15,,2.7,,,,3,5,,,,,,,,,,,,,,,Enemy,Ability,NoTargetSpawnFromRaycast,,,Cylinder,Arcane,true,true,,,,,,,,,,,,,,,3,,,,,,,DamageTable,1H_Flail_Ability_Slam_DoT,,,,,Items/Weapons/Spell_aoe_Flail_slam,,,,,
Spell_Flail_Slam_AOE_Upgrade,,,,,,,,,,,,,,,,,,false,false,,false,-1,,15,,2.7,,,,3,5,,,,,,,,,,,,,,,All,Ability,NoTargetSpawnFromRaycast,,,Cylinder,,true,true,,,,,,,,,,,,,,,3,,,,,,,,,,,,,Items/Weapons/Spell_aoe_Flail_slam,,Spell_Flail_Slam_AOE_DoT,,Spell_Flail_Slam_AOE_Support,
Spell_Flail_Slam_AOE_DoT,Status_Flail_HexDoT,6,,,,,,,,,,,,,,,,false,false,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Ability,NoTargetSpawnFromRaycast,,,Cylinder,Arcane,,,,,,,,,,,,,,,,,3,,,,,,,DamageTable,1H_Flail_Ability_Slam_DoT,,,,,,,,,,
Spell_Flail_Slam_AOE_Support,Status_Flail_Slam_AllyBuff_WeakenAttackers,3,,,,,,,,,,,,,,,,false,false,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,Friend,Ability,NoTargetSpawnFromRaycast,,,Cylinder,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Spell_Flail_AuraBlast_AOE,Status_Flail_AuraBlast_Empower,6,,,true,true,,,,,,,false,,,,,false,false,,false,600,,,,3,,,,1,,,,,,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,DamageTable,1H_Flail_Ability_Blast,,,,,Items/Weapons/Spell_AOE_Flail_Blast,,,,,
Spell_Flail_AuraBlast_AOE_Upgraded,"Status_Flail_AuraBlast_Empower,Status_Flail_AuraBlast_Heal,Status_Flail_AuraBlast_CCEffectImmunity","6,0.1,1",,,true,true,,,,,,,false,,,,,false,false,,false,800,,,,3,,,,1,,,,,,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,DamageTable,1H_Flail_Ability_Blast,,,,,Items/Weapons/Spell_AOE_Flail_Blast,,,,,
Spell_Flail_Burst_ChainHeal,Status_Flail_Burst_HealChain,,,,true,,,,,,,,,true,true,,,false,false,,true,1000,,,,6,,,,,,,,,,0.1,4,,,,,,,,,Friend,Elemental,Chain,,,Sphere,Arcane,true,,true,true,,,,,,,,,,,,,,,,,,,,,,,,wFX_VoidGaunt_Decay.Drain_HitScan,,Items/Weapons/spell_aoe_leadership_enemy,,,,,
Spell_Flail_Slam_Barrage_AOE,,,,,,,,,,,,,,,,,,false,false,,false,-1,,5,,2.5,,,,1,5,,,,,,,,,,,,,,,All,Ability,NoTargetSpawnFromRaycast,,,Sphere,Arcane,true,true,,,,,,,,,,,,,,,0,,,,,,,DamageTable,1H_Flail_Ability_Charge_AOE,,,,,Items/Weapons/Spell_aoe_Flail_barrage,,Spell_Flail_Slam_Barrage_Enemy,,Spell_Flail_Slam_Barrage_Friendly,
Spell_Flail_Slam_Barrage_Enemy,,,,,,,,,,,,,,,,,,false,false,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Ability,NoTargetSpawnFromRaycast,,,Sphere,Arcane,,,,,,,,,,,,,,,,,0,,,,,,,DamageTable,1H_Flail_Ability_Charge_AOE,,,,,,,,,,
Spell_Flail_Slam_Barrage_Friendly,Status_Flail_Charge_Fortify,8,,,,,,,,,,,,,,,,false,false,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,Friend,Ability,NoTargetSpawnFromRaycast,,,Sphere,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Spell_Flail_DefensiveStrike_ConnectChain,,,,true,,,,,,,,,true,true,true,,,,true,,,1000,,,,6,,,,,,,,,,0.1,1,,,,,,,,,All,Ability,Chain,,,Sphere,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,wFX_VoidGaunt_Decay.Drain_HitScan,,Items/Weapons/spell_aoe_leadership_enemy,,,,Spell_Flail_DefensiveStrike_Ally,"Status_Flail_DefensiveStrike_Upgrade_Absorption,Status_Flail_DefensiveStrike_Upgrade_Empower"
