SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Spell_GreatAxe_GravityWell_Projectile,,,,,,,,true,true,,,,,,,true,,false,2000,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,GreatAxe,GravityWell,,,,,,,,,,,,,,,DamageTable,GreatAxe_GravityWell_Projectile,,,,,Items/Weapons/GreatAxe_GravityWell_Proj,Items/Weapons/GreatAxe_GravityWell_Vortex,Spell_GreatAxe_GravityWell_Vortex,,
Spell_GreatAxe_GravityWell_Projectile_Upgrade,,,,,,,,true,true,,,,,,,true,,false,2000,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,GreatAxe,GravityWell,,,,,,,,,,,,,,,DamageTable,GreatAxe_GravityWell_Projectile,,,,,Items/Weapons/GreatAxe_GravityWell_Proj,Items/Weapons/GreatAxe_GravityWell_Vortex_Upgrade,Spell_GreatAxe_GravityWell_Vortex_Upgrade,,
Spell_GreatAxe_GravityWell_Vortex,GreatAxe_Vortex,,,,,,,,,,,,,true,true,true,,true,-1,,,,4,,,,,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,Upgrade_Greataxe_GravityWell_DmgPerFoe,,,,Items/Weapons/GreatAxe_GravityWell_Vortex,,,,
Spell_GreatAxe_GravityWell_Vortex_Upgrade,GreatAxe_Vortex,,,,,,,,,,,,,true,true,true,,true,-1,,,,4,,,,,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,Upgrade_Greataxe_GravityWell_DmgPerFoe,,,,Items/Weapons/GreatAxe_GravityWell_Vortex_Upgrade,,,,
Spell_Upgrade_GreatAxe_Maelstrom_ProjectileConsume,,,,,true,,,,,,,,,,true,true,,false,1125,,1,,2,,,,,1,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_Projectile_Block_Maelstrom,,,,
Spell_Upgrade_Greataxe_Whirlwind_DmgWhenFoesNear,,,,,true,,,,,,,,,true,true,true,,false,-1,,,,4,,,,0,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,Upgrade_Greataxe_Whirlwind_DmgWhenFoesNear,,,,Items/Weapons/spell_NumAroundMe_Enemy,,,,
Spell_Passive_Greataxe_Mauler_DmgWhenFoesNear,,,,,true,,,,,,,,,true,true,true,,false,-1,,,,4,,,,0,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,Passive_Greataxe_Mauler_DmgWhenFoesNear,,,,Items/Weapons/spell_NumAroundMe_Enemy,,,,
Spell_Passive_Greataxe_Mauler_ArmorWhenFoesNear,,,,,true,,,,,,,,,true,true,true,,false,-1,,,,4,,,,0,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,Passive_Greataxe_Mauler_ArmorWhenFoesNear,,,,Items/Weapons/spell_NumAroundMe_Enemy,,,,
Spell_Ultimate_Greataxe_Reaper,,,,,true,,,,,,true,true,,true,true,true,,false,-1,,5,7,1.25,,,,0,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Box,,,true,,,,,,,,,,,,,,,,,,,,,Ultimate_Greataxe_Reaper,,,,Items/Weapons/spell_NumAroundMe_Greataxe_Reaper,,,,
InsatiableGravityWell,,,,,true,,,,,,,,,,true,true,,false,300,,,,4,,,,0,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,DamageTable,GreatAxe_GravityWell_Burst_Perk,,,,,Perks/spell_insatiable_gravitywell,,,,
