SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,SpawnSecondaryOnPassthrough,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,MaintainDistanceFromGround,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Rune_BileBomb,Rune_BileBomb,,,,true,true,true,,,,,true,,,,,,,,,true,3000,,,,3.5,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,Sphere,Nature,,true,true,false,true,heart-gem-slot,Rune_BileBomb,Basic,,,,,,,,,,,,,,,,DamageTable,Rune_BileBomb_Projectile,,,,,Items/Weapons/Rune_BileBomb,,,,
Rune_BileBomb_Greater,Rune_BileBomb_Greater,,,,true,true,true,,,,,true,,,,,,,,,true,3000,,,,3.5,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,Sphere,Nature,,true,true,false,true,heart-gem-slot,Rune_BileBomb,Basic,,,,,,,,,,,,,,,,DamageTable,Rune_BileBomb_Projectile,,,,,Items/Weapons/Rune_BileBomb,,,,
Rune_BileBomb_Survivor,Rune_BileBomb_Survivor,,,,true,true,true,,,,,true,,,,,,,,,true,3000,,,,3.5,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,Sphere,Nature,,true,true,false,true,heart-gem-slot,Rune_BileBomb,Basic,,,,,,,,,,,,,,,,DamageTable,Rune_BileBomb_Projectile,,,,,Items/Weapons/Rune_BileBomb,,,,
Rune_BileBomb_Dominator,,,,,,,,,,,,,,,,,,,true,,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Nature,,true,true,false,true,heart-gem-slot,Rune_BileBomb,Dominator,,,,,,,,,,,,,,,,DamageTable,Rune_BileBomb_Projectile,,,,,Items/Weapons/Rune_BileBomb_Dominator,,,,
Rune_Detonate_AoE,,,,,true,,,,,,,,,,,,,true,true,,false,300,,5,,5,,,,20,5,4,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Arcane,,true,true,false,true,heart-gem-slot,,,,,,,,,,,,,,,,,,DamageTable,Rune_Detonate_AoE,,,,,Items/Weapons/Rune_Detonate_AoE,,,,
Rune_CannonBlast_Projectile,,,,,,,,,,,,,,,,,,,true,,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Strike,,true,true,false,true,heart-gem-slot,Rune_CannonBlast,Basic,,,,,,,,,,,,,,,,DamageTable,Rune_CannonBlast_Projectile,,,,,Items/Weapons/Rune_CannonBlast_Projectile,,,,
Rune_CannonBlast_Projectile_Greater,,,,,,,,,,,,,,,,,,,true,,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Strike,,true,true,false,true,heart-gem-slot,Rune_CannonBlast,Greater,,,,,,,,,,,,,,,,DamageTable,Rune_CannonBlast_Projectile,,,,,Items/Weapons/Rune_CannonBlast_Projectile,,,,
Rune_CannonBlast_Projectile_Dominator,,,,,,,,,,,,,,,,,,,true,,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Strike,,true,true,false,true,heart-gem-slot,Rune_CannonBlast,Basic,,,,,,,,,,,,,,,,DamageTable,Rune_CannonBlast_Projectile_Dominator,,,,,Items/Weapons/Rune_CannonBlast_Projectile_Dominator,,,,
Rune_StoneForm_Dominator_AoE,,,,,true,,,,,,,,,,,,,true,true,,false,300,,5,,3,,,,20,5,4,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Arcane,,true,true,false,true,heart-gem-slot,,,,,,,,,,,,,,,,,,DamageTable,Rune_StoneForm_Dominator_AoE,,,,,Items/Weapons/Rune_StoneForm_Dominator_AoE,,,,
Rune_FireStorm_AoE,,,,,,,,,,,,,,,,,,false,false,,false,10000,,1,,2,,,,20,1.5,,,,0,,,,,,,,,,,All,Ability,Projectile,,,Sphere,,true,true,true,false,false,heart-gem-slot,Rune_FireStorm,Tornado,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,Rune_FireStorm_AoE_Enemy,,Rune_FireStorm_AoE_Friendly
Rune_FireStorm_AoE_Friendly,Rune_FireStorm_Empower,6,,,,,,,,,,,,,,,,false,false,,false,10000,,1,,2,,,,,,,,,,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Enemy,Rune_FireStorm_DoT,6,,,,,,,,,,,,,,,,false,false,,false,10000,,1,,2,,,,,,,,,,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,,,,,,,,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Greater,,,,,,,,,,,,,,,,,,false,false,,false,10000,,1,,2,,,,20,1.5,,,,0,,,,,,,,,,,All,Ability,Projectile,,,Sphere,,true,true,true,false,false,heart-gem-slot,Rune_FireStorm,Tornado,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,Rune_FireStorm_AoE_Greater_Enemy,,Rune_FireStorm_AoE_Greater_Friendly
Rune_FireStorm_AoE_Greater_Friendly,"Rune_FireStorm_Empower,Status_Rune_FireStorm_Greater","6,8",,,,,,,,,,,,,,,,false,false,,false,10000,,1,,2,,,,,,,,,,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Greater_Enemy,Rune_FireStorm_DoT,6,,,,,,,,,,,,,,,,false,false,,false,10000,,1,,2,,,,,,,,,,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,,,,,,,,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Survivor,,,,,,,,,,,,,,,,,,false,false,,false,10000,,1,,2,,,,20,1.5,,,,0,,,,,,,,,,,All,Ability,Projectile,,,Sphere,,true,true,true,false,false,heart-gem-slot,Rune_FireStorm,Tornado,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,Rune_FireStorm_AoE_Survivor_Enemy,,Rune_FireStorm_AoE_Survivor_Friendly
Rune_FireStorm_AoE_Survivor_Friendly,"Rune_FireStorm_Empower,Status_Rune_FireStorm_Survivor_Cleanse","6,0.1",,,,,,,,,,,,,,,,false,false,,false,10000,,1,,2,,,,,,,,,,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Survivor_Enemy,Status_Rune_FireStorm_Survivor_DoT,6,,,,,,,,,,,,,,,,false,false,,false,10000,,1,,2,,,,,,,,,,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,,,,,,,,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,,,
