SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,SpawnSecondaryOnPassthrough,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Celestial_Heal_AoE,Celestial_Heal_AoE,,,,,,,,,,,,,,,,true,true,Celestial_Heal_AoE,false,6000,,5,,3,,,,20,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
Celestial_Heal_AoE_Staff,Celestial_Heal_AoE,,,,,,,,,,,,,,,,true,true,Celestial_Heal_AoE_Staff,false,6000,,5,,3,,,,20,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
Celestial_Heal_Self,,,,,,,,,,,,,,,,,false,true,Celestial_Heal_AoE,false,200,,1,,1,,,,1,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
Celestial_Heal_Projectile,Celestial_Heal_AoE,,,,,,,,,,,,,,,,,true,Celestial_Heal_AoE,false,6000,,,,,,,,10,,,,,0,,,,,,,,,,,Friend,Celestial,Projectile,,,,,,true,,,,HealBall,Basic,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_proj_heal,,,,
Celestial_Heal_Siphon_Projectile,,,,true,,,,,,,,,true,true,,,,true,Celestial_Heal_AoE,false,-1,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Celestial,Projectile,,,,,,true,,,,Siphon,Basic,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_proj_siphon,,Celestial_Heal_Siphon,,
Celestial_Heal_Siphon,Elemental_Fire_AoE,,,true,,,,,,,,,true,true,,,true,true,Celestial_Heal_AoE,false,10000,,,,8,,,,30,5,,,,0,,,,,,,,,,,Enemy,Celestial,AoE,,,Sphere,Fire,,true,,,,,,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_FireProjectile,,,,,Items/Weapons/spell_siphon,,Celestial_Heal_AoE,,
Celestial_Revive,,,true,,,,,,,,,,,,,,true,true,Celestial_Revive,false,1000,,5,,15,,,,1,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_Celestial_Life_Revive,,,,
Celestial_Life_DMG_Absorb,Celestial_Life_DMG_Absorb,,,,,,,,,,,,,,,,false,true,Celestial_Life_DMG_Absorb,false,20000,,5,,3,,,,30,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_Celestial_Life_DMG_Absorb,,,,
Celestial_Life_DMG_Bonus,Celestial_Life_DMG_Bonus,,,,,,,,,,,,,,,,false,true,Celestial_Life_DMG_Bonus,false,10000,,5,,3,,,,30,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
LifeStaff_Light_Projectile,,,,,,,,,,,,,,,,,,true,LifeStaff_Primary,false,-1,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,LifeStaff,Primary,,,,,,,,,,,,,,,,DamageTable,LifeStaff_PrimaryAttackC1,,,,,Items/Weapons/LifeStaff_Primary_proj,,,,
LifeStaff_Heavy_Projectile,,,,,,,,,,,,,,,,,,true,LifeStaff_Heavy,false,-1,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,LifeStaff,Heavy,,,,,,,,,,,,,,,,DamageTable,LifeStaff_PrimaryAttackC2,,,,,Items/Weapons/LifeStaff_Heavy_proj,,,,
LifeStaff_Heavy_Upgrade_Projectile,,,,,,,,,,true,true,,,,,,,true,LifeStaff_Heavy,false,-1,,,,,,,,10,,,,,0,,,,,,,,,,,All,Ability,Projectile,,,,,,true,,,,LifeStaff,Heavy,,,,,,,,,,,,,,,,DamageTable,LifeStaff_PrimaryAttackC2,,,,,Items/Weapons/LifeStaff_Heavy_proj_Upgrade,Items/Weapons/LifeStaff_Heavy_Upgrade_Explosion,LifeStaff_Heavy_Heal,,
