SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Musket_StickyBomb,Musket_Sticky_Slow,,,,,,,,,,,,,,,,,true,,false,5000,,,,0.5,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,Musket,StickyBomb,,,,,,,,,,,,,,,,DamageTable,Musket_StickyBomb_Projectile,,,,,Items/Weapons/StickyBomb_Projectile,Items/Weapons/StickyBomb_Explosion,Musket_StickyBomb_Explosion,,
Musket_StickyBomb_Explosion,,,,,true,true,true,,,,,,,,,,true,true,,false,5000,,,,3,,,,,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/StickyBomb_Explosion,,,,
Musket_Trap_Set,,,,,,,,,,,,,true,true,,,,true,,false,5000,,,,1,,,,,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Trap_Bear,,,,
Musket_Trap_Set_DMG,,,,,,,,,,,,,true,true,,,,true,,false,5000,,,,1,,,,,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Trap_Bear_DMG,,,,
Musket_Trap_Set_DMG_Interact,,,,,,,,,,,,,true,true,,,,true,,false,5000,,,,1,,,,,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Trap_Bear_DMG_Interact,,,,
Musket_Trap_Set_Interact,,,,,,,,,,,,,true,true,,,,true,,false,5000,,,,1,,,,,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Trap_Bear_Interact,,,,
Musket_Trap_Toss,,,,,,,,,,,,,true,true,,,,true,,false,5000,,,,0.4,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,Musket,Traps,left_hand_attach,0.3,0.4,0.2,,,,,,,,,,,,DamageTable,Musket_Trap_Toss,,,,,items/weapons/trap_bear_projectile,,,,
Musket_Trap_Toss_DMG,,,,,,,,,,,,,true,true,,,,true,,false,5000,,,,0.4,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,Musket,Traps,left_hand_attach,0.3,0.4,0.2,,,,,,,,,,,,DamageTable,Musket_Trap_Toss,,,,,items/weapons/trap_bear_projectile_DMG,,,,
Musket_Trap_Toss_DMG_Interact,,,,,,,,,,,,,true,true,,,,true,,false,5000,,,,0.5,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,Musket,Traps,left_hand_attach,,,,,,,,,,,,,,,DamageTable,Musket_Trap_Toss,,,,,items/weapons/trap_bear_projectile_DMG_Interact,,,,
Musket_MoveSpeedNearbyEnemy_Detection,,,,,true,,,,,,,,,,,true,true,true,,false,-1,,,,8,,,,0,5,8,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,Passive_Musket_Trapper_BackSpdNearEnemy,,,,Items/Weapons/spell_NumAroundMe_Enemy,,,,
Musket_Ricochet_Spell,Musket_Pass_Ricochet_Damage,,,,true,,,,,,,,true,true,,,false,false,,true,3000,,,,4,,,,,,,,,,0.2,1,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Fire,true,false,true,true,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
