ID,WeaponID,PrefabPath,MeshOverride,SkinOverride1,MaterialOverride1,SkinOverride2,MaterialOverride2,SkinOverride3,MaterialOverride3,SkinOverride4,MaterialOverride4,EquipType,SheathMode
5000,2hBowT1,Items/Weapons/weapon_accessory,Objects/Weapons/Gear/QuiverA/jav_wep_gear_quivera_t0.cdf,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_T0.skin,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_mat.mtl,,,,,,,Quiver,ALWAYS_VISIBLE
5001,2hBowT2,Items/Weapons/weapon_accessory,Objects/Weapons/Gear/QuiverA/jav_wep_gear_quivera_t1.cdf,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_T1.skin,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_mat.mtl,,,,,,,Quiver,ALWAYS_VISIBLE
5002,2hBowT3,Items/Weapons/weapon_accessory,Objects/Weapons/Gear/QuiverA/jav_wep_gear_quivera_t1.cdf,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_T1.skin,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_mat.mtl,,,,,,,Quiver,ALWAYS_VISIBLE
5003,2hBowT4,Items/Weapons/weapon_accessory,Objects/Weapons/Gear/QuiverA/jav_wep_gear_quivera_t1.cdf,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_T1.skin,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_mat.mtl,,,,,,,Quiver,ALWAYS_VISIBLE
5004,2hBowT5,Items/Weapons/weapon_accessory,Objects/Weapons/Gear/QuiverA/jav_wep_gear_quivera_t1.cdf,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_T1.skin,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_mat.mtl,,,,,,,Quiver,ALWAYS_VISIBLE
5005,Playtest_Ranger_Bow_T5_625,Items/Weapons/weapon_accessory,Objects/Weapons/Gear/QuiverA/jav_wep_gear_quivera_t1.cdf,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_T1.skin,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_mat.mtl,,,,,,,Quiver,ALWAYS_VISIBLE
5006,2hBowAdianaT5,Items/Weapons/weapon_accessory,Objects/Weapons/Gear/QuiverA/jav_wep_gear_quivera_t1.cdf,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_T1.skin,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_mat.mtl,,,,,,,Quiver,ALWAYS_VISIBLE
5007,2hBowCrystalClawT5,Items/Weapons/weapon_accessory,Objects/Weapons/Gear/QuiverA/jav_wep_gear_quivera_t1.cdf,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_T1.skin,Objects/Weapons/Gear/QuiverA/jav_wep_gear_QuiverA_mat.mtl,,,,,,,Quiver,ALWAYS_VISIBLE
15000,1hElementalGauntlet_IceT2,Items/Weapons/weapon_accessory,Objects/Weapons/magic/gauntletcore/1h/icegauntletT2/wep_mag_gauntcore_1h_icegauntletT2.cdf,Objects/Weapons/magic/gauntletcore/1h/icegauntletT2/wep_mag_gauntcore_1h_icegauntletT2.skin,Objects/Weapons/Magic/Gauntlets/1h/icegauntlett2/wep_mag_gaunt_1h_icegauntlett2_matgroup.mtl,,,,,,,Gauntlet,ALWAYS_VISIBLE
15001,1hElementalGauntlet_IceT3,Items/Weapons/weapon_accessory,Objects/Weapons/magic/gauntletcore/1h/icegauntletT3/wep_mag_gauntcore_1h_icegauntletT3.cdf,Objects/Weapons/magic/gauntletcore/1h/icegauntletT3/wep_mag_gauntcore_1h_icegauntletT3.skin,Objects/Weapons/Magic/Gauntlets/1h/icegauntlett3/wep_mag_gaunt_1h_icegauntlett3_matgroup.mtl,,,,,,,Gauntlet,ALWAYS_VISIBLE
