ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveOnCooldownResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon,ScheduleId
1403A_0301_GKW_v2,Journey,,60,,,,,1403A_0301_d_00_Container_GKW,1403_Survivalist_2,,14_Quest_12,,,,1403A_0301_GKW_Success,,,,,,,true,true,@1403A_0301_a_Title,@1403A_0301_b_Description,@1403A_0301_Start_Prompt,@1403A_0301_c_Proposal_a,@1403A_0301_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1403A_0301_f_Complete_a,@1403A_0301_Cooldown,,,true,,,,,,,Daily
1427_0101_JoinedACult,Journey,,,,,,,1427_0101_JoinedACult_Container,1427_CultMother,,14_Quest_17,99D_MSQ_10 || 99_MSQ_56,,,1427_0101_JoinedACult_Success,,,,,,,true,,@1427_0101_JoinedACult_Title,@1427_0101_JoinedACult_Description,@1427_0101_JoinedACult_Start_Prompt,@1427_0101_JoinedACult_Proposal_a,@1427_0101_JoinedACult_Incomplete,@complete_available_prompt_DEFAULT,@1427_0101_JoinedACult_Complete,,,,true,,,,,,,
1427_0102_Pilgrimmage01,Journey,,,,,,,1427_0102_Pilgrimmage01_Container,1428_CultDaughter,,14_Quest_18,14_Quest_17,,,1427_0102_Pilgrimmage01_Success,,,,,,,true,,@1427_0102_Pilgrimmage01_Title,@1427_0102_Pilgrimmage01_Description,@1427_0102_Pilgrimmage01_Start_Prompt,@1427_0102_Pilgrimmage01_Proposal_a,@1427_0102_Pilgrimmage01_Incomplete_a,@complete_available_prompt_DEFAULT,@1427_0102_Pilgrimmage01_Complete,,,,true,,,,,,,
1427_0103_Pilgrimmage02,Journey,,,,,,,1427_0103_Pilgrimmage02_Container,1429_CultOfficer,,14_Quest_19,14_Quest_18,,,1427_0103_Pilgrimmage02_Success,,,,,,,true,,@1427_0103_Pilgrimmage02_Title,@1427_0103_Pilgrimmage02_Description,@1427_0103_Pilgrimmage02_Start_Prompt,@1427_0103_Pilgrimmage02_Proposal,@1427_0103_Pilgrimmage02_Incomplete,@complete_available_prompt_DEFAULT,@1427_0103_Pilgrimmage02_Complete_a,,,,true,,,,,,,
1427_0104_Oath,Journey,,,,,,,1427_0104_Oath_Container,1429_CultOfficer,,14_Quest_20,14_Quest_19 ,,,1427_0104_Oath_Success,,,,,,,true,,@1427_0104_Oath_Title,@1427_0104_Oath_Description,@1427_0104_Oath_Start_Prompt,@1427_0104_Oath_Proposal_a,@1427_0104_Oath_Incomplete,@complete_available_prompt_DEFAULT,@1427_0104_Oath_Complete_a,,,,true,,,,,,,
1427_0106_UmbrageTrial,Journey,,,,,,,1427_0106_UmbrageTrial_Container,1429_CultOfficer_01,,14_Quest_21,14_Quest_20,,,1427_0106_UmbrageTrial_Success,,,,,,,true,,@1427_0106_UmbrageTrial_Title,@1427_0106_UmbrageTrial_Description,@1427_0106_UmbrageTrial_Start_Prompt,@1427_0106_UmbrageTrial_Proposal_a,@1427_0106_UmbrageTrial_Incomplete,@complete_available_prompt_DEFAULT,@1427_0106_UmbrageTrial_Complete_a,,,,true,,,,,,,
1427_0107_HerbalTea,Journey,,,,,,,1427_0107_HerbalTea_Container,1429_CultOfficer_01,,14_Quest_22,14_Quest_21,,,1427_0107_HerbalTea_Success,,,,,,,true,,@1427_0107_HerbalTea_Title,@1427_0107_HerbalTea_Description,@1427_0107_HerbalTea_Start_Prompt,@1427_0107_HerbalTea_Proposal_a,@1427_0107_HerbalTea_Incomplete_a,@complete_available_prompt_DEFAULT,@1427_0107_HerbalTea_Complete_a,,,,true,,,,,,,
1427_0108_Wreathes,Journey,,,,,,,1427_0108_Wreathes_Container,1429_CultOfficer_01,,14_Quest_23,14_Quest_22,,,1427_0108_Wreathes_Success,,,,,,,true,,@1427_0108_Wreathes_Title,@1427_0108_Wreathes_Description,@1427_0108_Wreathes_Start_Prompt,@1427_0108_Wreathes_Proposal_a,@1427_0108_Wreathes_Incomplete,@complete_available_prompt_DEFAULT,@1427_0108_Wreathes_Complete,,,,true,,,,,,,
1427_0109_WasteNot,Journey,,,,,,,1427_0109_WasteNot_Container,1428_CultDaughter_02,,14_Quest_24,14_Quest_23,,,1427_0109_WasteNot_Success,,,,,,,true,,@1427_0109_WasteNot_Title,@1427_0109_WasteNot_Description,@1427_0109_WasteNot_Start_Prompt,@1427_0109_WasteNot_Proposal_a,@1427_0109_WasteNot_Incomplete,@complete_available_prompt_DEFAULT,@1427_0109_WasteNot_Complete,,,,true,,,,,,,
1427_0109_DaughtersChoice,Journey,,,,,,,1427_0109_DaughtersChoice_Container,1428_CultDaughter_02,,14_Quest_25,14_Quest_24,,,1427_0109_DaughtersChoice_Success,,,,,,,true,,@1427_0109_DaughtersChoice_Title,@1427_0109_DaughtersChoice_Description,@1427_0109_DaughtersChoice_Start_Prompt,@1427_0109_DaughtersChoice_Proposal_a,@1427_0109_DaughtersChoice_Incomplete,@complete_available_prompt_DEFAULT,@1427_0109_DaughtersChoice_Complete,,,,true,,,,,,,
1432_0101_Medicine,Journey,,,,,,,1432_0101_Medicine_Container,1432_Homesteader,,14_Quest_30,99E_MSQ_04 || 99_MSQ_56,,,1432_0101_Medicine_Success,,,,,,,true,,@1432_0101_Medicine_Title,@1432_0101_Medicine_Description,@1432_0101_Medicine_Start_Prompt,@1432_0101_Medicine_Proposal_a,@1432_0101_Medicine_Incomplete,@complete_available_prompt_DEFAULT,@1432_0101_Medicine_Complete_a,,,,true,,,,,,,
1432_0102_DryadThieves,Journey,,,,,,,1432_0102_DryadThieves_Container,1432_Homesteader_01,,14_Quest_31,14_Quest_30,,,1432_0102_DryadThieves_Success,,,,,,,true,,@1432_0102_DryadThieves_Title,@1432_0102_DryadThieves_Description,@1432_0102_DryadThieves_Start_Prompt,@1432_0102_DryadThieves_Proposal_a,@1432_0102_DryadThieves_Incomplete,@complete_available_prompt_DEFAULT,@1432_0102_DryadThieves_Complete,,,,true,,,,,,,
1432_0103_LostDog,Journey,,,,,,,1432_0103_LostDog_Container,1433_AEDog_01,,14_Quest_32,14_Quest_31,,,1432_0103_LostDog_Success,,,,,,,true,,@1432_0103_LostDog_Title,@1432_0103_LostDog_Description,@1432_0103_LostDog_Start_Prompt,@1432_0103_LostDog_Proposal_a,@1432_0103_LostDog_Incomplete,@complete_available_prompt_DEFAULT,@1432_0103_LostDog_Complete,,,,true,,,,,,,
1432_0104_FoundDog,Journey,,,,,,,1432_0104_FoundDog_Container,1432_Homesteader_01,,14_Quest_33,14_Quest_32,,,1432_0104_FoundDog_Success,,,,,,,true,,@1432_0104_FoundDog_Title,@1432_0104_FoundDog_Description,@1432_0104_FoundDog_Start_Prompt,@1432_0104_FoundDog_Proposal,@1432_0104_FoundDog_Incomplete,@complete_available_prompt_DEFAULT,@1432_0104_FoundDog_Complete,,,,true,,,,,,,
1435_0101_PutItBack,Journey,,,,,,,1435_0101_PutItBack_Container,1435_SirenDryad,,14_Quest_34,14_Quest_37 && 14_Quest_30,,,1435_0101_PutItBack_Success,,,,,,,true,,@1435_0101_PutItBack_Title,@1435_0101_PutItBack_Description,@1435_0101_PutItBack_Start_Prompt,@1435_0101_PutItBack_Proposal_a,@1435_0101_PutItBack_Incomplete,@complete_available_prompt_DEFAULT,@1435_0101_PutItBack_Complete_a,,,,true,,,,,,,
1435_0102_PopBlossoms,Journey,,,,,,,1435_0102_PopBlossoms_Container,1435_SirenDryad_01,,14_Quest_35,14_Quest_34,,,1435_0102_PopBlossoms_Success,,,,,,,true,,@1435_0102_PopBlossoms_Title,@1435_0102_PopBlossoms_Description,@1435_0102_PopBlossoms_Start_Prompt,@1435_0102_PopBlossoms_Proposal_a,@1435_0102_PopBlossoms_Incomplete,@complete_available_prompt_DEFAULT,@1435_0102_PopBlossoms_Complete,,,,true,,,,,,,
1435_0103_WayUpHigh,Journey,,,,,,,1435_0103_WayUpHigh_Container,1435_SirenDryad_01,,14_Quest_36,14_Quest_35,,,1435_0102_WayUpHigh_Success,,,,,,,true,,@1435_0102_WayUpHigh_Title,@1435_0102_WayUpHigh_Description,@1435_0102_WayUpHigh_Start_Prompt,@1435_0102_WayUpHigh_Proposal_a,@1435_0102_WayUpHigh_Incomplete,@complete_available_prompt_DEFAULT,@1435_0102_WayUpHigh_Complete_a,,,,true,,,,,,,
1434_0101_DestroyBlooms,Journey,,,,,,,1434_0101_DestroyBlooms_Container,1434_SirenRanger,,14_Quest_37,99E_MSQ_09 || 99_MSQ_56,,,1434_0101_DestroyBlooms_Success,,,,,,,true,,@1434_0101_DestroyBlooms_Title,@1434_0101_DestroyBlooms_Description,@1434_0101_DestroyBlooms_Start_Prompt,@1434_0101_DestroyBlooms_Proposal_a,@1434_0101_DestroyBlooms_Incomplete,@complete_available_prompt_DEFAULT,@1434_0101_DestroyBlooms_Complete,,,,true,,,,,,,
1434_0102_ClearPath,Journey,,,,,,,1434_0102_ClearPath_Container,1434_SirenRanger_01,,14_Quest_38,14_Quest_37,,,1434_0102_ClearPath_Success,,,,,,,true,,@1434_0102_ClearPath_Title,@1434_0102_ClearPath_Description,@1434_0102_ClearPath_Start_Prompt,@1434_0102_ClearPath_Proposal,@1434_0102_ClearPath_Incomplete,@complete_available_prompt_DEFAULT,@1434_0102_ClearPath_Complete_a,,,,true,,,,,,,
1434_0103_Pyre,Journey,,,,,,,1434_0103_Pyre_Container,1434_SirenRanger_01,,14_Quest_39,14_Quest_38,,,1434_0103_Pyre_Success,,,,,,,true,,@1434_0103_Pyre_Title,@1434_0103_Pyre_Description,@1434_0103_Pyre_Start_Prompt,@1434_0103_Pyre_Proposal,@1434_0103_Pyre_Incomplete,@complete_available_prompt_DEFAULT,@1434_0103_Pyre_Complete,,,,true,,,,,,,
1434_0104_OutOfHisMisery,Journey,,,,,,,1434_0104_OutOfHisMisery_Container,1435_SirenDryad_02,,14_Quest_40,14_Quest_36 && 14_Quest_39,,,1434_0103_OutOfHisMisery_Success,,,,,,,true,,@1434_0103_OutOfHisMisery_Title,@1434_0103_OutOfHisMisery_Description,@1434_0103_OutOfHisMisery_Start_Prompt,@1434_0103_OutOfHisMisery_Proposal_a,@1434_0103_OutOfHisMisery_Incomplete,@complete_available_prompt_DEFAULT,@1434_0103_OutOfHisMisery_Complete,,,,true,,,,,,,
14_SQ_PioneerLament,Journey,,52,,,,,14_Side01_01_Farm_Container,14_Abiathar,,14_Quest_41,99D_MSQ_10 || 99_MSQ_56,,,14_SQ_PioneerLament_Success,,,,,,,true,,@14_SQ_PioneerLament_Title,@14_SQ_PioneerLament_Description,@14_SQ_PioneerLament_Start_Prompt,@14_SQ_PioneerLament_Proposal_a,@14_SQ_PioneerLament_Incomplete,@complete_available_prompt_DEFAULT,@14_SQ_PioneerLament_Complete,,,,true,,,,,,,
14_SQ_ArtSuffer,Journey,,54,,,,,14_Side02_01_Art_Container,14_Nerezza,,14_Quest_42,99E_MSQ_04 || 99_MSQ_56,,,14_SQ_ArtSuffer_Success,,,,,,,true,,@14_SQ_ArtSuffer_Title,@14_SQ_ArtSuffer_Description,@14_SQ_ArtSuffer_Start_Prompt,@14_SQ_ArtSuffer_Proposal,@14_SQ_ArtSuffer_Incomplete_a,@complete_available_prompt_DEFAULT,@14_SQ_ArtSuffer_Complete_a,,,,true,,,,,,,
