ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,NOTE
99D_MSQ_01_RescueWarden,MainStoryQuest,,,,,,,99D_MSQ_01_RescueWarden_container,99D_Yonas_A,,99D_MSQ_01,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),,,99D_MSQ_01_RescueWarden_success,,,,,earringgreatcleavet5,1,,,false,@99D_MSQ_01_RescueWarden_title,@99D_MSQ_01_RescueWarden_desc,@99D_MSQ_01_RescueWarden_start_prompt,@99D_MSQ_01_RescueWarden_proposal_a,@99D_MSQ_01_RescueWarden_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_01_RescueWarden_completion_a,,,true,,,,,,,
99D_MSQ_02_ClimbRuins,MainStoryQuest,,,,,,,99D_MSQ_02_ClimbRuins_container,99D_Galahad_C,,99D_MSQ_02,99D_MSQ_01,,,99D_MSQ_02_ClimbRuins_success,,,,,CRX_RewardContainerT4_Headgear_40,1,,,false,@99D_MSQ_02_ClimbRuins_title,@99D_MSQ_02_ClimbRuins_desc,@99D_MSQ_02_ClimbRuins_start_prompt,@99D_MSQ_02_ClimbRuins_proposal_a,@99D_MSQ_02_ClimbRuins_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_02_ClimbRuins_completion_a,,,true,,,,,,,
99D_MSQ_03_ThorpeBackstory,MainStoryQuest,,,,,,,99D_MSQ_03_ThorpeBackstory_container,99D_Yonas_B,,99D_MSQ_03,99D_MSQ_02,,,99D_MSQ_03_ThorpeBackstory_success,,,,,CRX_RewardContainerT4_Footwear_40,1,,,false,@99D_MSQ_03_ThorpeBackstory_title,@99D_MSQ_03_ThorpeBackstory_desc,@99D_MSQ_03_ThorpeBackstory_start_prompt,@99D_MSQ_03_ThorpeBackstory_proposal_a,@99D_MSQ_03_ThorpeBackstory_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_03_ThorpeBackstory_completion_a,,,true,,,,,,,
99D_MSQ_04_DestroyMines,MainStoryQuest,,,,,,,99D_MSQ_04_DestroyMines_container,99D_Yonas_C,,99D_MSQ_04,99D_MSQ_03,,,99D_MSQ_04_DestroyMines_success,,,,,CRX_RewardContainerT4_Weapons_40,1,,,false,@99D_MSQ_04_DestroyMines_title,@99D_MSQ_04_DestroyMines_desc,@99D_MSQ_04_DestroyMines_start_prompt,@99D_MSQ_04_DestroyMines_proposal_a,@99D_MSQ_04_DestroyMines_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_04_DestroyMines_completion_a,,,true,,,,,,,
99D_MSQ_05_CrossBridge,MainStoryQuest,,,,,,,99D_MSQ_05_CrossBridge_container,99D_Galahad_E,,99D_MSQ_05,99D_MSQ_04,,,99D_MSQ_05_CrossBridge_success,,,,,CRX_RewardContainerT4_Handwear_45,1,,,false,@99D_MSQ_05_CrossBridge_title,@99D_MSQ_05_CrossBridge_desc,@99D_MSQ_05_CrossBridge_start_prompt,@99D_MSQ_05_CrossBridge_proposal_a,@99D_MSQ_05_CrossBridge_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_05_CrossBridge_completion_a,,,true,,,,,,,
99D_MSQ_06_DestroyPortals,MainStoryQuest,,,,,,,99D_MSQ_06_DestroyPortals_container,99D_Yonas_D,,99D_MSQ_06,99D_MSQ_05,,,99D_MSQ_06_DestroyPortals_success,,,,,PotionHealthT4,10,,,false,@99D_MSQ_06_DestroyPortals_title,@99D_MSQ_06_DestroyPortals_desc,@99D_MSQ_06_DestroyPortals_start_prompt,@99D_MSQ_06_DestroyPortals_proposal_a,@99D_MSQ_06_DestroyPortals_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_06_DestroyPortals_completion_a,,,true,,,,,,,
99D_MSQ_07_PortalFight,MainStoryQuest,,,,,,,99D_MSQ_07_PortalFight_container,99D_Yonas_F,,99D_MSQ_07,99D_MSQ_06,,,99D_MSQ_07_PortalFight_success,,,,,CRX_RewardContainerT4_Chestwear_45,1,,,false,@99D_MSQ_07_PortalFight_title,@99D_MSQ_07_PortalFight_desc,@99D_MSQ_07_PortalFight_start_prompt,@99D_MSQ_07_PortalFight_proposal_a,@99D_MSQ_07_PortalFight_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_07_PortalFight_completion_a,,,true,,,,,,,Soul Trial
99D_MSQ_08_ThorpeFight,MainStoryQuest,,,,,,,99D_MSQ_08_ThorpeFight_container,99D_Yash_F,,99D_MSQ_08,99D_MSQ_07,,,99D_MSQ_08_ThorpeFight_success,,,,,HoningStoneT4,3,,,false,@99D_MSQ_08_ThorpeFight_title,@99D_MSQ_08_ThorpeFight_desc,@99D_MSQ_08_ThorpeFight_start_prompt,@99D_MSQ_08_ThorpeFight_proposal_a,@99D_MSQ_08_ThorpeFight_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_08_ThorpeFight_completion_a,,,true,,,,,,,
99D_MSQ_09_Outpost,MainStoryQuest,,,,,,,99D_MSQ_09_Outpost_container,99D_Grace,,99D_MSQ_09,99D_MSQ_08 && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,99D_MSQ_09_Outpost_success,,,,,CRX_RewardContainerT4_Legwear_50,1,,,false,@99D_MSQ_09_Outpost_title,@99D_MSQ_09_Outpost_desc,@99D_MSQ_09_Outpost_start_prompt,@99D_MSQ_09_Outpost_proposal_a,@99D_MSQ_09_Outpost_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_09_Outpost_completion_a,,,true,,,,,,,
99D_MSQ_09_Outpost_destroyer,MainStoryQuest,,,,,,,99D_MSQ_09_Outpost_container,99D_Grace,,99D_MSQ_09,99D_MSQ_08 && Archetype_Warmonger,,,99D_MSQ_09_Outpost_success_destroyer,,,,,CRX_RewardContainerT4_Legwear_50,1,,,false,@99D_MSQ_09_Outpost_title,@99D_MSQ_09_Outpost_desc,@99D_MSQ_09_Outpost_start_prompt,@99D_MSQ_09_Outpost_proposal_a,@99D_MSQ_09_Outpost_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_09_Outpost_completion_a,,,true,,,,,,,
