ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,RewardWithPlayerLevel,RewardType,NOTE
12A_MSQ_02_InnTutorial,MainStoryQuest,,7,,,,,12A_MSQ_02_InnTutorial_Container,12_MB_Grace,,12A_MSQ_02,,,,12A_MSQ_02_InnTutorial_Success,,,,,,,,,0,@12A_MSQ_02_InnTutorial_Obj_Title,@12A_MSQ_02_InnTutorial_Obj_Desc,@12A_MSQ_02_InnTutorial_Obj_Start_Prompt_new,@12A_MSQ_02_InnTutorial_Obj_Proposal_a_new,@12A_MSQ_02_InnTutorial_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_02_InnTutorial_Obj_Response_a,,,TRUE,,,,,,,,,
12A_MSQ_03_VaultTutorial,MainStoryQuest,,7,,,,,12A_MSQ_03_VaultTutorial_Container,12_MB_Grace_01A,,12A_MSQ_03,12A_MSQ_02,,,12A_MSQ_03_VaultTutorial_Success,,,,,,,,,0,@12A_MSQ_03_VaultTutorial_Obj_Title,@12A_MSQ_03_VaultTutorial_Obj_Desc,@12A_MSQ_03_VaultTutorial_Obj_Start_Prompt,@12A_MSQ_03_VaultTutorial_Obj_Proposal,@12A_MSQ_03_VaultTutorial_Obj_Incomplete_a,@complete_available_prompt_DEFAULT,@12A_MSQ_03_VaultTutorial_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_04_MeetPayne,MainStoryQuest,,7,,,,,12A_MSQ_04_MeetPayne_Container,12_RegentJinJae,,12A_MSQ_04,12A_MSQ_03,,,12A_MSQ_04_MeetPayne_Success,,,,,PotionHealthT2,5,,,0,@12A_MSQ_04_MeetPayne_Obj_Title,@12A_MSQ_04_MeetPayne_Obj_Desc,@12A_MSQ_04_MeetPayne_Obj_Start_Prompt,@12A_MSQ_04_MeetPayne_Obj_Proposal_a,@12A_MSQ_04_MeetPayne_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_04_MeetPayne_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_06_ToMiclot,MainStoryQuest,,9,,,,,12A_MSQ_06_ToMiclot_Container,12_AllyaMusa,,12A_MSQ_06,12A_MSQ_04,,,12A_MSQ_06_ToMiclot_Success,,,,,,,,,0,@12A_MSQ_06_ToMiclot_Obj_Title,@12A_MSQ_06_ToMiclot_Obj_Desc,@12A_MSQ_06_ToMiclot_Obj_Start_Prompt_new,@12A_MSQ_06_ToMiclot_Obj_Proposal_a_new,@12A_MSQ_06_ToMiclot_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_MSQ_06_ToMiclot_Obj_Response_a,,,TRUE,,,,,,,,,
12A_MSQ_07_FreeMiners,MainStoryQuest,,9,,,,,12A_MSQ_07_FreeMiners_Container,12_EliasDerit,,12A_MSQ_07,12A_MSQ_06,,,12A_MSQ_07_FreeMiners_Success,,,,,PotionHealthT2,5,,,0,@12A_MSQ_07_FreeMiners_Obj_Title,@12A_MSQ_07_FreeMiners_Obj_Desc,@12A_MSQ_07_FreeMiners_Obj_Start_Prompt,@12A_MSQ_07_FreeMiners_Obj_Proposal_a,@12A_MSQ_07_FreeMiners_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_MSQ_07_FreeMiners_Obj_Response_a,,,TRUE,,,,,,,,,
12A_MSQ_08_DestroyRune,MainStoryQuest,,10,,,,,12A_MSQ_08_DestroyRune_Container,12_EliasDerit,,12A_MSQ_08,12A_MSQ_07,,,12A_MSQ_08_DestroyRune_Success,,,,,,,,,0,@12A_MSQ_08_DestroyRune_Obj_Title,@12A_MSQ_08_DestroyRune_Obj_Desc,@12A_MSQ_08_DestroyRune_Obj_Start_Prompt_new,@12A_MSQ_08_DestroyRune_Obj_Proposal_a_new,@12A_MSQ_08_DestroyRune_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_MSQ_08_DestroyRune_Obj_Response_new,,,TRUE,,,,,,,,,
12A_MSQ_09_ReturnRegent,MainStoryQuest,,10,,,,,12A_MSQ_09_ReturnRegent_Container,12_RegentJinJae,,12A_MSQ_09,12A_MSQ_08,,,12A_MSQ_09_ReturnRegent_Success,,,,,,,,,0,@12A_MSQ_09_ReturnRegent_Obj_Title,@12A_MSQ_09_ReturnRegent_Obj_Desc,@12A_MSQ_09_ReturnRegent_Obj_Start_Prompt_new,@12A_MSQ_09_ReturnRegent_Obj_Proposal_a_new,@12A_MSQ_09_ReturnRegent_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_09_ReturnRegent_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_10_ConfrontLochnir,MainStoryQuest,,10,,,,,12A_MSQ_10_ConfrontLochnir_Container,12_RegentJinJae,,12A_MSQ_10,12A_MSQ_09,,,12A_MSQ_10_ConfrontLochnir_Success,,,,,,,,,0,@12A_MSQ_10_ConfrontLochnir_Obj_Title,@12A_MSQ_10_ConfrontLochnir_Obj_Desc,@12A_MSQ_10_ConfrontLochnir_Obj_Start_Prompt_new,@12A_MSQ_10_ConfrontLochnir_Obj_Proposal_a_new,@12A_MSQ_10_ConfrontLochnir_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_10_ConfrontLochnir_Obj_Response_a,,,TRUE,,,,,,,,,
12A_MSQ_10_ConfrontLochnir_alt,MainStoryQuest,,10,,,,,12A_MSQ_10_ConfrontLochnir_Container,12_RegentJinJae,,12A_MSQ_10,12A_MSQ_09,,,12A_MSQ_10_ConfrontLochnir_Success_alt,,,,,,,,,0,@12A_MSQ_10_ConfrontLochnir_Obj_Title,@12A_MSQ_10_ConfrontLochnir_Obj_Desc,@12A_MSQ_10_ConfrontLochnir_Obj_Start_Prompt_new,@12A_MSQ_10_ConfrontLochnir_Obj_Proposal_a_new,@12A_MSQ_10_ConfrontLochnir_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_10_ConfrontLochnir_Obj_Response_a,,,TRUE,,,,,,,,,
12A_MSQ_12_CampTutorial,MainStoryQuest,,10,,,,,12A_MSQ_12_CampTutorial_Container,12_SerPayneBennett_03,,12A_MSQ_12,12A_MSQ_10,,,12A_MSQ_12_CampTutorial_Success,,,,,PotionHealthT2,5,,,0,@12A_MSQ_12_CampTutorial_Obj_Title,@12A_MSQ_12_CampTutorial_Obj_Desc,@12A_MSQ_12_CampTutorial_Obj_Start_Prompt,@12A_MSQ_12_CampTutorial_Obj_Proposal_Prompt_a,@NPC_DefaultDialogue_05_RegentJinJae,@complete_available_prompt_DEFAULT,@12A_MSQ_12_CampTutorial_Obj_Response_a,,,TRUE,,,,,,,,,
12A_MSQ_13_StormBeach,MainStoryQuest,,11,,,,,12A_MSQ_13_StormBeach_Container,12_SerPayneBennett_03,,12A_MSQ_13,12A_MSQ_12,,,12A_MSQ_13_StormBeach_Success,,,,,CRX_RewardContainerT2_Footwear_15,1,,,0,@12A_MSQ_13_StormBeach_Obj_Title,@12A_MSQ_13_StormBeach_Obj_Desc,@12A_MSQ_13_StormBeach_Obj_Start_Prompt,@12A_MSQ_13_StormBeach_Obj_Proposal_a,@12A_MSQ_13_StormBeach_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_MSQ_13_StormBeach_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_15_DefeatNavigator,MainStoryQuest,,12,,,,,12A_MSQ_15_DefeatNavigator_Container,12_SerPayneBennett_03,,12A_MSQ_15,12A_MSQ_13,,,12A_MSQ_15_DefeatNavigator_Success,,,,,CRX_RewardContainerT2_Legwear_15,1,,,0,@12A_MSQ_15_DefeatNavigator_Obj_Title,@12A_MSQ_15_DefeatNavigator_Obj_Desc,@12A_MSQ_15_DefeatNavigator_Obj_Start_Prompt_new,@12A_MSQ_15_DefeatNavigator_Obj_Proposal_a_new,@12A_MSQ_15_DefeatNavigator_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_MSQ_15_DefeatNavigator_Obj_Response,,,TRUE,,,,,,,,,
