ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
0714_0101_fieldsoffire,Journey,,,,,,,0714_0101_d_00_container_fieldsoffire,0714_Watcher,,07_Quest_03,,,,0714_0101_fieldsoffire_success,,,,,GypsumOrb,1,,true,@0714_0101_fieldsoffire_objective_title,@0714_0101_fieldsoffire_objective_desc,@0714_0101_fieldsoffire_start_prompt,@0714_0101_fieldsoffire_proposal,@0714_0101_fieldsoffire_incomplete,@complete_available_prompt_DEFAULT,@0714_0101_fieldsoffire_complete_available_response,,,,,,,,ShateredMtnArc1,
0719_0101_reflectionsmountainheart,Journey,,,,,,,0719_0101_d_00_container_reflectionsmountainheart,0719_Ranger,,07_Quest_10,,,,0719_0101_reflectionsmountainheart_success,,,,,GypsumOrb,1,,true,@0719_0101_reflectionsmountainheart_objective_title,@0719_0101_reflectionsmountainheart_objective_desc,@0719_0101_reflectionsmountainheart_start_prompt,@0719_0101_reflectionsmountainheart_proposal,@0719_0101_reflectionsmountainheart_incomplete,@complete_available_prompt_DEFAULT,@0719_0101_reflectionsmountainheart_complete_available_response,,,,,,,,GreatCleaveArc2,
0713_0101_explorerift,Journey,,,,,,,0713_0101_d_00_container_explorerift,0713_Watcher,,07_Quest_02,07_Quest_03,,,0713_0101_explorerift_success,,,,,GypsumOrb,1,,true,@0713_0101_explorerift_objective_title,@0713_0101_explorerift_objective_desc,@0713_0101_explorerift_start_prompt,@0713_0101_explorerift_proposal,@0713_0101_explorerift_incomplete,@complete_available_prompt_DEFAULT,@0713_0101_explorerift_complete_available_response,,,,,,,,ShateredMtnArc3,
0715_0102_luckonlylends,Journey,,,,,,,0715_0102_d_00_container_luckonlylends,0714_Watcher,,07_Quest_05,07_Quest_03,,,0715_0102_luckonlylends_success,,,,,GypsumOrb,1,,true,@0715_0102_luckonlylends_objective_title,@0715_0102_luckonlylends_objective_desc,@0715_0102_luckonlylends_start_prompt,@0715_0102_luckonlylends_proposal,@0715_0102_luckonlylends_incomplete,@complete_available_prompt_DEFAULT,@0715_0102_luckonlylends_complete_available_response,,,,,,,,ShateredMtnArc1,
0715_0101_varietiesofheat,Journey,,,,,,,0715_0101_d_00_container_varietiesofheat,0715_Watcher,,07_Quest_04,07_Quest_03,,,0715_0101_varietiesofheat_success,,,,,GypsumOrb,1,,true,@0715_0101_varietiesofheat_objective_title,@0715_0101_varietiesofheat_objective_desc,@0715_0101_varietiesofheat_start_prompt,@0715_0101_varietiesofheat_proposal,@0715_0101_varietiesofheat_incomplete,@complete_available_prompt_DEFAULT,@0715_0101_varietiesofheat_complete_available_response,,,,,,,,ShateredMtnArc1,
0716_0101_malevolentofferings,Journey,,,,,,,0716_0101_d_00_container_malevolentofferings,0713_Watcher,,07_Quest_06,07_Quest_02,,,0716_0101_malevolentofferings_success,,,,,GypsumOrb,1,,true,@0716_0101_malevolentofferings_objective_title,@0716_0101_malevolentofferings_objective_desc,@0716_0101_malevolentofferings_start_prompt,@0716_0101_malevolentofferings_proposal,@0716_0101_malevolentofferings_incomplete,@complete_available_prompt_DEFAULT,@0716_0101_malevolentofferings_complete_available_response,,,,,,,,ShateredMtnArc3,
0712_0101_layerspastandpresent,Journey,,,,,,,0712_0101_d_00_container_layerspastandpresent,0712_Watcher,,07_Quest_01,07_Quest_06,,,0712_0101_layerspastandpresent_success,,,,,GypsumOrb,1,,true,@0712_0101_layerspastandpresent_objective_title,@0712_0101_layerspastandpresent_objective_desc,@0712_0101_layerspastandpresent_start_prompt,@0712_0101_layerspastandpresent_proposal,@0712_0101_layerspastandpresent_incomplete,@complete_available_prompt_DEFAULT,@0712_0101_layerspastandpresent_complete_available_response,,,,,,,,ShateredMtnArc3,
0718_0102_humble,Journey,,,,,,,0718_0102_d_00_container_humble,0718_Ranger,,07_Quest_09,07_Quest_06,,,0718_0102_humble_success,,,,,GypsumOrb,1,,true,@0718_0102_humble_objective_title,@0718_0102_humble_objective_desc,@0718_0102_humble_start_prompt,@0718_0102_humble_proposal,@0718_0102_humble_incomplete,@complete_available_prompt_DEFAULT,@0718_0102_humble_complete_available_response,,,,,,,,ShateredMtnArc2,
0718_0101_guardian,Journey,,,,,,,0718_0101_d_00_container_guardian,0718_Ranger,,07_Quest_08,07_Quest_09,,,0718_0101_guardian_success,,,,,GypsumOrb,1,,true,@0718_0101_guardian_objective_title,@0718_0101_guardian_objective_desc,@0718_0101_guardian_start_prompt,@0718_0101_guardian_proposal,@0718_0101_guardian_incomplete,@complete_available_prompt_DEFAULT,@0718_0101_guardian_complete_available_response,,,,,,,,ShateredMtnArc2,
0717_0101_myrkgardarena,Journey,,,,,true,,0717_0101_d_00_container_myrkgardarena,,,,,,,0717_0101_mykgardarena_success,,,,,,,1,true,@0717_0101_myrkgardarena_objective_title,@0717_0101_myrkgardarena_objective_desc,@0717_0101_myrkgardarena_start_prompt,@0717_0101_myrkgardarena_proposal,@0717_0101_myrkgardarena_incomplete,@complete_available_prompt_DEFAULT,@0717_0101_myrkgardarena_complete_available_response,,,,CANCELLED,,,,,
0719_0201_madakisstratagem,Journey,,,,,,,0719_0201_d_00_container_madakisstratagem,0719_Ranger,,07_Quest_11,,,,0719_0201_madakisstratagem_success,,,,,GypsumOrb,1,,true,@0719_0201_madakisstratagem_objective_title,@0719_0201_madakisstratagem_objective_desc,@0719_0201_madakisstratagem_start_prompt,@0719_0201_madakisstratagem_proposal,@0719_0201_madakisstratagem_incomplete,@complete_available_prompt_DEFAULT,@0719_0201_madakisstratagem_complete_available_response,,,,,,,,GreatCleaveArc2,
0714_0105_baetylusheadpiece,Journey,,60,,,,,0714_0105_d_00_container_baetylusheadpiece,0714_Watcher,,07_Quest_Lazarus_11,07_Quest_05,,,0714_0105_baetylusheadpiece_success,,,,,GypsumOrb,1,,false,@0714_0105_baetylusheadpiece_objective_title,@0714_0105_baetylusheadpiece_objective_desc,@0714_0105_baetylusheadpiece_start_prompt,@0714_0105_baetylusheadpiece_proposal,@0714_0105_baetylusheadpiece_incomplete,@complete_available_prompt_DEFAULT,@0714_0105_baetylusheadpiece_complete_available_response,,,,,,,,,
0718_0103_ultimatedefense,Journey,,60,,,,,0718_0103_d_00_container_ultimatedefense,0718_Ranger,,07_Quest_Garden_12,07_Quest_08,,,0718_0103_ultimatedefense_success,,,,,GypsumOrb,1,,false,@0718_0103_ultimatedefense_objective_title,@0718_0103_ultimatedefense_objective_desc,@0718_0103_ultimatedefense_start_prompt,@0718_0103_ultimatedefense_proposal,@0718_0103_ultimatedefense_incomplete,@complete_available_prompt_DEFAULT,@0718_0103_ultimatedefense_complete_available_response,,,,,,,,,
0721_0101_TF_00,EpicEquipment,,60,,,,,0721_0101_TF_00_container,0719_Ranger,,WeaponQuest_TwilightsFall_00,07_Quest_11,,,0721_0101_TF_00_success,,,,0721_0101_BW_00,,,,false,@0721_0101_TF_00_objective_title,@0721_0101_TF_00_objective_desc,@0721_0101_TF_00_start_prompt,@0721_0101_TF_00_proposal,@0721_0101_TF_00_incomplete,@complete_available_prompt_DEFAULT,@0721_0101_TF_00_complete_available_response,,,,,,,,,
0721_0102_TF_01,EpicEquipment,,60,,,,,0721_0102_TF_01_container,,,WeaponQuest_TwilightsFall_01,,,,0721_0102_TF_01_success,,,,,GypsumOrb,1,,false,@0721_0102_TF_01_objective_title,@0721_0102_TF_01_objective_desc,@prompt_DEFAULT,@0721_0102_TF_01_proposal,@0721_0102_TF_01_incomplete,@complete_available_prompt_DEFAULT,@0721_0102_TF_01_complete_available_response,,,,,,,,,
0721_0103_TF_02,EpicEquipment,,60,,,,,0721_0103_TF_02_container,,,WeaponQuest_TwilightsFall_02,,,,0721_0103_TF_02_success,,,,,GypsumOrb,1,,false,@0721_0103_TF_02_objective_title,@0721_0103_TF_02_objective_desc,@prompt_DEFAULT,@0721_0103_TF_02_proposal,@0721_0103_TF_02_incomplete,@complete_available_prompt_DEFAULT,@0721_0103_TF_02_complete_available_response,,,,,,,,,
0721_0104_TF_03,EpicEquipment,,60,,,,,0721_0104_TF_03_container,,,WeaponQuest_TwilightsFall_03,,,,0721_0104_TF_03_success,,,,,GypsumOrb,1,,false,@0721_0104_TF_03_objective_title,@0721_0104_TF_03_objective_desc,@prompt_DEFAULT,@0721_0104_TF_03_proposal,@0721_0104_TF_03_incomplete,@complete_available_prompt_DEFAULT,@0721_0104_TF_03_complete_available_response,,,,,,,,,
0721_0105_TF_04,EpicEquipment,,60,,,,,0721_0105_TF_04_container,,,WeaponQuest_TwilightsFall_04,,,,0721_0105_TF_04_success,,,,,GypsumOrb,1,,false,@0721_0105_TF_04_objective_title,@0721_0105_TF_04_objective_desc,@prompt_DEFAULT,@0721_0105_TF_04_proposal,@0721_0105_TF_04_incomplete,@complete_available_prompt_DEFAULT,@0721_0105_TF_04_complete_available_response,,,,,,,,,
0721_0106_TF_05,EpicEquipment,,60,,,,,0721_0106_TF_05_container,,,WeaponQuest_TwilightsFall_05,,,,0721_0106_TF_05_success,,,,,GypsumOrb,1,,false,@0721_0106_TF_05_objective_title,@0721_0106_TF_05_objective_desc,@prompt_DEFAULT,@0721_0106_TF_05_proposal,@0721_0106_TF_05_incomplete,@complete_available_prompt_DEFAULT,@0721_0106_TF_05_complete_available_response,,,,,,,,,
0721_0107_TF_06,EpicEquipment,,60,,,,,0721_0107_TF_06_container,,,WeaponQuest_TwilightsFall_06,,,,0721_0107_TF_06_success,,,,,GypsumOrb,1,,false,@0721_0107_TF_06_objective_title,@0721_0107_TF_06_objective_desc,@prompt_DEFAULT,@0721_0107_TF_06_proposal,@0721_0107_TF_06_incomplete,@complete_available_prompt_DEFAULT,@0721_0107_TF_06_complete_available_response,,,,,,,,,
0721_0108_TF_07,EpicEquipment,,60,,,,,0721_0108_TF_07_container,,,WeaponQuest_TwilightsFall_07,,,,0721_0108_TF_07_success,,,,,GypsumOrb,1,,false,@0721_0108_TF_07_objective_title,@0721_0108_TF_07_objective_desc,@prompt_DEFAULT,@0721_0108_TF_07_proposal,@0721_0108_TF_07_incomplete,@complete_available_prompt_DEFAULT,@0721_0108_TF_07_complete_available_response,,,,,,,,,
0721_0109_TF_08,EpicEquipment,,60,,,,,0721_0109_TF_08_container,,,WeaponQuest_TwilightsFall_08,,,,0721_0109_TF_08_success,,,,,GypsumOrb,1,,false,@0721_0109_TF_08_objective_title,@0721_0109_TF_08_objective_desc,@prompt_DEFAULT,@0721_0109_TF_08_proposal,@0721_0109_TF_08_incomplete,@complete_available_prompt_DEFAULT,@0721_0109_TF_08_complete_available_response,,,,,,,,,
0721_0101_BW_00,EpicEquipment,,60,,,,,0721_0101_BW_00_container,0719_Ranger,,WeaponQuest_BoundlessWard_00,,,,0721_0101_BW_00_success,,,,,,,,false,@0721_0101_BW_00_objective_title,@0721_0101_BW_00_objective_desc,@prompt_DEFAULT,@0720_0101_BW_00_proposal,@0721_0101_BW_00_incomplete,@complete_available_prompt_DEFAULT,@0721_0101_BW_00_complete_available_response,,,,,,,,,
0721_0102_BW_01,EpicEquipment,,60,,,,,0721_0102_BW_01_container,,,WeaponQuest_BoundlessWard_01,,,,0721_0102_BW_01_success,,,,,GypsumOrb,1,,false,@0721_0102_BW_01_objective_title,@0721_0102_BW_01_objective_desc,,,,,,,,,,,,,,
