ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,NOTE
99B_MSQ_01_searchwalsham,MainStoryQuest,,,,,,,99B_MSQ_01_searchwalsham_container,99B_Yonas_p2,,99B_MSQ_01,99_MSQ_22||(99_MSQ_23&&!99_MSQ_35),,,99B_MSQ_01_searchwalsham_success,,,,,,,,,false,@99B_MSQ_01_searchwalsham_objective_title,@99B_MSQ_01_searchwalsham_objective_desc,@99B_MSQ_01_searchwalsham_start_prompt,@99B_MSQ_01_searchwalsham_proposal_a,@99B_MSQ_01_searchwalsham_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_01_searchwalsham_complete_available_response_a,,,true,,,,,Brightwoodv2Arc1,,
99B_MSQ_02_meetgalahad,MainStoryQuest,,,,,,,99B_MSQ_02_meetgalahad_container,99B_Galahad_p2,,99B_MSQ_02,,,,99B_MSQ_02_meetgalahad_success,,,,,PotionHealthT3,5,,,false,@99B_MSQ_02_meetgalahad_objective_title,@99B_MSQ_02_meetgalahad_objective_desc,@99B_MSQ_02_meetgalahad_start_prompt,@99B_MSQ_02_meetgalahad_proposal_a,@99B_MSQ_02_meetgalahad_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_02_meetgalahad_complete_available_response_a,,,true,,,,,Brightwoodv2Arc1,,
99B_MSQ_03_lostvillages,MainStoryQuest,,,,,,,99B_MSQ_03_lostvillages_container,99B_Yonas_p5,,99B_MSQ_03,99B_MSQ_02,,,99B_MSQ_03_lostvillages_success,,,,,CRX_RewardContainerT3_Handwear_30,1,,,false,@99B_MSQ_03_lostvillages_objective_title,@99B_MSQ_03_lostvillages_objective_desc,@99B_MSQ_03_lostvillages_start_prompt,@99B_MSQ_03_lostvillages_proposal_a,@99B_MSQ_03_lostvillages_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_03_lostvillages_complete_available_response_multi,,,true,,,,,Brightwoodv2Arc1,,
99B_MSQ_03_lostvillages_alt,MainStoryQuest,,,,,,,99B_MSQ_03_lostvillages_container,99B_Yonas_p5,,99B_MSQ_03,99B_MSQ_02,,,99B_MSQ_03_lostvillages_alt_success,,,,,CRX_RewardContainerT3_Handwear_30,1,,,false,@99B_MSQ_03_lostvillages_objective_title,@99B_MSQ_03_lostvillages_objective_desc,@99B_MSQ_03_lostvillages_start_prompt,@99B_MSQ_03_lostvillages_proposal_a,@99B_MSQ_03_lostvillages_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_03_lostvillages_complete_available_response_multi,,,true,,,,,Brightwoodv2Arc1,,
99B_MSQ_04_corruptedresources,MainStoryQuest,,,,,,,99B_MSQ_04_corruptedresources_container,99B_Galahad_p4,,99B_MSQ_04,99B_MSQ_03,,,99B_MSQ_04_corruptedresources_success,,,,,CRX_RewardContainerT3_Footwear_30,1,,,false,@99B_MSQ_04_corruptedresources_objective_title,@99B_MSQ_04_corruptedresources_objective_desc,@99B_MSQ_04_corruptedresources_start_prompt,@99B_MSQ_04_corruptedresources_proposal_a,@99B_MSQ_04_corruptedresources_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_04_corruptedresources_complete_available_response_a,,,true,,,,,Brightwoodv2Arc1,,
99B_MSQ_05_findingfort,MainStoryQuest,,31,,,,,99B_MSQ_05_findingfort_container,99B_Galahad_p4,,99B_MSQ_05,99B_MSQ_04,,,99B_MSQ_05_findingfort_success,,,,,PotionHealthT3,5,,,false,@99B_MSQ_05_findingfort_objective_title,@99B_MSQ_05_findingfort_objective_desc,@99B_MSQ_05_findingfort_start_prompt,@99B_MSQ_05_findingfort_proposal_a,@99B_MSQ_05_findingfort_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_05_findingfort_complete_available_response_a,,,true,,,,,Brightwoodv2Arc2,,
99B_MSQ_06_lostcathedral,MainStoryQuest,,,,,,,99B_MSQ_06_lostcathedral_container,99B_Galahad_p4,,99B_MSQ_06,99B_MSQ_05,,,99B_MSQ_06_lostcathedral_success,,,,,PotionFamilyWardLostT5,3,,,false,@99B_MSQ_06_lostcathedral_objective_title,@99B_MSQ_06_lostcathedral_objective_desc,@99B_MSQ_06_lostcathedral_start_prompt,@99B_MSQ_06_lostcathedral_proposal_a,@99B_MSQ_06_lostcathedral_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_06_lostcathedral_complete_available_response_a,,,true,,,,,Brightwoodv2Arc2,,
99B_MSQ_07_cursedcemetery,MainStoryQuest,,,,,,,99B_MSQ_07_cursedcemetery_container,99B_Sun_p2,,99B_MSQ_07,99B_MSQ_06,,,99B_MSQ_07_cursedcemetery_success,,,,,HoningStoneT3,3,,,false,@99B_MSQ_07_cursedcemetery_objective_title,@99B_MSQ_07_cursedcemetery_objective_desc,@99B_MSQ_07_cursedcemetery_start_prompt,@99B_MSQ_07_cursedcemetery_proposal_a,@99B_MSQ_07_cursedcemetery_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_07_cursedcemetery_complete_available_response_a,,,true,,,,,Brightwoodv2Arc2,,
99B_MSQ_08_azothtree,MainStoryQuest,,,,,,,99B_MSQ_08_azothtree_container,99B_Galahad_p6,,99B_MSQ_08,99B_MSQ_07,,,99B_MSQ_08_azothtree_success,,,,,PotionHealthT3,10,,,false,@99B_MSQ_08_azothtree_objective_title,@99B_MSQ_08_azothtree_objective_desc,@99B_MSQ_08_azothtree_start_prompt,@99B_MSQ_08_azothtree_proposal_a,@99B_MSQ_08_azothtree_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_08_azothtree_complete_available_response_a,,,true,,,,,Brightwoodv2Arc2,,
99B_MSQ_09_killumberto,MainStoryQuest,,33,,,,,99B_MSQ_09_killumberto_container,99B_Galahad_p6,,99B_MSQ_09,99B_MSQ_08 && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,99B_MSQ_09_killumberto_success,,,,,,,,,false,@99B_MSQ_09_killumberto_objective_title,@99B_MSQ_09_killumberto_objective_desc,@99B_MSQ_09_killumberto_start_prompt,@99B_MSQ_09_killumberto_proposal_a,@99B_MSQ_09_killumberto_incomplete,@complete_available_prompt_DEFAULT,@99B_MSQ_09_killumberto_complete_available_response_a,,,true,,,,,Brightwoodv2Arc2,,
