ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
1679_0101_striderofthesands_SM,MainStoryQuest,,,,,,,1679_0101_d_00_container_striderofthesands_SM,1680_Buhawi,7,16_BSMSQ_00,,,60,1679_0101_striderofthesands_success,,,,,GypsumOrb,5,,false,@1679_0101_striderofthesands_Title,@1679_0101_striderofthesands_Description,@1679_0101_striderofthesands_Start,@1679_0101_striderofthesands_Proposal,@1679_0101_striderofthesands_Incomplete,@complete_available_prompt_DEFAULT,@1679_0101_striderofthesands_Complete,,,,,,,,,
1679_0101_striderofthesands_GC,MainStoryQuest,,,,,,,1679_0101_d_00_container_striderofthesands_GC,1680_Buhawi,3,16_BSMSQ_00,,,60,1679_0101_striderofthesands_success,,,,,GypsumOrb,5,,false,@1679_0101_striderofthesands_Title,@1679_0101_striderofthesands_Description,@1679_0101_striderofthesands_Start,@1679_0101_striderofthesands_Proposal,@1679_0101_striderofthesands_Incomplete,@complete_available_prompt_DEFAULT,@1679_0101_striderofthesands_Complete,,,,,,,,,
1679_0101_striderofthesands_ER,MainStoryQuest,,,,,,,1679_0101_d_00_container_striderofthesands_ER,1680_Buhawi,8,16_BSMSQ_00,,,60,1679_0101_striderofthesands_success,,,,,GypsumOrb,5,,false,@1679_0101_striderofthesands_Title,@1679_0101_striderofthesands_Description,@1679_0101_striderofthesands_Start,@1679_0101_striderofthesands_Proposal,@1679_0101_striderofthesands_Incomplete,@complete_available_prompt_DEFAULT,@1679_0101_striderofthesands_Complete,,,,,,,,,
1612_0101_praetorians,Journey,,,,,,,1612_0101_d_00_container_praetorians,1612_Andrea,,16_Quest_02,16_BSMSQ_06,,,1612_0101_praetorians_success,,,,,GypsumOrb,2,,true,@1612_0101_praetorians_Title,@1612_0101_praetorians_Description,@1612_0101_praetorians_Start,@NPC_Default_Dialogue_1612_01_Clermont,@1612_0101_praetorians_Incomplete,@complete_available_prompt_DEFAULT,@1612_0101_praetorians_Complete,,,,,,,,BrimstoneSandsArc3,
1612_0201_personaldemons,Journey,,,,,,,1612_0201_d_00_container_personaldemons,1612_Andrea,,16_Quest_03,16_Quest_02,,,1612_0201_personaldemons_success,,,,,1612_0201_1hRoundShield_T5,1,,true,@1612_0201_personaldemons_Title,@1612_0201_personaldemons_Description,@1612_0201_personaldemons_Start,@1612_0201_personaldemons_Proposal,@1612_0201_personaldemons_Incomplete,@complete_available_prompt_DEFAULT,@1612_0201_personaldemons_Complete,,,,,,,,BrimstoneSandsArc3,
1612_0301_dutiesmaintained,Journey,,,,,,,1612_0301_d_00_container_dutiesmaintained,1603_Barnabas,,16_Quest_04,16_Quest_03,,,1612_0301_dutiesmaintained_success,,,,,,,,true,@1612_0301_dutiesmaintained_Title,@1612_0301_dutiesmaintained_Description,@1612_0301_dutiesmaintained_Start,@1612_0301_dutiesmaintained_Proposal,@1612_0301_dutiesmaintained_Incomplete,@complete_available_prompt_DEFAULT,@1612_0301_dutiesmaintained_Complete,,,,,,,,BrimstoneSandsArc3,
1606_0101_lost_manticore,Journey,,,,,,,1606_0101_d_00_container_lost_manticore,1606_Ambrosius_p2,,16_Quest_05,16_BSMSQ_01,,,1606_0101_lost_manticore_success,,,,,GypsumOrb,1,,true,@1606_0101_lost_manticore_Title,@1606_0101_lost_manticore_Description,@1606_0101_lost_manticore_Start,@1606_0101_lost_manticore_Proposal,@1606_0101_lost_manticore_Incomplete,@complete_available_prompt_DEFAULT,@1606_0101_lost_manticore_Complete,,,,,,,,,
1666_0101_audiencewithpontifex,Journey,,,,,,,1666_0101_d_00_container_audiencewithpontifex,1666_Razin,,16_Quest_30,16_BSMSQ_06,,,1666_0101_audiencewithpontifex_success,,,,,,,,true,@1666_0101_audiencewithpontifex_Title,@1666_0101_audiencewithpontifex_Description,@1666_0101_audiencewithpontifex_Start,@1666_0101_audiencewithpontifex_Proposal,@1666_0101_audiencewithpontifex_Incomplete,@complete_available_prompt_DEFAULT,@1666_0101_audiencewithpontifex_Complete,,,,,,,,BrimstoneSandsArc5,
1604_0101_powerofgods,Journey,,,,,,,1604_0101_d_00_container_powerofgods,1605_Akila_Menefir,,16_Quest_06,16_Quest_30,,,1604_0101_powerofgods_success,,,,,,,,true,@1604_0101_powerofgods_Title,@1604_0101_powerofgods_Description,@1604_0101_powerofgods_Start,@1604_0101_powerofgods_Proposal,@1604_0101_powerofgods_Incomplete,@complete_available_prompt_DEFAULT,@1604_0101_powerofgods_Complete,,,,,,,,BrimstoneSandsArc5,
1605_0101_sleepingvessels,Journey,,,,,,,1605_0101_d_00_container_sleepingvessels,1605_Akila_Menefir,,16_Quest_07,16_Quest_06,,,1605_0101_sleepingvessels_success,,,,,UmbralShardT1,500,,true,@1605_0101_sleepingvessels_Title,@1605_0101_sleepingvessels_Description,@1605_0101_sleepingvessels_Start,@1605_0101_sleepingvessels_Proposal,@1605_0101_sleepingvessels_Incomplete,@complete_available_prompt_DEFAULT,@1605_0101_sleepingvessels_Complete,,,,,,,,BrimstoneSandsArc5,
