ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
9901_0023_agreatmovement,MainStoryQuest,,26,,,,,9901_0023_d_00_container_agreatmovement,9903_MSQ_Emile,,99_MSQ_23,99_MSQ_22,,,9901_0023_agreatmovement_success,,,,,,,,false,@9901_0023_agreatmovement_objective_title,@9901_0023_agreatmovement_objective_desc,@9901_0023_agreatmovement_start_prompt,@9901_0023_agreatmovement_proposal,@9901_0023_agreatmovement_incomplete,@complete_available_prompt_DEFAULT,@9901_0023_agreatmovement_complete_available_response,,,true,,,,,,
9903_0024_alostcause,MainStoryQuest,,,,,,,9903_0024_d_00_container_alostcause,9903_MSQ_Emile,,99_MSQ_24,,,,9903_0024_alostcause_success,,,,,,,,false,@9903_0024_alostcause_objective_title,@9903_0024_alostcause_objective_desc,@9903_0024_alostcause_start_prompt,@9903_0024_alostcause_proposal,@9903_0024_alostcause_incomplete,@complete_available_prompt_DEFAULT,@9903_0024_alostcause_complete_available_response,,,,,,,,,
9903_0025_chainofcommand,MainStoryQuest,,,,,,,9903_0025_d_00_container_chainofcommand,9903_MSQ_Emile,,99_MSQ_25,99_MSQ_24,,,9903_0025_chainofcommand_success,,,,,,,,false,@9903_0025_chainofcommand_objective_title,@9903_0025_chainofcommand_objective_desc,@9903_0025_chainofcommand_start_prompt,@9903_0025_chainofcommand_proposal,@9903_0025_chainofcommand_incomplete,@complete_available_prompt_DEFAULT,@9903_0025_chainofcommand_complete_available_response,,,,,,,,,
9903_0026_heartsandsouls,MainStoryQuest,,,,,,,9903_0026_d_00_container_heartsandsouls,NPC_9902_MSQ_Yonas,,99_MSQ_26,99_MSQ_25,,,9903_0026_heartsandsouls_success,,,,,,,,false,@9903_0026_heartsandsouls_objective_title,@9903_0026_heartsandsouls_objective_desc,@9903_0026_heartsandsouls_start_prompt,@9903_0026_heartsandsouls_proposal,@9903_0026_heartsandsouls_incomplete,@complete_available_prompt_DEFAULT,@9903_0026_heartsandsouls_complete_available_response,,,,,,,,,
9901_0027_thesyndicatesupport,MainStoryQuest,,30,,,,,9901_0027_d_00_container_thesyndicatesupport,9904_MSQ_Theophrastus,,99_MSQ_27,99_MSQ_26,,,9901_0027_thesyndicatesupport_success,,,,,,,,false,@9901_0027_thesyndicatesupport_objective_title,@9901_0027_thesyndicatesupport_objective_desc,@9901_0027_thesyndicatesupport_start_prompt,@9901_0027_thesyndicatesupport_proposal,@9901_0027_thesyndicatesupport_incomplete,@complete_available_prompt_DEFAULT,@9901_0027_thesyndicatesupport_complete_available_response,,,,,,,,,
9904_0028_thenoseknows_V2,MainStoryQuest,,32,,,,,9904_0028_d_00_container_thenoseknows_V2,9914_MSQ_Hunter,,99_MSQ_27b,99_MSQ_27,,,9904_0028_thenoseknows_V2_success,,,,9904_0028_thenoseknowsa_V2,,,,false,@9904_0028_thenoseknows_objective_title,@9904_0028_thenoseknows_objective_desc,@9904_0028_thenoseknows_start_prompt,@9904_0028_thenoseknows_proposal,@9904_0028_thenoseknows_incomplete,@complete_available_prompt_DEFAULT,@9904_0028_thenoseknows_complete_available_response,,,,,,,,,
9904_0028_thenoseknowsa_V2,MainStoryQuest,,32,,,,,9904_0028_d_00_container_thenoseknowsa_V2,9915_MSQ_Researcher1,,99_MSQ_27c,99_MSQ_27b,,,9904_0028_thenoseknowsa_V2_success,,,,9904_0028_thenoseknowsb,,,,false,@9904_0028_thenoseknowsa_objective_title,@9904_0028_thenoseknows_objective_desc,@9904_0028_thenoseknows_complete_available_response_prompt,@9904_0028_thenoseknows_complete_available_response_next,@9914_01_MSQ_Hunter_DefaultDialog,@complete_available_prompt_DEFAULT,@9904_0028_thenoseknowsa_complete_available_response,,,true,,,,,,
9904_0028_thenoseknowsb,MainStoryQuest,,32,,,,,9904_0028_d_00_container_thenoseknowsb,9916_MSQ_Researcher2,,99_MSQ_27d,99_MSQ_27c,,,9904_0028_thenoseknowsb_success,,,,9904_0028_thenoseknowsc,,,,false,@9904_0028_thenoseknowsb_objective_title,@9904_0028_thenoseknows_objective_desc,@9904_0028_thenoseknowsb_start_prompt,@9904_0028_thenoseknowsb_proposal,@9904_0028_thenoseknowsb_incomplete,@complete_available_prompt_DEFAULT,@9904_0028_thenoseknowsb_complete_available_response,,,,,,,,,
9904_0028_thenoseknowsc,MainStoryQuest,,32,,,,,9904_0028_d_00_container_thenoseknowsc,9917_MSQ_Researcher3,,99_MSQ_27e,99_MSQ_27d,,,9904_0028_thenoseknowsc_success,,,,9904_0028_thenoseknowsd,,,,false,@9904_0028_thenoseknowsc_objective_title,@9904_0028_thenoseknows_objective_desc,@9904_0028_thenoseknowsc_start_prompt,@9904_0028_thenoseknowsc_proposal,@9904_0028_thenoseknowsc_incomplete,@complete_available_prompt_DEFAULT,@9904_0028_thenoseknowsc_complete_available_response,,,,,,,,,
9904_0028_thenoseknowsd,MainStoryQuest,,32,,,,,9904_0028_d_00_container_thenoseknowsd,9918_MSQ_Researcher4,,99_MSQ_27f,99_MSQ_27e,,,9904_0028_thenoseknowsd_success,,,,9904_0028_thenoseknowse,,,,false,@9904_0028_thenoseknowsd_objective_title,@9904_0028_thenoseknows_objective_desc,@9904_0028_thenoseknowsd_start_prompt,@9904_0028_thenoseknowsd_proposal,@9904_0028_thenoseknowsd_incomplete,@complete_available_prompt_DEFAULT,@9904_0028_thenoseknowsd_complete_available_response,,,,,,,,,
