ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
0330_0101_asgoodasmyword,Journey,,,,,,,0330_0101_d_00_container_asgoodasmyword,0330_Ranger01,,03_Quest_16,99D_MSQ_06 || 99_MSQ_56,,,0330_0101_asgoodasmyword_success,,,,,,,,true,@0330_0101_asgoodasmyword_objective_title,@0330_0101_asgoodasmyword_objective_desc,@0330_0101_asgoodasmyword_start_prompt,@0330_0101_asgoodasmyword_proposal,@0330_0101_asgoodasmyword_incomplete,@complete_available_prompt_DEFAULT,@0330_0101_asgoodasmyword_complete_available_response,,,,,,,,,
0330_0102_mappingtheedgeofdespair,Journey,,,,,,,0330_0102_d_00_container_mappingtheedgeofdespair,0330_Ranger01,,03_Quest_17,03_Quest_16 && (99D_MSQ_07 || 99_MSQ_56),,,0330_0102_mappingtheedgeofdespair_success,,,,,,,,true,@0330_0102_mappingtheedgeofdespair_objective_title,@0330_0102_mappingtheedgeofdespair_objective_desc,@0330_0102_mappingtheedgeofdespair_start_prompt,@0330_0102_mappingtheedgeofdespair_proposal,@0330_0102_mappingtheedgeofdespair_incomplete,@complete_available_prompt_DEFAULT,@0330_0102_mappingtheedgeofdespair_complete_available_response,,,,,,,,,
0330_0103_pickingupthepieces,Journey,,,,,,,0330_0103_d_00_container_pickingupthepieces,0330_Ranger01,,03_Quest_18,03_Quest_17,,,0330_0103_pickingupthepieces_success,,,,,,,,true,@0330_0103_pickingupthepieces_objective_title,@0330_0103_pickingupthepieces_objective_desc,@0330_0103_pickingupthepieces_start_prompt,@0330_0103_pickingupthepieces_proposal,@0330_0103_pickingupthepieces_incomplete,@complete_available_prompt_DEFAULT,@0330_0103_pickingupthepieces_complete_available_response,,,,,,,,,
0331_0101_thebalemawbeast,Journey,,,,,,,0331_0101_d_00_container_thebalemawbeast,0331_Tracker,,03_Quest_20,99D_MSQ_04 || 99_MSQ_56,,,0331_0101_thebalemawbeast_success,,,,,,,,true,@0331_0101_thebalemawbeast_objective_title,@0331_0101_thebalemawbeast_objective_desc,@0331_0101_thebalemawbeast_start_prompt,@0331_0101_thebalemawbeast_proposal,@0331_0101_thebalemawbeast_incomplete,@complete_available_prompt_DEFAULT,@0331_0101_thebalemawbeast_complete_available_response,,,,,,,,,
0331_0102_wolvesofwinter,Journey,,,,,,,0331_0102_d_00_container_wolvesofwinter,0331_Tracker,,03_Quest_21,03_Quest_20,,,0331_0102_wolvesofwinter_success,,,,,,,,true,@0331_0102_wolvesofwinter_objective_title,@0331_0102_wolvesofwinter_objective_desc,@0331_0102_wolvesofwinter_start_prompt,@0331_0102_wolvesofwinter_proposal,@0331_0102_wolvesofwinter_incomplete,@complete_available_prompt_DEFAULT,@0331_0102_wolvesofwinter_complete_available_response,,,,,,,,,
0331_0103_thebeastreturns,Journey,,,,,,,0331_0103_d_00_container_thebeastreturns,0331_Tracker,,03_Quest_22,03_Quest_21 && (99D_MSQ_05 || 99_MSQ_56),,,0331_0103_thebeastreturns_success,,,,,,,,true,@0331_0103_thebeastreturns_objective_title,@0331_0103_thebeastreturns_objective_desc,@0331_0103_thebeastreturns_start_prompt,@0331_0103_thebeastreturns_proposal,@0331_0103_thebeastreturns_incomplete,@complete_available_prompt_DEFAULT,@0331_0103_thebeastreturns_complete_available_response,,,,,,,,,
0332_0101_aspotofluxury,Journey,,,,,,,0332_0101_d_00_container_aspotofluxury,0332_Furrier00,,03_Quest_23,99D_MSQ_01 || 99_MSQ_56,,,0332_0101_aspotofluxury_success,,,,,,,,true,@0332_0101_aspotofluxury_objective_title,@0332_0101_aspotofluxury_objective_desc,@0332_0101_aspotofluxury_start_prompt,@0332_0101_aspotofluxury_proposal,@0332_0101_aspotofluxury_incomplete,@complete_available_prompt_DEFAULT,@0332_0101_aspotofluxury_complete_available_response,,,,,,,,,
0332_0102_fabulousfurs,Journey,,,,,,,0332_0102_d_00_container_fabulousfurs,0332_Furrier02,,03_Quest_24,03_Quest_23 && (99D_MSQ_04 || 99_MSQ_56),,,0332_0102_fabulousfurs_success,,,,,,,,true,@0332_0102_fabulousfurs_objective_title,@0332_0102_fabulousfurs_objective_desc,@0332_0102_fabulousfurs_start_prompt,@0332_0102_fabulousfurs_proposal,@0332_0102_fabulousfurs_incomplete,@complete_available_prompt_DEFAULT,@0332_0102_fabulousfurs_complete_available_response,,,,,,,,,
0332_0103_puredelight,Journey,,,,,,,0332_0103_d_00_container_puredelight,0332_Furrier02,,03_Quest_25,03_Quest_24,,,0332_0103_puredelight_success,,,,,,,,true,@0332_0103_puredelight_objective_title,@0332_0103_puredelight_objective_desc,@0332_0103_puredelight_start_prompt,@0332_0103_puredelight_proposal,@0332_0103_puredelight_incomplete,@complete_available_prompt_DEFAULT,@0332_0103_puredelight_complete_available_response,,,,,,,,,
0333_0101_whiteasbone,Journey,,,,,,,0333_0101_d_00_container_whiteasbone,0333_Arcanist,,03_Quest_26,99D_MSQ_01 || 99_MSQ_56,,,0333_0101_whiteasbone_success,,,,,,,,true,@0333_0101_whiteasbone_objective_title,@0333_0101_whiteasbone_objective_desc,@0333_0101_whiteasbone_start_prompt,@0333_0101_whiteasbone_proposal,@0333_0101_whiteasbone_incomplete,@complete_available_prompt_DEFAULT,@0333_0101_whiteasbone_complete_available_response,,,,,,,,,
