ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
99D_MSQ_01_RescueWarden,MainStoryQuest,,,,,,,99D_MSQ_01_RescueWarden_container,99D_Yonas_A,,99D_MSQ_01,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),,,99D_MSQ_01_RescueWarden_success,,,,,,,,,false,@99D_MSQ_01_RescueWarden_title,@99D_MSQ_01_RescueWarden_desc,@99D_MSQ_01_RescueWarden_start_prompt,@99D_MSQ_01_RescueWarden_proposal,@99D_MSQ_01_RescueWarden_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_01_RescueWarden_completion,,,,,,,,,
99D_MSQ_02_ClimbRuins,MainStoryQuest,,,,,,,99D_MSQ_02_ClimbRuins_container,99D_Galahad_C,,99D_MSQ_02,99D_MSQ_01,,,99D_MSQ_02_ClimbRuins_success,,,,,,,,,false,@99D_MSQ_02_ClimbRuins_title,@99D_MSQ_02_ClimbRuins_desc,@99D_MSQ_02_ClimbRuins_start_prompt,@99D_MSQ_02_ClimbRuins_proposal,@99D_MSQ_02_ClimbRuins_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_02_ClimbRuins_completion,,,,,,,,,
99D_MSQ_03_ThorpeBackstory,MainStoryQuest,,,,,,,99D_MSQ_03_ThorpeBackstory_container,99D_Yonas_B,,99D_MSQ_03,99D_MSQ_02,,,99D_MSQ_03_ThorpeBackstory_success,,,,,,,,,false,@99D_MSQ_03_ThorpeBackstory_title,@99D_MSQ_03_ThorpeBackstory_desc,@99D_MSQ_03_ThorpeBackstory_start_prompt,@99D_MSQ_03_ThorpeBackstory_proposal,@99D_MSQ_03_ThorpeBackstory_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_03_ThorpeBackstory_completion,,,,,,,,,
99D_MSQ_04_DestroyMines,MainStoryQuest,,,,,,,99D_MSQ_04_DestroyMines_container,99D_Yonas_C,,99D_MSQ_04,99D_MSQ_03,,,99D_MSQ_04_DestroyMines_success,,,,,,,,,false,@99D_MSQ_04_DestroyMines_title,@99D_MSQ_04_DestroyMines_desc,@99D_MSQ_04_DestroyMines_start_prompt,@99D_MSQ_04_DestroyMines_proposal,@99D_MSQ_04_DestroyMines_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_04_DestroyMines_completion,,,,,,,,,
99D_MSQ_05_CrossBridge,MainStoryQuest,,,,,,,99D_MSQ_05_CrossBridge_container,99D_Galahad_E,,99D_MSQ_05,99D_MSQ_04,,,99D_MSQ_05_CrossBridge_success,,,,,,,,,false,@99D_MSQ_05_CrossBridge_title,@99D_MSQ_05_CrossBridge_desc,@99D_MSQ_05_CrossBridge_start_prompt,@99D_MSQ_05_CrossBridge_proposal,@99D_MSQ_05_CrossBridge_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_05_CrossBridge_completion,,,,,,,,,
99D_MSQ_06_DestroyPortals,MainStoryQuest,,,,,,,99D_MSQ_06_DestroyPortals_container,99D_Yonas_D,,99D_MSQ_06,99D_MSQ_05,,,99D_MSQ_06_DestroyPortals_success,,,,,,,,,false,@99D_MSQ_06_DestroyPortals_title,@99D_MSQ_06_DestroyPortals_desc,@99D_MSQ_06_DestroyPortals_start_prompt,@99D_MSQ_06_DestroyPortals_proposal,@99D_MSQ_06_DestroyPortals_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_06_DestroyPortals_completion,,,,,,,,,
99D_MSQ_07_PortalFight,MainStoryQuest,,,,,,,99D_MSQ_07_PortalFight_container,99D_Yonas_F,,99D_MSQ_07,99D_MSQ_06,,,99D_MSQ_07_PortalFight_success,,,,,,,,,false,@99D_MSQ_07_PortalFight_title,@99D_MSQ_07_PortalFight_desc,@99D_MSQ_07_PortalFight_start_prompt,@99D_MSQ_07_PortalFight_proposal,@99D_MSQ_07_PortalFight_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_07_PortalFight_completion,,,,,,,,,
99D_MSQ_08_ThorpeFight,MainStoryQuest,,,,,,,99D_MSQ_08_ThorpeFight_container,99D_Yash_F,,99D_MSQ_08,99D_MSQ_07,,,99D_MSQ_08_ThorpeFight_success,,,,,,,,,false,@99D_MSQ_08_ThorpeFight_title,@99D_MSQ_08_ThorpeFight_desc,@99D_MSQ_08_ThorpeFight_start_prompt,@99D_MSQ_08_ThorpeFight_proposal,@99D_MSQ_08_ThorpeFight_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_08_ThorpeFight_completion,,,,,,,,,
99D_MSQ_09_Outpost,MainStoryQuest,,,,,,,99D_MSQ_09_Outpost_container,99D_Grace,,99D_MSQ_09,99D_MSQ_08,,,99D_MSQ_09_Outpost_success,,,,,,,,,false,@99D_MSQ_09_Outpost_title,@99D_MSQ_09_Outpost_desc,@99D_MSQ_09_Outpost_start_prompt,@99D_MSQ_09_Outpost_proposal,@99D_MSQ_09_Outpost_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_09_Outpost_completion,,,,,,,,,
99D_MSQ_10_CaerDun,MainStoryQuest,,,,,,,99D_MSQ_10_CaerDun_container,99E_Sun_p1,,99D_MSQ_10,99D_MSQ_09,,,99D_MSQ_10_CaerDun_success,,,,,,,,,false,@99D_MSQ_10_CaerDun_title,@99D_MSQ_10_CaerDun_desc,@99D_MSQ_10_CaerDun_start_prompt,@99D_MSQ_10_CaerDun_proposal,@99D_MSQ_10_CaerDun_incomplete,@complete_available_prompt_DEFAULT,@99D_MSQ_10_CaerDun_completion,,,,,,,,,
