ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon,ScheduleId,ObjectiveOnCooldownResponse,ShouldResetInProgressQuestOnScheduleEnd
C10A_M1_CutlassKeys,MainStoryQuest,,65,,,,,C10A_M1_Container_Main,C10A_Patricia,,C10A_M1,,,65,C10A_M1_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_M1_Title,@C10A_M1_Description,@C10A_M1_Prompt,@C10A_M1_Proposal,@C10A_M1_Incomplete,@complete_available_prompt_DEFAULT,@C10A_M1_Complete,,,,,,,,,,,,
C10A_M2_CursedDoubloons,MainStoryQuest,,65,,,,,C10A_M2_Container_Main,C10A_Grimm,,C10A_M2,,,65,C10A_M2_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_M2_Title,@C10A_M2_Description,@C10A_M2_Prompt,@C10A_M2_Proposal,@C10A_M2_Incomplete,@complete_available_prompt_DEFAULT,@C10A_M2_Complete,,,,,,,,,,,,
C10A_M3_MedusaRaidVector,MainStoryQuest,,70,,,,,C10A_M3_Container_Main,C10A_Trahern,,C10A_M3,,,65,C10A_M3_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_M3_Title,@C10A_M3_Description,@C10A_M3_Prompt,@C10A_M3_Proposal,@C10A_M3_Incomplete,@complete_available_prompt_DEFAULT,@C10A_M3_Complete,,,,,,,,,,,,
C10A_M4_MedusaRaid,MainStoryQuest,,70,,,,,C10A_M4_Container_Main,C10A_Trahern,,C10A_M4,C10A_M3,,65,C10A_M4_Success,,,,,CK_PVEResource_DoubloonToken,2000,,true,,@C10A_M4_Title,@C10A_M4_Description,@1039_RAID_Eggs_start_prompt,@1039_RAID_Eggs_proposal,@1039_RAID_Eggs_Incomplete,@complete_available_prompt_DEFAULT,@1039_RAID_Eggs_Complete,,,,,,,,,,,,
C10A_Q1_Build,Journey,,65,,,,,C10A_Q1_Container_Main,C10A_Arnold,,C10A_Q1,,,65,C10A_Q1_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_Q1_Title,@C10A_Q1_Description,@C10A_Q1_Prompt,@C10A_Q1_Proposal,@C10A_Q1_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q1_Complete,,,,,,,,,,,,
C10A_Q2_FreePirates,Journey,,65,,,,,C10A_Q2_Container_Main,C10A_Bronn,,C10A_Q2,,,65,C10A_Q2_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_Q2_Title,@C10A_Q2_Description,@C10A_Q2_Prompt,@C10A_Q2_Proposal,@C10A_Q2_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q2_Complete,,,,,,,,,,,,
C10A_Q3_Revelation,Journey,,67,,,,,C10A_Q3_Container_Main,C10A_Billiam,,C10A_Q3,,,65,C10A_Q3_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_Q3_Title,@C10A_Q3_Description,@C10A_Q3_Prompt,@C10A_Q3_Proposal,@C10A_Q3_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q3_Complete,,,,,,,,,,,,
C10A_Q4_SpectralArtifacts,Journey,,65,,,,,C10A_Q4_Container_Main,C10A_Kasper,,C10A_Q4,,,65,C10A_Q4_Success,,,,,CK_PVEResource_DoubloonToken,45,,true,,@C10A_Q4_Title,@C10A_Q4_Description,@C10A_Q4_Prompt,@C10A_Q4_Proposal,@C10A_Q4_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q4_Complete,,,,,,,,,,,,
C10A_Q5_Souls,Journey,,65,,,,,C10A_Q5_Container_Main,C10A_Rosina,,C10A_Q5,,,65,C10A_Q5_Success,,,,,CK_PVEResource_DoubloonToken,45,,true,,@C10A_Q5_Title,@C10A_Q5_Description,@C10A_Q5_Prompt,@C10A_Q5_Proposal,@C10A_Q5_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q5_Complete,,,,,,,,,,,,
C10A_Q6_Citadel,Journey,,70,,,,,C10A_Q6_Container_Main,C10A_Decima,,C10A_Q6,,,65,C10A_Q6_Success,,,,,CK_PVEResource_DoubloonToken,45,,true,,@C10A_Q6_Title,@C10A_Q6_Description,@C10A_Q6_Prompt,@C10A_Q6_Proposal,@C10A_Q6_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q6_Complete,,,,,,,,,,,,
