ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
01_SoleSurvivor,MainStoryQuest,,1,,,,,01_SoleSurvivor_Container,,,,!S_introtosettlement,,,,,,,01_SoleSurvivor2,,,,,true,@01_SoleSurvivor_title,@01_SoleSurvivor_desc,@01_SoleSurvivor_start_prompt,@01_SoleSurvivor_proposal,@01_SoleSurvivor_incomplete,@complete_available_prompt_DEFAULT,@01_SoleSurvivor_complete,,,,,,,,,
01_SoleSurvivor2,MainStoryQuest,,1,,,,,01_SoleSurvivor2_Container,,,,!S_introtosettlement,,,,,,,,,,,,true,@01_SoleSurvivor_title,@01_SoleSurvivor2_desc,@prompt_DEFAULT,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
06_getoffbeach,MainStoryQuest,,1,,,,,06_getoffbeach_container,01_ReeseWW_01,6,S_getoffbeach_ww,!S_introtosettlement,,,S_getoffbeach_success,,,,,,,,,true,@01_GetOffBeach_title,@01_GetOffBeach_description,@01_skinningknife_start_prompt,@01_skinningknife_proposal,@01_skinningknife_incomplete,@complete_available_prompt_DEFAULT,@01_GetOffBeach_complete,,,true,,,,,,
12_getoffbeach,MainStoryQuest,,1,,,,,12_getoffbeach_container,01_ReeseMB_01,12,S_getoffbeach_mb,!S_introtosettlement,,,S_getoffbeach_success,,,,,,,,,true,@01_GetOffBeach_title,@01_GetOffBeach_description,@01_skinningknife_start_prompt,@01_skinningknife_proposal,@01_skinningknife_incomplete,@complete_available_prompt_DEFAULT,@01_GetOffBeach_complete,,,true,,,,,,
06_skinningknife,MainStoryQuest,,1,,,,,06_skinningknife_container,01_ReeseWW_02,6,S_skinningknife,S_getoffbeach_ww,,,01_skinningknife_success,,,,,,,,,false,@01_skinningknife_title,@01_skinningknife_description,@01_skinningknife_start_prompt,@01_skinningknife_proposal,@01_skinningknife_incomplete,@complete_available_prompt_DEFAULT,@01_skinningknife_complete,,,,,,,,,
12_skinningknife,MainStoryQuest,,1,,,,,12_skinningknife_container,01_ReeseMB_02,12,S_skinningknife_mb,S_getoffbeach_mb,,,01_skinningknife_success,,,,,,,,,false,@01_skinningknife_title,@01_skinningknife_description,@01_skinningknife_start_prompt,@01_skinningknife_proposal,@01_skinningknife_incomplete,@complete_available_prompt_DEFAULT,@01_skinningknife_complete,,,,,,,,,
06_boarfeast,MainStoryQuest,,2,,,,,06_boarfeast_container,01_ReeseWW_02,6,S_boarfeast,S_skinningknife,,,01_boarfeast_success,,,,,,,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt,@01_boarfeast_proposal,@01_boarfeast_incomplete,@complete_available_prompt_DEFAULT,@01_boarfeast_complete,,,,,,,,,
12_boarfeast,MainStoryQuest,,2,,,,,12_boarfeast_container,01_ReeseMB_02,12,S_boarfeast_mb,S_skinningknife_mb,,,01_boarfeast_success,,,,,,,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt,@01_boarfeast_proposal,@01_boarfeast_incomplete,@complete_available_prompt_DEFAULT,@01_boarfeast_complete,,,,,,,,,
06_crewmates,MainStoryQuest,,2,,,,,06_crewmates_container,01_ReeseWW_02,6,S_crewmates,S_boarfeast,,,01_crewmates_success,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt,@01_crewmates_proposal,@01_crewmates_incomplete,@complete_available_prompt_DEFAULT,@01_crewmates_complete,,,,,,,,,
12_crewmates,MainStoryQuest,,2,,,,,12_crewmates_container,01_ReeseMB_02,12,S_crewmates_mb,S_boarfeast_mb,,,01_crewmates_success,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt,@01_crewmates_proposal,@01_crewmates_incomplete,@complete_available_prompt_DEFAULT,@01_crewmates_complete,,,,,,,,,
06_survivors,MainStoryQuest,,3,,,,,06_survivors_container,01_GraceWW_01,6,S_survivors,S_crewmates,,,01_06_survivors_success,,,,,,,,,false,@01_survivors_title,@01_recoveritems_description,@01_survivors_start_prompt,@01_survivors_proposal,@01_survivors_incomplete,@complete_available_prompt_DEFAULT,@01_survivors_complete,,,,,,,,,
12_survivors,MainStoryQuest,,3,,,,,12_survivors_container,01_GraceMB_01,12,S_survivors_mb,S_crewmates_mb,,,01_survivors_success,,,,,,,,,false,@01_survivors_title,@01_recoveritems_description,@01_survivors_start_prompt,@01_survivors_proposal,@01_survivors_incomplete,@complete_available_prompt_DEFAULT,@01_survivors_complete,,,,,,,,,
06_pillageship,MainStoryQuest,,3,,,,,06_pillageship_container,01_GraceWW_02,6,S_pillageship,S_survivors,,,01_06_pillageship_success,,,,,,,,,false,@01_pillageship_title,@01_pillageship_description,@01_pillageship_start_prompt,@01_pillageship_proposal,@01_pillageship_incomplete,@complete_available_prompt_DEFAULT,@01_pillageship_complete,,,,,,,,,
12_pillageship,MainStoryQuest,,3,,,,,12_pillageship_container,01_GraceMB_02,12,S_pillageship_mb,S_survivors_mb,,,01_pillageship_success,,,,,,,,,false,@01_pillageship_title,@01_pillageship_description,@01_pillageship_start_prompt,@01_pillageship_proposal,@01_pillageship_incomplete,@complete_available_prompt_DEFAULT,@01_pillageship_complete,,,,,,,,,
06_recoveritems,MainStoryQuest,,4,,,,,06_recoveritems_container,01_ReeseWW_02,6,S_recoveritems,S_pillageship,,,01_06_recoveritems_success,,,,,,,,,false,@01_recoveritems_title,@01_recoveritems_description,@01_recoveritems_start_prompt,@01_recoveritems_proposal,@01_recoveritems_incomplete,@complete_available_prompt_DEFAULT,@01_recoveritems_complete,,,,,,,,,
12_recoveritems,MainStoryQuest,,4,,,,,12_recoveritems_container,01_ReeseMB_02,12,S_recoveritems_mb,S_pillageship_mb,,,01_recoveritems_success,,,,,,,,,false,@01_recoveritems_title,@01_recoveritems_description,@01_recoveritems_start_prompt,@01_recoveritems_proposal,@01_recoveritems_incomplete,@complete_available_prompt_DEFAULT,@01_recoveritems_complete,,,,,,,,,
06_demonstorm,MainStoryQuest,,5,,,,,06_demonstorm_container,01_ReeseWW_03,6,S_demonstorm,S_recoveritems,,,01_demonstorm_success,,,,,,,,,false,@01_demonstorm_title,@01_demonstorm_description,@01_demonstorm_start_prompt,@01_demonstorm_proposal,@01_demonstorm_incomplete,@complete_available_prompt_DEFAULT,@01_demonstorm_complete,,,,,,,,,
12_demonstorm,MainStoryQuest,,5,,,,,12_demonstorm_container,01_ReeseMB_03,12,S_demonstorm_mb,S_recoveritems_mb,,,01_demonstorm_success,,,,,,,,,false,@01_demonstorm_title,@01_demonstorm_description,@01_demonstorm_start_prompt,@01_demonstorm_proposal,@01_demonstorm_incomplete,@complete_available_prompt_DEFAULT,@01_demonstorm_complete,,,,,,,,,
06_demonstorm2,MainStoryQuest,,5,,,,,06_demonstorm2_container,01_ReeseWW_02,6,S_demonstorm2,S_demonstorm,,,01_demonstorm2_success,,,,,,,,,false,@01_demonstorm2_title,@01_demonstorm2_description,@01_demonstorm2_start_prompt,@01_demonstorm2_proposal,@01_demonstorm2_incomplete,@complete_available_prompt_DEFAULT,@01_demonstorm2_complete,,,,,,,,,
12_demonstorm2,MainStoryQuest,,5,,,,,12_demonstorm2_container,01_ReeseMB_02,12,S_demonstorm2_mb,S_demonstorm_mb,,,01_demonstorm2_success,,,,,,,,,false,@01_demonstorm2_title,@01_demonstorm2_description,@01_demonstorm2_start_prompt,@01_demonstorm2_proposal,@01_demonstorm2_incomplete,@complete_available_prompt_DEFAULT,@01_demonstorm2_complete,,,,,,,,,
06_raisealarm,MainStoryQuest,,5,,,,,06_raisealarm_container,06_MarcelDupont01,6,S_introtosettlement,S_demonstorm2,,,01_raisealarm_success,,,,,,,,,false,@01_raisealarm_title,@01_raisealarm_description_06,@01_raisealarm_start_prompt,@01_raisealarm_proposal,@01_raisealarm_incomplete,@complete_available_prompt_DEFAULT,@01_raisealarm_complete_06,,,,,,,,,
