ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId
13_Summer_01_Welcome,Event,,20,,,,,13_Summer_01_Welcome_container,1338_MasterOfCeremonies,,13_Summer_01_2023,,,,13_Summer_01_Welcome_success,,,,,13_Summer_01_QuestReward,1,,true,@13_Summer_01_Welcome_objective_title,@13_Summer_01_Welcome_description,@13_Summer_01_Welcome_prompt,@13_Summer_01_Welcome_proposal,@13_Summer_01_Welcome_incomplete,@complete_available_prompt_DEFAULT,@13_Summer_01_Welcome_complete,,,,,,,,,,EventSummer
13_Summer_02_Maudlinbugs,Event,,20,,,,,13_Summer_02_Maudlinbugs_container,1338_MasterOfCeremonies,,13_Summer_02_2023,13_Summer_01_2023,,,13_Summer_02_Maudlinbugs_success,,,,,13_Summer_02_QuestReward,1,,true,@13_Summer_02_Maudlinbugs_objective_title,@13_Summer_02_Maudlinbugs_description,@13_Summer_02_Maudlinbugs_prompt,@13_Summer_02_Maudlinbugs_proposal,@13_Summer_02_Maudlinbugs_incomplete,@complete_available_prompt_DEFAULT,@13_Summer_02_Maudlinbugs_complete,,,,,,,,,,EventSummer
13_Summer_03_CatchSturgeon,Event,,20,,,,,13_Summer_03_CatchSturgeon_container,1338_MasterOfCeremonies,,13_Summer_03_2023,13_Summer_02_2023,,,13_Summer_03_CatchSturgeon_success,,,,,13_Summer_03_QuestReward,1,,false,@13_Summer_03_CatchSturgeon_objective_title,@13_Summer_03_CatchSturgeon_description,@13_Summer_03_CatchSturgeon_prompt,@13_Summer_03_CatchSturgeon_proposal,@13_Summer_03_CatchSturgeon_incomplete,@complete_available_prompt_DEFAULT,@13_Summer_03_CatchSturgeon_complete,,,,,,,,,,EventSummer
13_Summer_04_Carpenter,Event,,20,,,,,13_Summer_04_Carpenter_container,1338_MasterOfCeremonies,,13_Summer_04_2023,13_Summer_03_2023,,,13_Summer_04_Carpenter_success,,,,,13_Summer_04_QuestReward,1,,true,@13_Summer_04_Carpenter_objective_title,@13_Summer_04_Carpenter_description,@13_Summer_04_Carpenter_prompt,@13_Summer_04_Carpenter_proposal,@13_Summer_04_Carpenter_incomplete,@complete_available_prompt_DEFAULT,@13_Summer_04_Carpenter_complete,,,,,,,,,,EventSummer
13_Summer_05_Florist,Event,,20,,,,,13_Summer_05_Florist_container,1338_MasterOfCeremonies,,13_Summer_05_2023,13_Summer_04_2023,,,13_Summer_05_Florist_success,,,,,13_Summer_05_QuestReward,1,,true,@13_Summer_05_Florist_objective_title,@13_Summer_05_Florist_description,@13_Summer_05_Florist_prompt,@13_Summer_05_Florist_proposal,@13_Summer_05_Florist_incomplete,@complete_available_prompt_DEFAULT,@13_Summer_05_Florist_complete,,,,,,,,,,EventSummer
13_Summer_06_Beekeep,Event,,20,,,,,13_Summer_06_Beekeep_container,1338_MasterOfCeremonies,,13_Summer_06_2023,13_Summer_05_2023,,,13_Summer_06_Beekeep_success,,,,,13_Summer_06_QuestReward,1,,true,@13_Summer_06_Beekeep_objective_title,@13_Summer_06_Beekeep_description,@13_Summer_06_Beekeep_prompt,@13_Summer_06_Beekeep_proposal,@13_Summer_06_Beekeep_incomplete,@complete_available_prompt_DEFAULT,@13_Summer_06_Beekeep_complete,,,,,,,,,,EventSummer
13_Summer_07_Baker,Event,,20,,,,,13_Summer_07_Baker_container,1338_MasterOfCeremonies,,13_Summer_07_2023,13_Summer_06_2023,,,13_Summer_07_Baker_success,,,,,13_Summer_07_QuestReward,1,,true,@13_Summer_07_Baker_objective_title,@13_Summer_07_Baker_description,@13_Summer_07_Baker_prompt,@13_Summer_07_Baker_proposal,@13_Summer_07_Baker_incomplete,@complete_available_prompt_DEFAULT,@13_Summer_07_Baker_complete,,,,,,,,,,EventSummer
13_Summer_08_Poet,Event,,20,,,,,13_Summer_08_Poet_container,1338_MasterOfCeremonies,,13_Summer_08_2023,13_Summer_07_2023,,,13_Summer_08_Poet_success,,,,,13_Summer_08_QuestReward,1,,true,@13_Summer_08_Poet_objective_title,@13_Summer_08_Poet_description,@13_Summer_08_Poet_prompt,@13_Summer_08_Poet_proposal,@13_Summer_08_Poet_incomplete,@complete_available_prompt_DEFAULT,@13_Summer_08_Poet_complete,,,,,,,,,,EventSummer
13_Summer_09_PlayWithBand,Event,,20,,,,,13_Summer_09_PlayWithBand_container,1338_MasterOfCeremonies,,13_Summer_09_2023,13_Summer_08_2023,,,13_Summer_09_PlayWithBand_success,,,,,13_Summer_09_QuestReward,1,,true,@13_Summer_09_PlayWithBand_objective_title,@13_Summer_09_PlayWithBand_description,@13_Summer_09_PlayWithBand_prompt,@13_Summer_09_PlayWithBand_proposal,@13_Summer_09_PlayWithBand_incomplete,@complete_available_prompt_DEFAULT,@13_Summer_09_PlayWithBand_complete,,,,,,,,,,EventSummer
FM_1301_objective,Mission,,,,,true,true,FM_1301_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1302_objective,Mission,,,,,true,true,FM_1302_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1303_objective,Mission,,,,,true,true,FM_1303_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1304_objective,Mission,,,,,true,true,FM_1304_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1305_objective,Mission,,,,,true,true,FM_1305_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1306_objective,Mission,,,,,true,true,FM_1306_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1307_objective,Mission,,,,,true,true,FM_1307_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1308_objective,Mission,,,,,true,true,FM_1308_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1309_objective,Mission,,,,,true,true,FM_1309_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1310_objective,Mission,,,,,true,true,FM_1310_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1301_objective,Mission,,,,,true,true,FM_S_1301_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1302_objective,Mission,,,,,true,true,FM_S_1302_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1303_objective,Mission,,,,,true,true,FM_S_1303_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1304_objective,Mission,,,,,true,true,FM_S_1304_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1305_objective,Mission,,,,,true,true,FM_S_1305_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1306_objective,Mission,,,,,true,true,FM_S_1306_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1307_objective,Mission,,,,,true,true,FM_S_1307_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1308_objective,Mission,,,,,true,true,FM_S_1308_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1309_objective,Mission,,,,,true,true,FM_S_1309_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1310_objective,Mission,,,,,true,true,FM_S_1310_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1301_objective,Mission,,,,,true,true,FM_C_1301_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1302_objective,Mission,,,,,true,true,FM_C_1302_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1303_objective,Mission,,,,,true,true,FM_C_1303_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1304_objective,Mission,,,,,true,true,FM_C_1304_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1305_objective,Mission,,,,,true,true,FM_C_1305_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1306_objective,Mission,,,,,true,true,FM_C_1306_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1307_objective,Mission,,,,,true,true,FM_C_1307_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1308_objective,Mission,,,,,true,true,FM_C_1308_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1309_objective,Mission,,,,,true,true,FM_C_1309_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1310_objective,Mission,,,,,true,true,FM_C_1310_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1361_objective,Mission,,,,,true,true,FM_1361_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1362_objective,Mission,,,,,true,true,FM_1362_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1363_objective,Mission,,,,,true,true,FM_1363_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1364_objective,Mission,,,,,true,true,FM_1364_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1365_objective,Mission,,,,,true,true,FM_1365_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1366_objective,Mission,,,,,true,true,FM_1366_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1367_objective,Mission,,,,,true,true,FM_1367_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1368_objective,Mission,,,,,true,true,FM_1368_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1369_objective,Mission,,,,,true,true,FM_1369_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_1370_objective,Mission,,,,,true,true,FM_1370_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1361_objective,Mission,,,,,true,true,FM_S_1361_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1362_objective,Mission,,,,,true,true,FM_S_1362_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1363_objective,Mission,,,,,true,true,FM_S_1363_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1364_objective,Mission,,,,,true,true,FM_S_1364_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1365_objective,Mission,,,,,true,true,FM_S_1365_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1366_objective,Mission,,,,,true,true,FM_S_1366_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1367_objective,Mission,,,,,true,true,FM_S_1367_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1368_objective,Mission,,,,,true,true,FM_S_1368_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1369_objective,Mission,,,,,true,true,FM_S_1369_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_1370_objective,Mission,,,,,true,true,FM_S_1370_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1361_objective,Mission,,,,,true,true,FM_C_1361_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1362_objective,Mission,,,,,true,true,FM_C_1362_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1363_objective,Mission,,,,,true,true,FM_C_1363_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1364_objective,Mission,,,,,true,true,FM_C_1364_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1365_objective,Mission,,,,,true,true,FM_C_1365_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1366_objective,Mission,,,,,true,true,FM_C_1366_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1367_objective,Mission,,,,,true,true,FM_C_1367_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1368_objective,Mission,,,,,true,true,FM_C_1368_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1369_objective,Mission,,,,,true,true,FM_C_1369_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_1370_objective,Mission,,,,,true,true,FM_C_1370_container,,13,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_13_PVP_SpySpot_Marauder_objective,Mission,,,,true,true,false,FM_13_PVP_SpySpot_Marauder_container,,13,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,
FM_13_PVP_PoachSpot_Marauder_objective,Mission,,,,true,true,false,FM_13_PVP_PoachSpot_Marauder_container,,13,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,
FM_13_PVP_ControlSpot_Marauder_objective,Mission,,,,true,true,false,FM_13_PVP_ControlSpot_Marauder_container,,13,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,
