ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,SuccessGameEventId,FailureGameEventId,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,EntitlementId,QuestArcTag,SkipReqAchievmentWhenInvalid
7404_0101_devworldredkillwitheredquest,Journey,,1,,,,,7404_0101_d_00_container_devworldredkillwitheredquest,7404_Overseer,,S_devworldred_killwitheredquest,,7404_0101_devworldredkillwitheredquest_success,,,,,,,false,@7404_0101_devworldredkillwitheredatfarm_objective_title,@7404_0101_devworldredkillwitheredatfarm_objective_desc,@prompt_DEFAULT,@7404_0101_devworldredkillwitheredatfarm_proposal,@7404_0101_devworldredkillwitheredatfarm_incomplete,@complete_available_prompt_DEFAULT,@7404_0101_devworldredkillwitheredatfarm_complete_available_response,,,,,,
7405_0101_devworldredgetfarmlootquest,Journey,,1,,,,,7405_0101_d_00_container_devworldredgetfarmlootquest,7405_Artificer,,S_devworldred_getfarmlootquest,,7405_0101_devworldredgetfarmlootquest_success,,,,,,,false,@7405_0101_devworldredgetfarmloot_objective_title,@7405_0101_devworldredgetfarmloot_objective_desc,@prompt_DEFAULT,@7405_0101_devworldredgetfarmloot_proposal,@7405_0101_devworldredgetfarmloot_incomplete,@complete_available_prompt_DEFAULT,@7405_0101_devworldredgetfarmloot_complete_availaible_response,,,,,,
74_0101_devworldreddefendobjectquest,Journey,,1,,,,,74_0101_devworldreddefendobjectquest_container,,,,,74_0101_devworldreddefendobjectquest_success,,,,,,,false,@0524_0103_shiveringtimbers_objective_title,@0524_0103_shiveringtimbers_objective_desc,@prompt_DEFAULT,@0524_0103_shiveringtimbers_proposal,@0524_0103_shiveringtimbers_incomplete,@complete_available_prompt_DEFAULT,@0524_0103_shiveringtimbers_complete_available_response,,,,,,
74_Basic_Mission_1,Mission,,1,,,true,true,7405_0101_d_00_container_devworldredgetfarmlootquest,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,Title for mission,,,,,,,,,,,,
AC_Test_1,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_1,debug_9 && debug_12 && debug_38,,,,,,,,,,,,,,,,,,,,,
AC_Test_2,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_2,,,,,,,,,,,,,,,,,,,,,,
AC_Test_3,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_3,,,,,,,,,,,,,,,,,,,,,,
AC_Test_4,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_4,debug_2,,,,,,,,,,,,,,,,,,,,,
AC_Test_5,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_5,!debug_2,,,,,,,,,,,,,,,,,,,,,
AC_Test_6,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_6,debug_2 && debug_3,,,,,,,,,,,,,,,,,,,,,
