ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
04_getoffbeach,MainStoryQuest,,1,,,,,0401_0100_d_00_container_getoffbeach,0401_Watcher,4,S_getoffbeach,,,,S_getoffbeach_success,,,,,,,,,false,@title_getoffbeach,@desc_getoffbeach,@prompt_DEFAULT,@proposal_getoffbeach,@incomplete_getoffbeach,@complete_available_prompt_DEFAULT,@complete_available_response_getoffbeach_04,,,TRUE,,,,,,
0401_0101_culldrowned,MainStoryQuest,,,,,,,0401_0101_d_00_container_culldrowned,0401_Watcher,4,S_culldrowned,,,,0401_0101_culldrowned_success,,,,,,,,,false,@0401_0101_culldrowned_objective_title,@0401_0101_culldrowned_objective_desc,@0401_0101_culldrowned_start_prompt,@0401_0101_culldrowned_proposal,@0401_0101_culldrowned_incomplete,@complete_available_prompt_DEFAULT,@0401_0101_culldrowned_complete_availaible_response,,,,,,,,,
0401_0102_campandtools,MainStoryQuest,,1,,,,,0401_0102_d_00_container_campandtools,0401_Watcher,4,S_campandtools,,,,0401_0102_campandtools_success,,,,,,,,,false,@0401_0102_campandtools_objective_title,@0401_0102_campandtools_objective_desc,@0401_0102_campandtools_proposal_prompt,@0401_0102_campandtools_proposal_next,@0401_0102_campandtools_incomplete,@complete_available_prompt_DEFAULT,@0401_0102_campandtools_complete_availaible_response,,,,,,,,,
0401_0103_boarproblem,MainStoryQuest,,2,,,,,0401_0103_d_00_container_boarproblem,0401_Watcher,4,S_boarproblem,S_campandtools,,,0401_0103_boarproblem_success,,,,,,,,,false,@0401_0103_boarproblem_objective_title,@0401_0103_boarproblem_objective_desc,@0401_0103_boarproblem_start_prompt,@0401_0103_boarproblem_incomplete,@0401_0103_boarproblem_incomplete,@complete_available_prompt_DEFAULT,@0401_0103_boarproblem_complete_availaible_response,,,,,,,,,
0401_0104_xmarksthespot_p1,MainStoryQuest,,,,,,,0401_0104_d_00_container_xmarksthespot_p1,0401_Watcher,4,S_xmarksthespot_p1,,,,0401_0104_xmarksthespot_p1_success,,,,,,,,,false,@0401_0104_xmarksthespot_p1_objective_title,@0401_0104_xmarksthespot_p1_objective_desc,@0401_0104_xmarksthespot_p1_start_prompt,@0401_0104_xmarksthespot_p1_proposal,@0401_0104_xmarksthespot_p1_incomplete,@complete_available_prompt_DEFAULT,@0401_0104_xmarksthespot_p1_complete_availaible_response,,,,,,,,,
0401_0107_preciouscargo,MainStoryQuest,,,,,,,0401_0107_d_00_container_preciouscargo,0401_Watcher,4,S_preciouscargo,,,,0401_0107_preciouscargo_success,,,,,,,,,false,@0401_0107_preciouscargo_objective_title,@0401_0107_preciouscargo_objective_desc,@0401_0107_preciouscargo_start_prompt,@0401_0107_preciouscargo_proposal,@0401_0107_preciouscargo_incomplete,@complete_available_prompt_DEFAULT,@0401_0107_preciouscargo_complete_availaible_response,,,,,,,,,
0401_0108_introtosettlement,MainStoryQuest,,3,,,,,0401_0108_d_00_container_introtosettlement,0404_Overseer,4,S_introtosettlement,,,,0401_0108_introtosettlement_success,,,,,,,,,false,@0401_0108_introtosettlement_objective_title,@0401_0108_introtosettlement_objective_desc,@0401_0108_introtosettlement_start_prompt,@0401_0108_introtosettlement_proposal,@0401_0108_introtosettlement_incomplete,@complete_available_prompt_DEFAULT,@0401_0108_introtosettlement_complete_availaible_response,,,,,,,,,
0425_0101_truffles,Journey,,3,,,,,0425_0101_d_00_container_truffles,0425_HerbalistEF_Town,4,S_truffles,,,,0425_0101_truffles_success,,,,,,,,,false,@0425_0101_truffles_title,@0425_0101_truffles_desc,@0425_0101_truffles_start_prompt,@0425_0101_truffles_proposal,@0425_0101_truffles_incomplete,@complete_available_prompt_DEFAULT,@0425_0101_truffles_complete,,,,,,,,,
0401_0108_warnmagistrate,MainStoryQuest,,3,,,,,0401_0108_d_00_container_warnmagistrate,0402_Magistrate,4,S_warnmagistrate,,,,0401_0108_warnmagistrate_success,,,,,,,,,false,@0401_0108_warnmagistrate_objective_title,@0401_0108_warnmagistrate_objective_desc,@0404_0499_TheHermitEF_start_prompt,@0404_0499_TheHermitEF_proposal,@0401_0108_warnmagistrate_incomplete,@complete_available_prompt_DEFAULT,@0401_0108_warnmagistrate_complete_availaible_response,,,,,,,,,
0406_0103_hearthandhome,MainStoryQuest,,3,,,,,0406_0103_d_00_container_hearthandhome,0402_Magistrate,4,S_hearthhome,,,,0406_0103_hearthandhome_success,,,,,,,,,false,@0406_0103_a_Title,@0406_0103_b_Description,@0406_0103_c_start_prompt,@0406_0103_c_Proposal,@0406_0103_e_Incomplete,@complete_available_prompt_DEFAULT,@0406_0103_f_Complete,,,,,,,,,
