ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId
09A_M1_EnterZone_EG,MainStoryQuest,,60,,,,,09A_M1_EG_Container_Main,09a_Morgaine_WC,,09A_M1,,,60,09A_M1_Success,,,,,09A_M1_Flask,1,,false,,@09A_M1_Title,@09A_M1_Description,@09A_M1_Prompt,@09A_M1_Proposal,@09A_M1_Incomplete,@complete_available_prompt_DEFAULT,@09A_M1_Completed,,,,,,,,,,
09A_M1_EnterZone_SM,MainStoryQuest,,60,,,,,09A_M1_SM_Container_Main,09a_Morgaine_WC,,09A_M1,,,60,09A_M1_Success,,,,,09A_M1_Flask,1,,false,,@09A_M1_Title,@09A_M1_Description,@09A_M1_Prompt,@09A_M1_Proposal,@09A_M1_Incomplete,@complete_available_prompt_DEFAULT,@09A_M1_Completed,,,,,,,,,,
09A_M1_EnterZone_RW,MainStoryQuest,,60,,,,,09A_M1_RW_Container_Main,09a_Morgaine_WC,,09A_M1,,,60,09A_M1_Success,,,,,09A_M1_Flask,1,,false,,@09A_M1_Title,@09A_M1_Description,@09A_M1_Prompt,@09A_M1_Proposal,@09A_M1_Incomplete,@complete_available_prompt_DEFAULT,@09A_M1_Completed,,,,,,,,,,
09A_M2_FindOakes,MainStoryQuest,,62,,,,,09A_M2_Container_Main,09a_Morgaine_WC,,09A_M2,09A_M1,,60,09A_M2_Success,,,,,PotionFamilyWardAngryEarthT4,10,,false,,@09A_M2_Title,@09A_M2_Description,@09A_M2_Prompt,@09A_M2_Proposal,@09A_M2_Incomplete,@complete_available_prompt_DEFAULT,@09A_M2_Completed,,,,,,,,,,
09A_M3_EnterJungle,MainStoryQuest,,63,,,,,09A_M3_Container_Main,09a_Hargest_NE_C,,09A_M3,09A_M2,,60,09A_M3_Success,,,,,GypsumOrb,2,,false,,@09A_M3_Title,@09A_M3_Description,@09A_M3_Prompt,@09A_M3_Proposal,@09A_M3_Incomplete,@complete_available_prompt_DEFAULT,@09A_M3_Completed,,,,,,,,,,
09A_M4_ReachSettlement,MainStoryQuest,,63,,,,,09A_M4_Container_Main,09a_Riches_M5,,09A_M4,09A_M3,,60,09A_M4_Success,,,,,,,,false,,@09A_M4_Title,@09A_M4_Description,@09A_M4_Prompt,@09A_M4_Proposal,@09A_M4_Incomplete,@complete_available_prompt_DEFAULT,@09A_M4_Completed,,,,,,,,,,
09A_M5_DefendSettlement,MainStoryQuest,,64,,,,,09A_M5_Container_Main,09a_Riches_M5,,09A_M5,09A_M4,,60,09A_M5_Success,,,,,,,,false,,@09A_M5_Title,@09A_M5_Description,@09A_M5_Prompt,@09A_M5_Proposal,@09A_M5_Incomplete,@complete_available_prompt_DEFAULT,@09A_M5_Completed,,,,,,,,,,
09A_M6_FindKim,MainStoryQuest,,63,,,,,09A_M6_Container_Main,09a_Kim,,09A_M6,09A_M5,,60,09A_M6_Success,,,,,GypsumOrb,2,,false,,@09A_M6_Title,@09A_M6_Description,@09A_M6_Prompt,@09A_M6_Proposal,@09A_M6_Incomplete,@complete_available_prompt_DEFAULT,@09A_M6_Completed,,,,,,,,,,
09A_M7_ExtractKim,MainStoryQuest,,65,,,,,09A_M7_Container_Main,09a_Kim_SC,,09A_M7,09A_M6,,60,09A_M7_Success,,,,,,,,false,,@09A_M7_Title,@09A_M7_Description,@09A_M7_Prompt,@09A_M7_Proposal,@09A_M7_Incomplete,@complete_available_prompt_DEFAULT,@09A_M7_Completed,,,,,,,,,,
09A_M8_MeetTaurus,MainStoryQuest,,61,,,,,09A_M8_Container_Main,09a_Taurus,,09A_M8,09A_M7,,60,09A_M8_Success,,,,,GypsumOrb,4,,false,,@09A_M8_Title,@09A_M8_Description,@09A_M8_Prompt,@09A_M8_Proposal,@09A_M8_Incomplete,@complete_available_prompt_DEFAULT,@09A_M8_Completed,,,,,,,,,,
09A_M9_MeetShirzad,MainStoryQuest,,65,,,,,09A_M9_Container_Main,09a_Shirzad,,09A_M9,09A_M8,,60,09A_M9_Success,,,,,GypsumOrb,2,,false,,@09A_M9_Title,@09A_M9_Description,@09A_M9_Prompt,@09A_M9_Proposal,@09A_M9_Incomplete,@complete_available_prompt_DEFAULT,@09A_M9_Completed,,,,,,,,,,
09A_M10_MeetKurok,MainStoryQuest,,65,,,,,09A_M10_Container_Main,09a_Kurok,,09A_M10,09A_M9,,60,09A_M10_Success,,,,,BananaT1,5,,false,,@09A_M10_Title,@09A_M10_Description,@09A_M10_Prompt,@09A_M10_Proposal,@09A_M10_Incomplete,@complete_available_prompt_DEFAULT,@09A_M10_Completed,,,,,,,,,,
09A_M11_FightMahantaram,MainStoryQuest,,65,,,,,09A_M11_Container_Main,09a_Morgaine_WC,,09A_M11,09A_M10,,60,09A_M11_Success,,,,,GypsumOrb,4,,false,,@09A_M11_Title,@09A_M11_Description,@09A_M11_Prompt,@09A_M11_Proposal,@09A_M11_Incomplete,@complete_available_prompt_DEFAULT,@09A_M11_Completed,,,,,,,,,,
09A_M12_FightMedusa,MainStoryQuest,,65,,,,,09A_M12_Container_Main,09a_Trahern_HG,,09A_M12,09A_M11,,60,09A_M12_Success,,,,,,,,false,,@09A_M12_Title,@09A_M12_Description,@09A_M12_Prompt,@09A_M12_Proposal,@09A_M12_Incomplete,@complete_available_prompt_DEFAULT,@09A_M12_Completed,,,,,,,,,,
09A_M13_AttuneStaff,MainStoryQuest,,65,,,,,09A_M13_Container_Main,09a_Morgaine_SE,,09A_M13,09A_M12,,60,09A_M13_Success,,,,,09A_M11_CraftingMatsBox,1,,false,,@09A_M13_Title,@09A_M13_Description,@09A_M13_Prompt,@09A_M13_Proposal,@09A_M13_Incomplete,@complete_available_prompt_DEFAULT,@09A_M13_Completed,,,,,,,,,,
