ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveOnCooldownResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId
0502_0101_ancientscholar,Journey,,,,,,,0502_0101_d_00_container_ancientscholar,0502_Magistrate,,05_Quest_01,,,,0502_0101_ancientscholar_success,,,,,,,true,,@0502_0101_ancientscholar_objective_title,@0502_0101_ancientscholar_objective_desc,@0502_0101_ancientscholar_start_prompt,@0502_0101_ancientscholar_proposal_a,@0502_0101_ancientscholar_incomplete,@complete_available_prompt_DEFAULT,@0502_0101_ancientscholar_complete_available_response_a,,,,true,,,,,ReekwaterArc1,,
0502_0102_hopespringseternal,Journey,,,,,,,0502_0102_d_00_container_hopespringseternal,0502_Magistrate,,05_Quest_02,05_Quest_01,,,0502_0102_hopespringseternal_success,,,,,,,true,,@0502_0102_hopespringseternal_objective_title,@0502_0102_hopespringseternal_objective_desc,@0502_0102_hopespringseternal_start_prompt,@0502_0102_hopespringseternal_proposal_a,@0502_0102_hopespringseternal_incomplete_a,@complete_available_prompt_DEFAULT,@0502_0102_hopespringseternal_complete_available_response_a,,,,true,,,,,ReekwaterArc1,,
0502_0103_pathsunseen,Journey,,,,,,,0502_0103_d_00_container_pathsunseen,0502_Magistrate,,05_Quest_03,05_Quest_02,,,0502_0103_pathsunseen_success,,,,,,,true,,@0502_0103_pathsunseen_objective_title,@0502_0103_pathsunseen_objective_desc,@0502_0103_pathsunseen_start_prompt,@0502_0103_pathsunseen_proposal_a,@0502_0103_pathsunseen_incomplete,@complete_available_prompt_DEFAULT,@0502_0103_pathsunseen_complete_available_response_a,,,,true,,,,,ReekwaterArc1,,
0502_0104_anatomyoftheheart,Journey,,,,,,,0502_0104_d_00_container_anatomyoftheheart,0502_Magistrate,,05_Quest_04,05_Quest_03,,,0502_0104_anatomyoftheheart_success,,,,,GypsumOrb,1,true,,@0502_0104_anatomyoftheheart_objective_title,@0502_0104_anatomyoftheheart_objective_desc,@0502_0104_anatomyoftheheart_start_prompt,@0502_0104_anatomyoftheheart_proposal_a,@0502_0104_anatomyoftheheart_incomplete,@complete_available_prompt_DEFAULT,@0502_0104_anatomyoftheheart_complete_available_response_a,,,,true,,,,,ReekwaterArc1,,
0502_0105_seekandhide,Journey,,,,,,,0502_0105_d_00_container_seekandhide,0511_Stranger,,05_Quest_05,05_Quest_04,,,0502_0105_seekandhide_success,,,,,GypsumOrb,1,true,,@0502_0105_seekandhide_objective_title,@0502_0105_seekandhide_objective_desc,@0502_0105_seekandhide_start_prompt,@0502_0105_seekandhide_proposal_a,@0502_0105_seekandhide_incomplete,@complete_available_prompt_DEFAULT,@0502_0105_seekandhide_complete_available_response,,,,true,,,,,ReekwaterArc1,,
0511_0101_aguardiansplight,Journey,,,,,,,0511_0101_d_00_container_aguardiansplight,0502_Magistrate,,05_Quest_06,05_Quest_05,,,0511_0101_aguardiansplight_success,0511_0101_aguardiansplight_failure,,,,GypsumOrb,1,true,,@0511_0101_aguardiansplight_objective_title,@0511_0101_aguardiansplight_objective_desc,@0511_0101_aguardiansplight_start_prompt,@0511_0101_aguardiansplight_proposal_a,@0511_0101_aguardiansplight_incomplete,@complete_available_prompt_DEFAULT,@0511_0101_aguardiansplight_complete_available_response,,,,true,,,,,ReekwaterArc1,,
0504_0101_anexpandingthreat,Journey,,,,,,,0504_0101_d_00_container_anexpandingthreat,,,05_Quest_07,,,,0504_0101_anexpandingthreat_success,,,,0504_0102_defianceanddoubt,,,false,,@0504_0101_anexpandingthreat_objective_title,@0504_0101_anexpandingthreat_objective_desc,@0504_0101_anexpandingthreat_start_prompt,@0504_0101_anexpandingthreat_proposal_a,@0504_0101_anexpandingthreat_incomplete,@complete_available_prompt_DEFAULT,@0504_0101_anexpandingthreat_complete_available_response,,,,true,,,,,ReekwaterArc2,,
0504_0102_defianceanddoubt,Journey,,,,,,,0504_0102_d_00_container_defianceanddoubt,0524_Stranger,,05_Quest_08,05_Quest_07,,,0504_0102_defianceanddoubt_success,,,,,,,false,,@0504_0102_defianceanddoubt_objective_title,@0504_0102_defianceanddoubt_objective_desc,@0504_0102_defianceanddoubt_start_prompt,@0504_0102_defianceanddoubt_proposal_a,@0504_0102_defianceanddoubt_incomplete,@complete_available_prompt_DEFAULT,@0504_0102_defianceanddoubt_complete_available_response_a,,,,true,,,,,ReekwaterArc2,,
0524_0101_ahungerforfreedom,Journey,,,,,,,0524_0101_d_00_container_ahungerforfreedom,0524_Stranger,,05_Quest_09,05_Quest_08,,,0524_0101_ahungerforfreedom_success,,,,,,,true,,@0524_0101_ahungerforfreedom_objective_title,@0524_0101_ahungerforfreedom_objective_desc,@0524_0101_ahungerforfreedom_start_prompt,@0524_0101_ahungerforfreedom_proposal_a,@0524_0101_ahungerforfreedom_incomplete,@complete_available_prompt_DEFAULT,@0524_0101_ahungerforfreedom_complete_available_response_a,,,,true,,,,,ReekwaterArc2,,
0524_0102_queensgambit,Journey,,,,,,,0524_0102_d_00_container_queensgambit,0524_Stranger,,05_Quest_10,05_Quest_09,,,0524_0102_queensgambit_success,,,,,,,true,,@0524_0102_queensgambit_objective_title,@0524_0102_queensgambit_objective_desc,@0524_0102_queensgambit_start_prompt,@0524_0102_queensgambit_proposal_a,@0524_0102_queensgambit_incomplete,@complete_available_prompt_DEFAULT,@0524_0102_queensgambit_complete_available_response,,,,true,,,,,ReekwaterArc2,,
0524_0103_shiveringtimbers,Journey,,,,,,,0524_0103_d_00_container_shiveringtimbers,0504_Overseer,,05_Quest_11,05_Quest_10,,,0524_0103_shiveringtimbers_success,,,,,GypsumOrb,1,true,,@0524_0103_shiveringtimbers_objective_title,@0524_0103_shiveringtimbers_objective_desc,@0524_0103_shiveringtimbers_start_prompt,@0524_0103_shiveringtimbers_proposal_a,@0524_0103_shiveringtimbers_incomplete,@complete_available_prompt_DEFAULT,@0524_0103_shiveringtimbers_complete_available_response_a,,,,true,,,,,ReekwaterArc2,,
0504_0201_wordsofpower,Journey,,,,,,,0504_0201_d_00_container_wordsofpower,0504_Overseer,,05_Quest_12,05_Quest_11,,,0504_0201_wordsofpower_success,,,,,GypsumOrb,1,true,,@0504_0201_wordsofpower_objective_title,@0504_0201_wordsofpower_objective_desc,@0504_0201_wordsofpower_start_prompt,@0504_0201_wordsofpower_proposal_a,@0504_0201_wordsofpower_incomplete,@complete_available_prompt_DEFAULT,@0504_0201_wordsofpower_complete_available_response_a,,,,true,,,,,ReekwaterArc2,,
0504_0202_aplansdeconstruction,Journey,,,,,,,0504_0202_d_00_container_aplansdeconstruction,0504_Overseer,,05_Quest_13,05_Quest_12,,,0504_0202_aplansdeconstruction_success,,,,,GypsumOrb,1,true,,@0504_0202_aplansdeconstruction_objective_title,@0504_0202_aplansdeconstruction_objective_desc,@0504_0202_aplansdeconstruction_start_prompt,@0504_0202_aplansdeconstruction_proposal,@0504_0202_aplansdeconstruction_incomplete,@complete_available_prompt_DEFAULT,@0504_0202_aplansdeconstruction_complete_available_response_a,,,,true,,,,,ReekwaterArc2,,
0504_0401_thequeenisdead,Journey,,,,,,,0504_0401_d_00_container_thequeenisdead,0504_Overseer,,05_Quest_22,05_Quest_13,,,0504_0401_thequeenisdead_success,,,,,GypsumOrb,1,false,,@0504_0401_thequeenisdead_objective_title,@0504_0401_thequeenisdead_objective_desc,@0504_0401_thequeenisdead_start_prompt,@0504_0401_thequeenisdead_proposal_a,@0504_0401_thequeenisdead_incomplete_a,@complete_available_prompt_DEFAULT,@0504_0401_thequeenisdead_complete_available_response,,,,true,,,,,,,
0510_0101_longlivethequeen,Journey,,,,,true,,0510_0101_d_00_container_longlivethequeen,,,05_Quest_23R,05_Quest_22,,,0510_0101_longlivethequeen_success,,,,,,,false,true,@0510_0101_longlivethequeen_objective_title,@0510_0101_longlivethequeen_objective_desc,@0510_0101_longlivethequeen_start_prompt,@0510_0101_longlivethequeen_proposal_a,@0510_0101_longlivethequeen_incomplete,@complete_available_prompt_DEFAULT,@0510_0101_longlivethequeen_complete_available_response,@0510_0101_Cooldown,,,true,,,,,,,Daily
0503_0101_onfloralfauna,Journey,,,,,,,0503_0101_d_00_container_onfloralfauna,0503_Survivalist,,05_Quest_14,,,,0503_0101_onfloralfauna_success,,,,,,,true,,@0503_0101_onfloralfauna_objective_title,@0503_0101_onfloralfauna_objective_desc,@0503_0101_onfloralfauna_start_prompt,@0503_0101_onfloralfauna_proposal_a,@0503_0101_onfloralfauna_incomplete,@complete_available_prompt_DEFAULT,@0503_0101_onfloralfauna_complete_available_response_a,,,,true,,,,,ReekwaterArc3,,
0505_0101_pruningandirrigation,Journey,,,,,,,0505_0101_d_00_container_pruningandirrigation,0505_Artificer,,05_Quest_15,05_Quest_14,,,0505_0101_pruningandirrigation_success,,,,,,,true,,@0505_0101_pruningandirrigation_objective_title,@0505_0101_pruningandirrigation_objective_desc,@0505_0101_pruningandirrigation_start_prompt,@0505_0101_pruningandirrigation_proposal_a,@0505_0101_pruningandirrigation_incomplete,@complete_available_prompt_DEFAULT,@0505_0101_pruningandirrigation_complete_available_response_a,,,,true,,,,,ReekwaterArc3,,
0505_0102_downstreameffects,Journey,,,,,,,0505_0102_d_00_container_downstreameffects,0505_Artificer,,05_Quest_16,05_Quest_15,,,0505_0102_downstreameffects_success,,,,,,,true,,@0505_0102_downstreameffects_objective_title,@0505_0102_downstreameffects_objective_desc,@0505_0102_downstreameffects_start_prompt,@0505_0102_downstreameffects_proposal_a,@0505_0102_downstreameffects_incomplete,@complete_available_prompt_DEFAULT,@0505_0102_downstreameffects_complete_available_response_a,,,,true,,,,,ReekwaterArc3,,
0503_0201_excisingtheblightedroot,Journey,,,,,,,0503_0201_d_00_container_excisingtheblightedroot,0503_Survivalist,,05_Quest_17,05_Quest_16,,,0503_0201_excisingtheblightedroot_success,,,,,,,true,,@0503_0201_excisingtheblightedroot_objective_title,@0503_0201_excisingtheblightedroot_objective_desc,@0503_0201_excisingtheblightedroot_start_prompt,@0503_0201_excisingtheblightedroot_proposal_a,@0503_0201_excisingtheblightedroot_incomplete,@complete_available_prompt_DEFAULT,@0503_0201_excisingtheblightedroot_complete_available_response,,,,true,,,,,ReekwaterArc3,,
0503_0202_burdenofatonement,Journey,,,,,,,0503_0202_d_00_container_burdenofatonement,0503_Survivalist,,05_Quest_18,05_Quest_17,,,0503_0202_burdenofatonement_success,,,,,GypsumOrb,1,true,,@0503_0202_burdenofatonement_objective_title,@0503_0202_burdenofatonement_objective_desc,@0503_0202_burdenofatonement_start_prompt,@0503_0202_burdenofatonement_proposal_a,@0503_0202_burdenofatonement_incomplete,@complete_available_prompt_DEFAULT,@0503_0202_burdenofatonement_complete_available_response,,,,true,,,,,ReekwaterArc3,,
