ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId
06A_MSQ_01_Quartermaster,MainStoryQuest,,,,,,,06A_MSQ_01_Quartermaster_container,06_SaatvikAgrawal01,,06A_MSQ_01,,,,06A_MSQ_01_Quartermaster_success,,,,,,,,0,,@06A_MSQ_01_Quartermaster_title,@06A_MSQ_01_Quartermaster_desc,@06A_MSQ_01_Quartermaster_prompt,@06A_MSQ_01_Quartermaster_proposal,@06A_MSQ_01_Quartermaster_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_01_Quartermaster_response,,,,,,,,,,
06A_MSQ_02_VisitInn,MainStoryQuest,,,,,,,06A_MSQ_02_VisitInn_container,06_GraceWW_01,,06A_MSQ_02,06A_MSQ_01,,,06A_MSQ_02_VisitInn_success,,,,,,,,0,,@06A_MSQ_02_VisitInn_title,@06A_MSQ_02_VisitInn_desc,@06A_MSQ_02_VisitInn_prompt,@06A_MSQ_02_VisitInn_proposal,@06A_MSQ_02_VisitInn_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_02_VisitInn_response,,,,,,,,,,
06A_MSQ_03_VisitMarket,MainStoryQuest,,,,,,,06A_MSQ_03_VisitMarket_container,06_GraceWW_01,,06A_MSQ_03,06A_MSQ_02,,,06A_MSQ_03_VisitMarket_success,,,,,,,,0,,@06A_MSQ_03_VisitMarket_title,@06A_MSQ_03_VisitMarket_desc,@06A_MSQ_03_VisitMarket_prompt,@06A_MSQ_03_VisitMarket_proposal,@06A_MSQ_03_VisitMarket_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_03_VisitMarket_response,,,,,,,,,,
06A_MSQ_04_SeeSpeaker,MainStoryQuest,,,,,,,06A_MSQ_04_SeeSpeaker_container,06_FrancisTurner,,06A_MSQ_04,06A_MSQ_03,,,06A_MSQ_04_SeeSpeaker_success,,,,,,,,0,,@06A_MSQ_04_SeeSpeaker_title,@06A_MSQ_04_SeeSpeaker_desc,@06A_MSQ_04_SeeSpeaker_prompt,@06A_MSQ_04_SeeSpeaker_proposal,@06A_MSQ_04_SeeSpeaker_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_04_SeeSpeaker_response,,,,,,,,,,
06A_MSQ_05_FixWindmills,MainStoryQuest,,,,,,,06A_MSQ_05_FixWindmills_container,06_SaatvikAgrawal02,,06A_MSQ_05,06A_MSQ_04,,,06A_MSQ_05_FixWindmills_success,,,,,,,,0,,@06A_MSQ_05_FixWindmills_title,@06A_MSQ_05_FixWindmills_desc,@06A_MSQ_05_FixWindmills_prompt,@06A_MSQ_05_FixWindmills_proposal,@06A_MSQ_05_FixWindmills_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_05_FixWindmills_response,,,,,,,,,,
06A_MSQ_06_RescueFarmers,MainStoryQuest,,,,,,,06A_MSQ_06_RescueFarmers_container,06_SaatvikAgrawal02,,06A_MSQ_06,06A_MSQ_05,,,06A_MSQ_06_RescueFarmers_success,,,,,,,,0,,@06A_MSQ_06_RescueFarmers_title,@06A_MSQ_06_RescueFarmers_desc,@06A_MSQ_06_RescueFarmers_prompt,@06A_MSQ_06_RescueFarmers_proposal,@06A_MSQ_06_RescueFarmers_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_06_RescueFarmers_response,,,,,,,,,,
06A_MSQ_07_MeetIronRose,MainStoryQuest,,,,,,,06A_MSQ_07_MeetIronRose_container,06_LeovixSilva01,,06A_MSQ_07,06A_MSQ_06,,,06A_MSQ_07_MeetIronRose_success,,,,,,,,0,,@06A_MSQ_07_MeetIronRose_title,@06A_MSQ_07_MeetIronRose_desc,@06A_MSQ_07_MeetIronRose_prompt,@06A_MSQ_07_MeetIronRose_proposal,@06A_MSQ_07_MeetIronRose_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_07_MeetIronRose_response,,,,,,,,,,
06A_MSQ_07_MeetIronRose_alt,MainStoryQuest,,,,,,,06A_MSQ_07_MeetIronRose_container,06_LeovixSilva01,,06A_MSQ_07,06A_MSQ_06,,,06A_MSQ_07_MeetIronRose_success_alt,,,,,,,,0,,@06A_MSQ_07_MeetIronRose_title,@06A_MSQ_07_MeetIronRose_desc,@06A_MSQ_07_MeetIronRose_prompt,@06A_MSQ_07_MeetIronRose_proposal,@06A_MSQ_07_MeetIronRose_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_07_MeetIronRose_response,,,,,,,,,,
06A_MSQ_08_RescueGideon,MainStoryQuest,,,,,,,06A_MSQ_08_RescueGideon_container,06_LeovixSilva02,,06A_MSQ_08,06A_MSQ_07,,,06A_MSQ_08_RescueGideon_success,,,,,,,,0,,@06A_MSQ_08_RescueGideon_title,@06A_MSQ_08_RescueGideon_desc,@06A_MSQ_08_RescueGideon_prompt,@06A_MSQ_08_RescueGideon_proposal,@06A_MSQ_08_RescueGideon_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_08_RescueGideon_response,,,,,,,,,,
06A_MSQ_09_DefeatCommander,MainStoryQuest,,,,,,,06A_MSQ_09_DefeatCommander_container,06_LeovixSilva03,,06A_MSQ_09,06A_MSQ_08,,,06A_MSQ_09_DefeatCommander_success,,,,,,,,0,,@06A_MSQ_09_DefeatCommander_title,@06A_MSQ_09_DefeatCommander_desc,@06A_MSQ_09_DefeatCommander_prompt,@06A_MSQ_09_DefeatCommander_proposal,@06A_MSQ_09_DefeatCommander_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_09_DefeatCommander_response,,,,,,,,,,
