Slice,PowerLevel,Destruction,Disruption,Defense,RangeInside,RangeClose,RangeMid,RangeFar,Type,Family,Available
slices/Characters/AncientGuardian_Base.dynamicslice,5,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/AncientGuardian_Reaver.dynamicslice,7,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/AncientGuardian_Spearman.dynamicslice,5,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_1H_Sword.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_2H_Sword.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_Ancient_Base.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_Club.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_Crawler.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_FleshingKnife.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_Hammer.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_HandSaw.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_Knife.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_Ladel.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_Pickaxe.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_Sickle.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Skeleton_Spear.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Ancient,0
slices/Characters/Drowned_Sailor_1H_Club.dynamicslice,1,0,1,0,0,0,1,0,Infantry,Corrupted,0
slices/Characters/Drowned_Sailor_1H_Sword.dynamicslice,1,0,1,0,0,0,1,0,Infantry,Corrupted,0
slices/Characters/Drowned_Sailor_1H_Sword_Shield.dynamicslice,1,0,1,0,0,0,1,0,Infantry,Corrupted,0
slices/Characters/Drowned_Sailor_2H_Axe.dynamicslice,1,0,1,0,0,0,1,0,Infantry,Corrupted,0
slices/Characters/Ghost_Charred.dynamicslice,5,0,1,0,1,1,0,0,Infantry,Corrupted,0
slices/Characters/Ghost_Frozen.dynamicslice,5,0,1,0,1,1,0,0,Infantry,Corrupted,0
slices/Characters/Ghost_Plagued.dynamicslice,5,0,1,0,1,1,0,0,Infantry,Corrupted,0
slices/Characters/Ghost_Shipwrecked.dynamicslice,2,0,1,0,1,1,0,0,Infantry,Corrupted,0
slices/Characters/Ghost_hanged.dynamicslice,2,0,1,0,1,1,0,0,Infantry,Corrupted,0
slices/Characters/Bear_Damned.dynamicslice,10,0,1,0,0,0,1,0,Infantry,Damned,0
slices/Characters/Damned_2H_Axeman_Female.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_2H_Spearman_A.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,1
slices/Characters/Damned_2H_Spearman_A_Guard.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_2H_Spearman_Female.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,1
slices/Characters/Damned_Axeman_Female.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,1
slices/Characters/Damned_Axeman_Guard.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Bowman_Female.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
