GameModeId,Category,QuestActiveAchievementId,QuestCompletionAchievementId,ScheduledGMEntryAchievementId,ScheduledGMCompletionAchievementId,ScheduledGMCompletionGameEvent
QuestCaerDun,Trial,02_ORI_Undercroft_Unlock,02_UndercroftComplete,DailyTrialCaerDun,DailyTrialCaerDunComplete,DailyTrialCaerDunReward
QuestAdiana,Trial,09A_M15_ArtemisTrialActive,09A_M15_ArtemisTrialComplete,DailyTrialAdiana,DailyTrialAdianaComplete,DailyTrialAdianaReward
QuestApophis,Trial,16_ORI_Necropolis_Unlock,16_NecropolisComplete,DailyTrialApophis,DailyTrialApophisComplete,DailyTrialApophisReward
QuestEmpressZhou,Trial,Trial_Quest_EmpressZhou_Unlocked,Trial_Quest_EmpressZhou_Complete,DailyTrialEmpressZhou,DailyTrialEmpressZhouComplete,DailyTrialEmpressZhouReward
QuestIsabella,Trial,Quest_Isabella_Active,Trial_Quest_Isabella_Complete,DailyTrialIsabella,DailyTrialIsabellaComplete,DailyTrialIsabellaReward
QuestMammoth,Trial,09A_M11_MammothTrialActive,09A_M11_MammothTrialComplete,DailyTrialMammoth,DailyTrialMammothComplete,DailyTrialMammothReward
QuestMedusa,Trial,09A_M12_MedusaTrialActive,09A_M12_MedusaTrialComplete,DailyTrialMedusa,DailyTrialMedusaComplete,DailyTrialMedusaReward
QuestMotherwell,Trial,99E_ORI_Motherwell_Unlock,99E_Motherwell_Complete,DailyTrialMotherwell,DailyTrialMotherwellComplete,DailyTrialMotherwellReward
QuestNihilo,Trial,99D_ORI_CorruptionPlane_Unlock,99D_CorruptionPlane_Complete,DailyTrialNihilo,DailyTrialNihiloComplete,DailyTrialNihiloReward
QuestYonas,Trial,99E_ORI_YonasCave_Unlock,99E_YonasCave_Complete,DailyTrialYonas,DailyTrialYonasComplete,DailyTrialYonasReward
TrialSeason02Q13,Trial,95A_Malek_Unlock,95A_Malek_Complete,DailyTrialSeason02Q13,DailyTrialSeason02Q13Complete,DailyTrialSeason02Q13Reward
TrialSeason02Q12,Trial,95A_Hatchery_Unlock,95A_Hatchery_Lock,DailyTrialSeason02Q12,DailyTrialSeason02Q12Complete,DailyTrialSeason02Q12Reward
TrialSeason04Q02,Trial,95_s04_02_TD_DaichiTrial_Unlock,DA_95_s04_02_DaichiOnboarded,DailyTrialSeason04Q02,DailyTrialSeason04Q02Complete,DailyTrialSeason04Q02Reward
TrialSeason04Q06,Trial,95_s04_03_TD_MordredTrial_Unlock,DA_95_s04_06_PlayerDefeatedMordred,DailyTrialSeason04Q06,DailyTrialSeason04Q06Complete,DailyTrialSeason04Q06Reward
TrialSeason04Q05,Trial,DA_95_s04_05_DiscussedRune,Lore_unlock_TalesOfWinter_Title_05_01,DailyTrialSeason04Q05,DailyTrialSeason04Q05Complete,DailyTrialSeason04Q05Reward
QuestGawain,Trial,12A_Gawain_Unlock,12A_Gawain_Complete,DailyTrialGawain,DailyTrialGawainComplete,DailyTrialGawainReward
